n,k,comparisons,swaps
1000,1,11431,3844
1000,2,10969,3928
1000,3,10347,4866
1000,4,10463,4200
1000,5,10476,4787
1000,6,10560,4059
1000,7,9962,4279
1000,8,10496,4183
1000,9,10552,4012
1000,10,10302,4175
1000,11,10176,5193
1000,12,10519,4013
1000,13,11120,4340
1000,14,10131,3910
1000,15,10973,4012
1000,16,10045,3950
1000,17,9836,5051
1000,18,9874,4054
1000,19,10959,4020
1000,20,10022,4034
1000,21,10485,4024
1000,22,10987,4150
1000,23,10018,4229
1000,24,10015,4572
1000,25,10605,4590
1000,26,9816,4647
1000,27,10074,4332
1000,28,10072,4052
1000,29,10897,4140
1000,30,10370,4356
1000,31,10241,4115
1000,32,10432,3708
1000,33,9833,4611
1000,34,10180,4074
1000,35,11003,4697
1000,36,10985,3712
1000,37,10637,4352
1000,38,10530,3863
1000,39,10752,4365
1000,40,10867,3998
1000,41,11514,4326
1000,42,10349,4809
1000,43,10375,4292
1000,44,10382,3907
1000,45,10335,5092
1000,46,10510,3941
1000,47,10070,4050
1000,48,10097,4586
1000,49,10475,4272
1000,50,10000,4161
1000,51,10463,4939
1000,52,10561,4388
1000,53,10943,4493
1000,54,9970,4251
1000,55,11418,4044
1000,56,10014,4160
1000,57,10567,4982
1000,58,11996,3930
1000,59,11329,4284
1000,60,11400,4159
1000,61,10762,3919
1000,62,9894,4127
1000,63,10266,4299
1000,64,10620,4217
1000,65,10220,3842
1000,66,10081,4320
1000,67,10966,3945
1000,68,10766,4594
1000,69,11074,4038
1000,70,9754,4796
1000,71,11446,4149
1000,72,9803,3951
1000,73,9779,4241
1000,74,10078,4102
1000,75,11696,4320
1000,76,10284,4584
1000,77,11636,4382
1000,78,10633,3844
1000,79,11016,4506
1000,80,10243,4234
1000,81,10404,4101
1000,82,10077,4192
1000,83,10071,4443
1000,84,11364,3962
1000,85,10107,3780
1000,86,10895,4909
1000,87,10441,4685
1000,88,10214,4512
1000,89,12646,3971
1000,90,10153,4190
1000,91,11184,3892
1000,92,11107,4016
1000,93,11133,4204
1000,94,10369,4599
1000,95,10535,3938
1000,96,10318,4852
1000,97,10134,4464
1000,98,10800,4674
1000,99,10273,4360
1000,100,10602,3990
2000,1,24003,10564
2000,2,24856,8761
2000,3,25525,8539
2000,4,24655,8218
2000,5,23137,8374
2000,6,23171,9886
2000,7,23430,8857
2000,8,24865,8931
2000,9,25104,10480
2000,10,22372,9584
2000,11,22595,10179
2000,12,25702,9317
2000,13,24991,9712
2000,14,25028,8476
2000,15,22936,10319
2000,16,26513,8932
2000,17,22987,10705
2000,18,22931,9388
2000,19,23171,9268
