n,k,comparisons,swaps
1000,1,276201,269141
1000,2,192068,183007
1000,3,343043,338019
1000,4,552189,546135
1000,5,651207,645097
1000,6,241399,231329
1000,7,266051,255960
1000,8,249660,241586
1000,9,223037,211971
1000,10,291400,283353
1000,11,214317,206264
1000,12,679725,675703
1000,13,484108,479070
1000,14,425085,419053
1000,15,179406,169337
1000,16,206537,196473
1000,17,287945,280908
1000,18,330579,323533
1000,19,708452,704422
1000,20,723997,720982
1000,21,699604,695583
1000,22,282125,273069
1000,23,235783,225717
1000,24,251252,246221
1000,25,598254,592215
1000,26,593983,589961
1000,27,432260,427230
1000,28,723508,720505
1000,29,455244,446188
1000,30,138085,129030
1000,31,314967,307926
1000,32,331154,326124
1000,33,336348,332327
1000,34,533515,525391
1000,35,433771,429753
1000,36,223561,217516
1000,37,241370,231319
1000,38,306473,301444
1000,39,384364,378335
1000,40,365479,359444
1000,41,404974,398929
1000,42,200471,194433
1000,43,293218,288187
1000,44,657985,653965
1000,45,453218,448188
1000,46,551143,545112
1000,47,449057,445034
1000,48,680298,676279
1000,49,413883,404837
1000,50,303416,297379
1000,51,245318,240289
1000,52,380776,376754
1000,53,331470,326440
1000,54,361700,354659
1000,55,258351,249303
1000,56,539625,534597
1000,57,522332,516276
1000,58,348384,342347
1000,59,288006,280974
1000,60,301059,296029
1000,61,215891,206833
1000,62,257282,251244
1000,63,627196,623154
1000,64,566374,557320
1000,65,342898,336868
1000,66,637005,630974
1000,67,216215,208171
1000,68,360243,354204
1000,69,298623,291577
1000,70,288736,283706
1000,71,692433,688417
1000,72,197729,186617
1000,73,340948,330889
1000,74,305058,296007
1000,75,428661,424639
1000,76,489116,483081
1000,77,196491,185419
1000,78,688706,682685
1000,79,397064,393043
1000,80,412421,407398
1000,81,621511,616483
1000,82,293179,288148
1000,83,570119,563073
1000,84,500204,494165
1000,85,314348,309320
1000,86,384817,378784
1000,87,223031,213970
1000,88,396000,388956
1000,89,295618,290588
1000,90,737738,735733
1000,91,219424,211371
1000,92,474742,469717
1000,93,206183,201153
1000,94,743560,741553
1000,95,578460,573440
1000,96,293294,286236
1000,97,371913,368898
1000,98,252457,244413
1000,99,483298,477268
1000,100,162764,155721
2000,1,2956489,2950477
2000,2,2265268,2251228
2000,3,1487406,1471332
2000,4,1292722,1276682
2000,5,2748057,2740035
2000,6,2025987,2011949
2000,7,736658,716596
2000,8,1942138,1926086
2000,9,962394,946346
2000,10,1492711,1478665
2000,11,2905127,2897105
2000,12,671903,659864
2000,13,1499334,1487293
2000,14,1542630,1530591
2000,15,1310522,1298472
2000,16,839600,825554
2000,17,2401504,2389471
2000,18,2600945,2590918
2000,19,911918,899881
2000,20,1009533,989473
2000,21,1024696,1008642
2000,22,1662572,1648535
2000,23,2216263,2202224
2000,24,1754905,1744876
2000,25,985013,972975
2000,26,1459307,1449269
2000,27,2659411,2649375
2000,28,1167519,1149447
2000,29,2121385,2103317
2000,30,1913131,1897086
2000,31,1560751,1544702
2000,32,2264829,2250741
2000,33,851987,835903
2000,34,754294,736245
2000,35,2779787,2767761
2000,36,2520617,2508585
2000,37,2305820,2293783
2000,38,1665787,1659774
2000,39,816096,798040
2000,40,2495051,2483019
2000,41,1249558,1235515
2000,42,1912416,1902391
2000,43,688940,672718
2000,44,2958274,2950260
2000,45,1504386,1494357
2000,46,666391,650337
2000,47,615285,595224
2000,48,1792096,1780057
2000,49,1479927,1465887
2000,50,1582071,1564010
2000,51,1214952,1196898
2000,52,1622369,1602289
2000,53,1808260,1794217
2000,54,2204708,2196690
2000,55,897199,877143
2000,56,694687,680602
2000,57,1119669,1099599
2000,58,1201728,1183673
2000,59,1478274,1460218
2000,60,696215,682168
2000,61,731523,719485
2000,62,939782,923709
2000,63,1489136,1473079
2000,64,844019,821954
2000,65,1038855,1018794
2000,66,1224280,1202213
2000,67,856242,840191
2000,68,1610305,1596260
2000,69,2692479,2686465
2000,70,1520108,1510078
2000,71,1553200,1543170
2000,72,1456909,1442862
2000,73,1833301,1819262
2000,74,1893798,1883767
2000,75,1075116,1063078
2000,76,1819883,1805832
2000,77,1474183,1462144
2000,78,1682942,1666884
2000,79,2407571,2393536
2000,80,1696716,1684674
2000,81,648676,628606
2000,82,731471,717425
2000,83,1280583,1258512
2000,84,2186284,2176255
2000,85,1368022,1351986
2000,86,1697347,1679285
2000,87,2379166,2365131
2000,88,1000979,982924
2000,89,2426017,2409972
2000,90,2894869,2884842
2000,91,2118761,2108730
2000,92,1209404,1195363
2000,93,1338457,1318403
2000,94,1162942,1146887
2000,95,769314,753241
2000,96,2025305,2013271
2000,97,819316,801263
2000,98,2025948,2007893
2000,99,2453480,2445460
2000,100,1149940,1133900
3000,1,3088942,3067907
3000,2,2529465,2511418
3000,3,1536083,1509022
3000,4,3210089,3189049
3000,5,1913902,1883823
3000,6,3750261,3729216
3000,7,3464158,3443108
3000,8,4400925,4379811
3000,9,1955727,1931672
3000,10,3805905,3784858
3000,11,2958342,2940283
3000,12,2945350,2912210
3000,13,2805149,2787110
3000,14,2907054,2889005
3000,15,1919384,1895339
3000,16,2075264,2057227
3000,17,6129655,6114625
3000,18,3952928,3940906
3000,19,2102957,2078907
3000,20,1990040,1968994
3000,21,5723247,5705208
3000,22,1783606,1759554
3000,23,3360926,3339880
3000,24,3189657,3162581
3000,25,1674402,1644336
3000,26,1495762,1471698
3000,27,2159039,2134996
3000,28,1830813,1809757
3000,29,2549303,2531265
3000,30,5923741,5905703
3000,31,3141989,3126958
3000,32,2206849,2185807
3000,33,1561389,1537335
3000,34,3964948,3949918
3000,35,2706698,2676640
3000,36,2060159,2030097
3000,37,4968971,4950932
3000,38,2190260,2172223
3000,39,3849491,3831444
3000,40,5891031,5879015
3000,41,5781793,5769773
3000,42,2530375,2509328
3000,43,2195681,2168626
3000,44,1993358,1966298
3000,45,2774808,2753759
3000,46,1909455,1882395
3000,47,3319773,3301745
3000,48,3934498,3916323
3000,49,2252908,2231861
3000,50,2665573,2641525
3000,51,4028624,4013593
3000,52,3569535,3545508
3000,53,2221416,2197363
3000,54,2081823,2057774
3000,55,4811586,4793555
3000,56,2071914,2047861
3000,57,6091232,6076193
3000,58,2603208,2579163
3000,59,5877557,5868542
3000,60,2637518,2610471
3000,61,1666237,1627144
3000,62,1570464,1537376
3000,63,6219329,6204298
3000,64,1883104,1853037
3000,65,4846301,4819246
3000,66,4102344,4081298
3000,67,1799955,1775907
3000,68,2884351,2863317
3000,69,2692628,2671582
3000,70,2580914,2556857
3000,71,3739874,3718828
3000,72,1458179,1422093
3000,73,3030069,3006014
3000,74,3418976,3394927
3000,75,1497427,1458314
3000,76,3060503,3030416
3000,77,3687409,3675387
3000,78,2549188,2525134
3000,79,6323420,6308390
3000,80,2751790,2736760
3000,81,1772839,1745777
3000,82,3422648,3395598
3000,83,4419028,4407006
3000,84,3434852,3410809
3000,85,3194642,3182621
3000,86,2575023,2550932
3000,87,5405391,5390362
3000,88,4642269,4624242
3000,89,3292791,3262722
3000,90,4881013,4865983
3000,91,1873522,1849468
3000,92,3132503,3108414
3000,93,2597330,2575795
3000,94,5164347,5137285
3000,95,4482417,4461372
3000,96,2359753,2344724
3000,97,2122416,2086341
3000,98,2208876,2187831
3000,99,3511858,3499836
3000,100,3436348,3412293
4000,1,7208805,7192791
4000,2,4096197,4059976
4000,3,2937225,2905173
4000,4,10534868,10510836
4000,5,5746180,5718138
4000,6,6997382,6985368
4000,7,4721452,4697405
4000,8,9657924,9641902
4000,9,5908284,5864186
4000,10,8325343,8305314
4000,11,8311873,8287834
4000,12,5811217,5783175
4000,13,10499846,10475810
4000,14,10017589,10001566
4000,15,5909537,5885510
4000,16,9231209,9211184
4000,17,3212802,3180751
4000,18,6181521,6165501
4000,19,9443100,9419068
4000,20,2890490,2834396
4000,21,8969061,8953039
4000,22,5506151,5482113
4000,23,5089414,5061277
4000,24,11750164,11734143
4000,25,5250636,5214574
4000,26,5509849,5485810
4000,27,4271320,4255298
4000,28,5293781,5257726
4000,29,5735247,5703193
4000,30,3192958,3152889
4000,31,10194368,10178347
4000,32,4141617,4109570
4000,33,5596225,5568181
4000,34,5630665,5594603
4000,35,2377706,2333633
4000,36,3857343,3829297
4000,37,5630671,5594612
4000,38,9962239,9942199
4000,39,4783038,4750987
4000,40,6943224,6923194
4000,41,4639017,4610971
4000,42,6786671,6754620
4000,43,6968522,6948492
4000,44,10107327,10075273
4000,45,7397723,7373690
4000,46,7172386,7148348
4000,47,6012917,5992886
4000,48,5653672,5621617
4000,49,6914348,6890321
4000,50,4905206,4877159
4000,51,4142779,4126758
4000,52,6590032,6574009
4000,53,5724303,5700269
4000,54,7454884,7418824
4000,55,5640638,5604576
4000,56,3601511,3573464
4000,57,3266610,3234561
4000,58,9502041,9469987
4000,59,5325783,5301745
4000,60,3947145,3915077
4000,61,9014329,8994302
4000,62,3942477,3918439
4000,63,7675762,7643693
4000,64,2727804,2687734
4000,65,7368859,7340818
4000,66,3831424,3803378
4000,67,5905609,5881573
4000,68,7616370,7600347
4000,69,9798970,9786957
4000,70,5295804,5255731
4000,71,6327463,6287406
4000,72,6633453,6609414
4000,73,6272244,6256213
4000,74,3649420,3609352
4000,75,2581031,2532962
4000,76,6521632,6493586
4000,77,2750756,2710687
4000,78,5820834,5796800
4000,79,7422846,7406814
4000,80,4578415,4542352
4000,81,3422788,3398751
4000,82,3517618,3465536
4000,83,5113073,5077013
4000,84,5480889,5444829
4000,85,7079748,7039692
4000,86,4732449,4700412
4000,87,4567909,4535854
4000,88,11201190,11169046
4000,89,3693448,3649314
4000,90,3357379,3313306
4000,91,10854240,10814172
4000,92,10242527,10210369
4000,93,3857761,3825708
4000,94,5175203,5155172
4000,95,7312339,7284296
4000,96,2776654,2728564
4000,97,9253504,9229480
4000,98,10918628,10898605
4000,99,5051491,5027455
4000,100,4398199,4378168
5000,1,10408919,10368866
5000,2,7108834,7068779
5000,3,13322485,13267415
5000,4,12455815,12415765
5000,5,12963478,12913426
5000,6,9693180,9658113
5000,7,6490023,6444966
5000,8,7703876,7638766
5000,9,9667735,9632689
5000,10,10556165,10536144
5000,11,5203360,5148288
5000,12,8812687,8777642
5000,13,5400576,5355523
5000,14,14185036,14134978
5000,15,9360687,9330650
5000,16,8066733,8036665
5000,17,12070460,12030412
5000,18,10211692,10176646
5000,19,8231042,8175967
5000,20,13501195,13466144
5000,21,5955903,5925865
5000,22,11727055,11687001
5000,23,5221559,5171494
5000,24,9374436,9339385
5000,25,9025427,8990387
5000,26,7837950,7797908
5000,27,10762676,10722623
5000,28,6950308,6910255
5000,29,4459073,4419019
5000,30,5750407,5700350
5000,31,8652904,8612853
5000,32,10669459,10619367
5000,33,9014690,8964623
5000,34,8475433,8435385
5000,35,6178524,6138469
5000,36,5007738,4962661
