n,k,comparisons,swaps
1000,1,11282,6260
2000,1,24697,12008
3000,1,41809,22872
4000,1,52916,30983
5000,1,74254,39811
6000,1,87058,43880
7000,1,103220,50563
8000,1,117515,62793
9000,1,132166,72747
10000,1,169726,89548
11000,1,182809,103464
12000,1,190893,106954
13000,1,203889,112355
14000,1,233160,116877
15000,1,240622,128685
16000,1,255808,135849
17000,1,271284,145300
18000,1,331112,176694
19000,1,323485,171134
20000,1,345075,197701
21000,1,359282,200617
22000,1,376028,196579
23000,1,418726,212926
24000,1,400392,202686
25000,1,433743,231008
26000,1,446747,246760
27000,1,484464,298069
28000,1,492912,289532
29000,1,493534,278103
30000,1,551591,324558
31000,1,557078,311675
32000,1,604415,315413
33000,1,611670,370525
34000,1,612253,294347
35000,1,619014,328367
36000,1,654515,329049
37000,1,659812,380077
38000,1,667549,366371
39000,1,747433,389571
40000,1,740950,397418
41000,1,763218,382095
42000,1,729615,385327
43000,1,855274,478863
44000,1,791865,444679
45000,1,820818,471073
46000,1,824715,454664
47000,1,860439,481772
48000,1,863533,484334
49000,1,957730,517553
50000,1,929528,498690
