n,k,comparisons,swaps
10,1,22,14
10,2,20,17
10,3,24,14
10,4,23,21
10,5,25,24
10,6,32,17
10,7,25,18
10,8,26,19
10,9,25,17
10,10,19,15
20,1,57,35
20,2,80,38
20,3,65,38
20,4,57,38
20,5,71,28
20,6,67,38
20,7,72,47
20,8,67,35
20,9,94,33
20,10,70,50
30,1,120,73
30,2,126,64
30,3,114,69
30,4,116,63
30,5,141,61
30,6,114,76
30,7,116,78
30,8,119,59
30,9,134,74
30,10,136,81
40,1,184,91
40,2,215,90
40,3,177,89
40,4,184,89
40,5,165,99
40,6,181,116
40,7,198,88
40,8,200,79
40,9,177,107
40,10,192,93
50,1,241,109
50,2,277,104
50,3,307,115
50,4,278,130
50,5,258,138
50,6,291,108
50,7,247,165
50,8,228,116
50,9,259,115
50,10,228,114
