n,k,comparisons,swaps
10,1,28,26
10,2,31,26
10,3,24,28
10,4,25,18
10,5,23,20
10,6,30,27
10,7,23,20
10,8,28,28
10,9,25,20
10,10,24,28
10,11,31,28
10,12,24,26
10,13,26,20
10,14,24,20
10,15,26,20
10,16,29,28
10,17,27,26
10,18,24,26
10,19,27,26
10,20,27,28
10,21,25,20
10,22,25,28
10,23,29,26
10,24,26,24
10,25,24,20
10,26,25,20
10,27,29,28
10,28,28,27
10,29,29,27
10,30,24,20
10,31,25,20
10,32,28,24
10,33,28,26
10,34,28,26
10,35,31,28
10,36,29,27
10,37,23,16
10,38,24,26
10,39,26,20
10,40,24,17
10,41,29,27
10,42,27,25
10,43,29,26
10,44,30,27
10,45,30,29
10,46,24,26
10,47,27,22
10,48,31,28
10,49,27,26
10,50,23,20
10,51,25,24
10,52,26,22
10,53,24,20
10,54,24,26
10,55,31,30
10,56,22,26
10,57,30,28
10,58,29,27
10,59,27,30
10,60,23,20
10,61,26,27
10,62,30,27
10,63,25,27
10,64,30,26
10,65,27,29
10,66,29,29
10,67,21,20
10,68,29,29
10,69,28,26
10,70,31,28
10,71,23,20
10,72,26,20
10,73,25,26
10,74,28,28
10,75,27,28
10,76,29,26
10,77,27,28
10,78,28,28
10,79,30,28
10,80,30,26
10,81,24,20
10,82,31,29
10,83,23,20
10,84,19,20
10,85,26,26
10,86,30,28
10,87,27,28
10,88,24,20
10,89,25,24
10,90,24,22
10,91,31,29
10,92,29,27
10,93,31,27
10,94,28,26
10,95,24,28
10,96,27,29
10,97,25,28
10,98,24,28
10,99,29,26
10,100,22,26
20,1,74,72
20,2,73,76
20,3,72,71
20,4,77,75
20,5,73,71
20,6,77,76
20,7,64,76
20,8,76,75
20,9,75,71
20,10,76,70
20,11,78,78
20,12,78,72
20,13,77,73
20,14,78,73
20,15,75,74
20,16,73,72
20,17,75,72
20,18,80,74
20,19,79,74
20,20,68,60
20,21,78,71
20,22,79,74
20,23,71,72
20,24,77,73
20,25,83,74
20,26,71,72
20,27,79,74
20,28,79,75
20,29,67,72
20,30,69,74
20,31,80,74
20,32,75,73
20,33,76,71
20,34,77,74
20,35,69,74
20,36,68,60
20,37,76,72
20,38,79,73
20,39,81,74
20,40,79,71
20,41,78,72
20,42,71,74
20,43,73,76
20,44,81,76
20,45,76,71
20,46,77,73
20,47,75,74
20,48,77,70
20,49,68,71
20,50,79,72
20,51,74,73
20,52,78,72
20,53,70,74
20,54,74,74
20,55,70,68
20,56,70,77
20,57,68,70
20,58,68,77
20,59,70,77
20,60,70,60
20,61,74,75
20,62,79,74
20,63,81,75
20,64,73,73
20,65,68,71
20,66,76,74
20,67,68,73
20,68,80,71
20,69,76,74
20,70,77,70
20,71,82,76
20,72,65,60
20,73,79,74
20,74,81,72
20,75,73,74
20,76,72,71
20,77,78,75
20,78,78,74
20,79,78,75
20,80,72,72
20,81,77,78
20,82,77,75
20,83,74,72
20,84,79,78
20,85,75,70
20,86,76,74
20,87,77,72
20,88,80,75
20,89,72,74
20,90,79,74
20,91,71,74
20,92,76,77
20,93,54,77
20,94,78,70
20,95,81,78
20,96,71,71
20,97,79,75
20,98,72,72
20,99,75,75
20,100,78,74
30,1,130,146
30,2,127,118
30,3,129,120
30,4,138,144
30,5,121,120
30,6,130,120
30,7,123,115
30,8,145,141
30,9,128,146
30,10,128,115
30,11,125,117
30,12,126,119
30,13,131,120
30,14,127,119
30,15,130,120
30,16,126,112
30,17,128,120
30,18,123,116
30,19,127,146
