n,m,comparisons,swaps
100,1,206,84
100,2,381,345
100,3,239,74
100,4,188,98
100,5,381,345
100,6,187,109
100,7,321,284
100,8,326,288
100,9,949,66
100,10,184,109
100,11,193,90
100,12,860,845
100,13,201,87
100,14,190,118
100,15,187,102
100,16,798,781
100,17,187,102
100,18,318,67
100,19,588,65
100,20,192,94
100,21,298,251
100,22,198,83
100,23,311,66
100,24,523,57
100,25,1671,74
100,26,583,557
100,27,207,83
100,28,399,69
100,29,248,198
100,30,217,78
100,31,234,177
100,32,206,147
100,33,191,119
100,34,587,68
100,35,249,72
100,36,264,220
100,37,250,69
100,38,1590,73
100,39,464,68
100,40,249,72
100,41,366,324
100,42,249,74
100,43,1828,1851
100,44,248,198
100,45,515,485
100,46,208,82
100,47,215,163
100,48,270,71
100,49,654,64
100,50,215,168
200,1,404,256
200,2,381,210
200,3,627,524
200,4,526,139
200,5,886,120
200,6,390,182
200,7,696,132
200,8,398,176
200,9,550,144
200,10,1209,123
200,11,434,308
200,12,1215,1151
200,13,402,257
200,14,479,133
200,15,689,132
200,16,433,156
200,17,409,164
200,18,666,571
200,19,628,129
200,20,452,340
200,21,452,152
200,22,624,104
200,23,395,243
200,24,404,172
200,25,623,534
200,26,660,128
200,27,489,145
200,28,389,230
200,29,554,170
200,30,396,246
200,31,657,129
200,32,1061,732
200,33,2477,2427
200,34,504,386
200,35,486,144
200,36,450,151
200,37,778,124
200,38,482,103
200,39,520,408
200,40,434,304
200,41,386,214
200,42,421,285
200,43,394,241
200,44,409,267
200,45,520,408
200,46,453,336
200,47,387,199
200,48,432,150
200,49,406,261
200,50,385,201
300,1,1857,182
300,2,582,315
300,3,1235,204
300,4,620,399
300,5,6080,6015
300,6,716,217
300,7,6541,6483
300,8,857,699
300,9,2627,2512
300,10,586,334
300,11,2188,2062
300,12,667,228
300,13,824,656
300,14,688,502
300,15,9204,192
300,16,582,301
300,17,2618,2497
300,18,585,316
300,19,642,436
300,20,769,209
300,21,593,349
300,22,637,235
300,23,1349,1203
300,24,596,266
300,25,596,359
300,26,910,195
300,27,548,333
300,28,719,212
300,29,683,223
300,30,619,398
300,31,1759,173
300,32,614,388
300,33,850,200
300,34,3101,164
300,35,916,186
300,36,581,307
300,37,670,222
300,38,585,288
300,39,863,202
300,40,1246,188
300,41,583,300
300,42,794,622
300,43,772,210
300,44,640,235
300,45,616,252
300,46,1417,1286
300,47,916,754
300,48,582,309
300,49,618,395
300,50,591,342
400,1,867,589
400,2,2681,2502
400,3,994,749
400,4,1035,277
400,5,2148,1946
400,6,783,421
400,7,810,346
400,8,784,399
400,9,1425,254
400,10,797,364
400,11,4251,1392
400,12,1054,271
400,13,3039,235
400,14,803,486
400,15,4326,232
400,16,1037,278
400,17,862,313
400,18,1527,1292
400,19,789,378
400,20,821,334
400,21,2400,2215
400,22,1152,933
400,23,804,347
400,24,2208,239
400,25,783,421
400,26,1031,276
400,27,1269,256
400,28,4639,4483
400,29,802,477
400,30,909,294
400,31,859,381
400,32,818,339
400,33,1105,872
400,34,793,366
400,35,1063,825
400,36,2990,2821
400,37,2207,2039
400,38,1382,250
400,39,1012,762
400,40,844,295
400,41,1914,239
400,42,1147,264
400,43,2014,1744
400,44,843,567
400,45,783,373
400,46,1031,276
400,47,842,325
400,48,5261,5121
400,49,1300,1080
400,50,10424,10333
500,1,1070,705
500,2,3049,287
500,3,1623,314
500,4,2770,295
500,5,1000,447
500,6,1016,623
500,7,2033,1776
500,8,1518,1222
500,9,6115,1960
500,10,1072,395
500,11,1326,824
500,12,1365,1068
500,13,1086,731
500,14,1709,1439
500,15,1206,357
500,16,1229,907
500,17,1150,820
500,18,1014,616
500,19,1244,352
500,20,1040,410
500,21,1336,1035
500,22,977,513
500,23,1906,1635
500,24,1300,995
500,25,852,252
500,26,1197,861
500,27,1627,1347
500,28,1465,331
500,29,1007,437
500,30,7632,7447
500,31,1389,1094
500,32,1206,357
500,33,1187,370
500,34,1926,255
500,35,1780,314
500,36,1011,433
500,37,1590,1307
500,38,7922,4360
500,39,1099,746
500,40,986,537
500,41,2768,2544
500,42,1159,365
500,43,1220,356
500,44,1110,768
500,45,1041,415
500,46,1926,255
500,47,4791,280
500,48,1140,373
500,49,1000,318
500,50,990,479
600,1,1679,1326
600,2,1838,383
600,3,5367,497
600,4,1448,428
600,5,1187,659
600,6,3509,3207
600,7,1447,427
600,8,1531,415
600,9,1189,651
600,10,1271,481
600,11,2115,372
600,12,1251,786
600,13,1443,428
600,14,1531,415
600,15,1303,467
600,16,1321,894
600,17,3190,2891
600,18,1998,1661
600,19,1391,993
600,20,3542,542
600,21,1470,761
600,22,1323,893
600,23,3370,3111
600,24,1241,774
600,25,1401,438
600,26,1219,738
600,27,6152,334
600,28,1201,513
600,29,2644,853
600,30,2062,375
600,31,1752,1410
600,32,1324,899
600,33,1268,818
600,34,1233,510
600,35,24201,22956
600,36,3370,355
600,37,1199,677
600,38,1183,636
600,39,1697,1342
600,40,11390,11178
600,41,1995,375
600,42,1895,379
600,43,1190,657
600,44,1816,780
600,45,4376,1548
600,46,599,301
600,47,1411,438
600,48,1210,711
600,49,1920,381
600,50,1139,634
700,1,1480,559
700,2,1679,1204
700,3,1381,700
700,4,1421,609
700,5,4638,394
700,6,5257,4769
700,7,1619,1148
700,8,5329,4992
700,9,9236,8946
700,10,2499,432
700,11,1616,1141
700,12,1855,1414
700,13,1631,507
700,14,1406,813
700,15,2338,1947
700,16,2431,2045
700,17,8128,7815
700,18,1394,778
700,19,2682,417
700,20,5392,403
700,21,1460,577
700,22,1558,1064
700,23,13130,11938
700,24,1416,611
700,25,2684,421
700,26,2250,443
700,27,1582,523
700,28,1738,491
700,29,1558,530
700,30,1501,976
700,31,5833,5531
700,32,2487,729
700,33,1381,700
700,34,1509,991
700,35,1578,1085
700,36,1457,583
700,37,2132,446
700,38,2431,2045
700,39,2147,449
700,40,2143,1726
700,41,1395,650
700,42,2470,2091
700,43,1386,757
700,44,5771,392
700,45,1688,1217
700,46,1640,511
700,47,4754,4419
700,48,1379,797
700,49,1961,464
700,50,1450,586
800,1,1585,845
800,2,1550,742
800,3,2879,2456
800,4,1716,635
800,5,4857,450
800,6,1792,606
800,7,1581,818
800,8,1600,745
800,9,1831,579
800,10,1936,403
800,11,1705,955
800,12,1657,666
800,13,1639,685
800,14,10614,9030
800,15,1582,798
800,16,1635,681
800,17,3740,3189
800,18,1940,570
800,19,1731,625
800,20,1734,712
800,21,2849,491
800,22,3369,476
800,23,1587,853
800,24,1626,695
800,25,2044,1527
800,26,1661,661
800,27,1597,893
800,28,2511,404
800,29,1684,1039
800,30,4676,4263
800,31,2275,1798
800,32,1607,946
800,33,1579,771
800,34,2825,2386
800,35,1922,570
800,36,4447,4058
800,37,1874,583
800,38,1585,854
800,39,13933,439
800,40,2487,509
800,41,2190,531
800,42,7064,6645
800,43,3672,467
800,44,1702,638
800,45,6190,5851
800,46,6720,454
800,47,3723,466
800,48,2340,521
800,49,10079,9747
800,50,2845,495
900,1,12329,11476
900,2,1836,1094
900,3,1801,1020
900,4,1932,713
900,5,1915,1232
900,6,1827,783
900,7,4431,3981
900,8,2105,656
900,9,2416,603
900,10,2851,567
900,11,2680,2165
900,12,2585,588
900,13,1950,1281
900,14,2002,1355
900,15,12450,1154
900,16,1844,1095
900,17,2872,565
900,18,14454,14075
900,19,2335,617
900,20,1787,849
900,21,2164,644
900,22,3316,1018
900,23,1780,911
900,24,2062,665
900,25,44440,518
900,26,2335,1787
900,27,1883,739
900,28,11388,503
900,29,2754,454
900,30,2812,572
900,31,1872,1162
900,32,1968,1311
900,33,1775,888
900,34,11986,11308
900,35,2940,2420
900,36,2761,2220
900,37,1810,1037
900,38,2800,572
900,39,15047,491
900,40,3165,2664
900,41,7992,494
900,42,2384,1807
900,43,1804,1020
900,44,1842,764
900,45,2768,605
900,46,2872,2343
900,47,4375,3915
900,48,3305,2195
900,49,2646,734
900,50,26836,491
1000,1,2171,782
1000,2,31271,543
1000,3,3828,744
1000,4,4661,584
1000,5,2195,1447
1000,6,3181,607
1000,7,3638,3108
1000,8,2901,651
1000,9,2875,2269
1000,10,5484,4976
1000,11,4258,594
1000,12,1982,1039
1000,13,3754,3184
1000,14,13759,539
1000,15,3182,2588
1000,16,11640,11173
1000,17,2980,2402
1000,18,6937,6455
1000,19,1998,921
1000,20,2497,1840
1000,21,2062,1252
1000,22,2280,744
1000,23,2605,2020
1000,24,3070,636
1000,25,3220,2641
1000,26,3105,633
1000,27,2883,2284
1000,28,2292,734
1000,29,14799,12338
1000,30,1985,971
1000,31,3360,2793
1000,32,5489,4980
1000,33,1980,1030
1000,34,3867,2690
1000,35,19524,19094
1000,36,2972,2388
1000,37,2892,1773
1000,38,2559,688
1000,39,2181,1440
1000,40,2457,1793
1000,41,3861,601
1000,42,3440,2867
1000,43,3858,505
1000,44,1973,855
1000,45,10262,544
1000,46,3101,2504
1000,47,1982,1034
1000,48,2730,667
1000,49,2196,770
1000,50,5377,4860
1100,1,2852,750
1100,2,2234,963
1100,3,3167,717
1100,4,2406,854
1100,5,2228,1299
1100,6,2227,968
1100,7,4634,3601
1100,8,13906,607
1100,9,3415,695
1100,10,5333,638
1100,11,2347,1514
1100,12,24651,24183
1100,13,6574,5254
1100,14,3895,3062
1100,15,3508,2850
1100,16,2357,1230
1100,17,2351,874
1100,18,2367,1258
1100,19,2533,1768
1100,20,2473,828
1100,21,2529,807
1100,22,2255,1358
1100,23,5798,5215
1100,24,60308,2433
1100,25,2460,826
1100,26,3433,2779
1100,27,2305,1437
1100,28,23223,22752
1100,29,3898,3283
1100,30,7790,6879
1100,31,39774,39368
1100,32,25468,595
1100,33,15346,569
1100,34,21688,659
1100,35,2420,847
1100,36,2197,1214
1100,37,2649,783
1100,38,18311,17818
1100,39,2576,1819
1100,40,2754,761
1100,41,3236,712
1100,42,2648,778
1100,43,2739,2006
1100,44,3686,1346
1100,45,2256,933
1100,46,2387,1562
1100,47,2728,770
1100,48,2195,1022
1100,49,2578,800
1100,50,2245,947
1200,1,2812,863
1200,2,2385,1252
1200,3,2470,1504
1200,4,4998,712
1200,5,9329,8787
1200,6,2434,1421
1200,7,23224,10008
1200,8,4647,719
1200,9,2419,1075
1200,10,2381,1235
1200,11,13581,667
1200,12,2382,1162
1200,13,2825,2008
1200,14,2637,1755
1200,15,4198,738
1200,16,8540,678
1200,17,3501,782
1200,18,7037,6406
1200,19,2409,1085
1200,20,2711,1850
1200,21,3024,830
1200,22,2470,1491
1200,23,3184,772
1200,24,4783,713
1200,25,2382,1242
