n,m,comparisons,swaps
100,1,315,152
100,2,310,216
100,3,199,132
100,4,298,185
100,5,273,181
100,6,311,99
100,7,264,210
100,8,217,124
100,9,375,220
100,10,319,181
100,11,272,161
100,12,311,228
100,13,182,113
100,14,288,62
100,15,333,175
100,16,256,160
100,17,330,111
100,18,343,199
100,19,379,231
100,20,248,153
100,21,199,115
100,22,99,51
100,23,274,149
100,24,374,259
100,25,387,250
100,26,294,196
100,27,254,172
100,28,282,134
100,29,489,134
100,30,181,82
100,31,329,145
100,32,298,109
100,33,217,90
100,34,374,134
100,35,392,227
100,36,243,163
100,37,237,115
100,38,226,106
100,39,409,323
100,40,325,203
100,41,540,160
100,42,421,251
100,43,406,242
100,44,191,85
100,45,253,159
100,46,230,149
100,47,270,111
100,48,270,162
100,49,157,59
100,50,205,143
200,1,337,151
200,2,784,392
200,3,760,391
200,4,578,329
200,5,656,312
200,6,519,221
200,7,669,204
200,8,566,225
200,9,492,263
200,10,731,205
200,11,704,512
200,12,829,400
200,13,528,256
200,14,634,320
200,15,426,193
200,16,468,206
200,17,743,613
200,18,783,521
200,19,621,411
200,20,545,453
200,21,587,414
200,22,673,297
200,23,674,178
200,24,880,423
200,25,594,354
200,26,518,257
200,27,472,240
200,28,777,354
200,29,693,414
200,30,717,479
200,31,900,499
200,32,756,269
200,33,829,327
200,34,301,203
200,35,379,216
200,36,478,238
200,37,517,210
200,38,461,181
200,39,696,316
200,40,323,228
200,41,739,465
200,42,570,187
200,43,515,325
200,44,613,258
200,45,558,290
200,46,434,206
200,47,649,534
200,48,662,420
200,49,340,229
200,50,700,445
300,1,1048,381
300,2,980,617
300,3,783,369
300,4,744,492
300,5,1015,664
300,6,1396,822
300,7,1004,729
300,8,1661,944
300,9,1191,430
300,10,299,151
300,11,963,289
300,12,1557,582
300,13,1254,649
300,14,931,540
300,15,918,642
300,16,617,400
300,17,880,583
300,18,1048,334
300,19,650,363
300,20,734,357
300,21,804,331
300,22,1147,425
300,23,527,319
300,24,648,349
300,25,856,289
300,26,636,380
300,27,1293,606
300,28,979,269
300,29,747,153
300,30,508,182
300,31,889,212
300,32,555,338
300,33,831,229
300,34,659,363
300,35,476,304
300,36,1021,320
300,37,551,269
300,38,1073,647
300,39,744,341
300,40,985,517
300,41,1184,777
300,42,508,309
300,43,1009,351
300,44,976,379
300,45,1111,826
300,46,579,263
300,47,1202,602
300,48,532,217
300,49,618,400
300,50,982,505
400,1,744,257
400,2,1083,573
400,3,1291,725
400,4,1556,631
400,5,1767,1217
400,6,1488,699
400,7,1727,1000
400,8,963,337
400,9,1087,524
400,10,1299,666
400,11,931,443
400,12,1087,600
400,13,1375,466
400,14,1378,586
400,15,936,400
400,16,1299,647
400,17,1269,621
400,18,1466,961
400,19,1692,705
400,20,1666,1162
400,21,1483,936
400,22,1372,799
400,23,1056,525
400,24,900,585
400,25,988,420
400,26,1564,542
400,27,1195,508
400,28,1476,766
400,29,1103,443
400,30,1498,701
400,31,1465,1225
400,32,1080,443
400,33,1709,1103
400,34,1729,741
400,35,1175,718
400,36,1619,1061
400,37,879,348
400,38,708,455
400,39,1297,576
400,40,748,444
400,41,1016,556
400,42,955,656
400,43,932,407
400,44,1113,449
400,45,1907,1105
400,46,1265,687
400,47,1867,1167
400,48,1267,478
400,49,1552,1134
400,50,1527,779
500,1,1803,762
500,2,1709,925
500,3,1326,430
500,4,1012,454
500,5,1938,1075
500,6,1738,768
500,7,1493,831
500,8,1954,1164
500,9,1760,911
500,10,1966,718
500,11,1950,1306
500,12,1394,635
500,13,1409,538
500,14,1711,605
500,15,1316,724
500,16,1463,876
500,17,1572,1072
500,18,1835,1004
500,19,1421,742
500,20,1399,583
500,21,944,558
500,22,2432,1119
500,23,1055,709
500,24,1271,647
500,25,2232,922
500,26,1693,1276
500,27,2075,1358
500,28,1107,614
500,29,1391,904
500,30,1910,922
500,31,2489,1460
500,32,1775,1233
500,33,1314,344
500,34,1542,1161
500,35,1079,578
500,36,2811,590
500,37,1821,707
500,38,1102,687
500,39,2155,1692
500,40,1938,903
500,41,2092,1016
500,42,888,533
500,43,2128,948
500,44,1663,434
500,45,1273,522
500,46,1319,673
500,47,1716,756
500,48,1579,572
500,49,1782,886
500,50,1337,749
600,1,2168,1146
600,2,1625,929
600,3,2433,1338
600,4,2075,721
600,5,1811,1007
600,6,1638,1076
600,7,1342,482
600,8,2954,2291
600,9,2866,1877
600,10,1008,373
600,11,1158,447
600,12,1461,978
600,13,2441,1533
600,14,1508,650
600,15,1646,675
600,16,3516,1413
600,17,2125,1222
600,18,2911,1563
600,19,1672,615
600,20,2371,1215
600,21,2181,1160
600,22,2557,1310
600,23,1463,990
600,24,3123,1618
600,25,1704,961
600,26,1364,841
600,27,1784,604
600,28,2572,1034
600,29,2577,1589
600,30,2180,1194
600,31,2424,1389
600,32,1289,824
600,33,2387,1325
600,34,1185,529
600,35,1699,597
600,36,1165,539
600,37,2376,1077
600,38,1849,706
600,39,1324,593
600,40,2040,1025
600,41,3039,2133
600,42,2282,1236
600,43,2201,884
600,44,1412,671
600,45,3285,1697
600,46,2497,1284
600,47,2871,1675
600,48,1574,1047
600,49,1285,537
600,50,1181,580
700,1,3848,1871
700,2,1607,794
700,3,3450,2108
700,4,3069,858
700,5,2462,1448
700,6,2502,1238
700,7,2094,915
700,8,4022,2807
700,9,2184,1093
700,10,2549,1205
700,11,2257,753
700,12,1989,1072
700,13,1752,885
700,14,2224,1449
700,15,2682,1554
700,16,2948,583
700,17,2083,940
700,18,2678,1292
700,19,3147,1449
700,20,2226,1409
700,21,1623,761
700,22,2043,1071
700,23,3615,2359
700,24,2220,800
700,25,2332,784
700,26,1572,465
700,27,1932,972
700,28,1879,706
700,29,2002,1083
700,30,2703,1702
700,31,1593,933
700,32,2955,1587
700,33,2412,903
700,34,2356,1010
700,35,3260,2036
700,36,4108,2105
700,37,3067,1248
700,38,3715,1052
700,39,1398,715
700,40,2754,1284
700,41,1620,977
700,42,2550,1328
700,43,3149,1998
700,44,1352,797
700,45,2583,1120
700,46,3808,2793
700,47,1716,1080
700,48,1138,417
700,49,2329,1278
700,50,2959,1910
800,1,2034,727
800,2,2659,753
800,3,1914,897
800,4,3398,1790
800,5,2444,1292
800,6,2943,1201
800,7,2769,978
800,8,2367,1446
800,9,2226,998
800,10,2869,1125
800,11,2214,1178
800,12,1998,1178
800,13,2879,1706
800,14,1389,822
800,15,2783,2147
800,16,2459,1608
800,17,2875,1868
800,18,2688,1838
800,19,4192,1972
800,20,2232,650
800,21,1652,818
