n,m,comparisons,swaps
100,1,269,138
100,2,337,174
100,3,277,218
100,4,186,102
100,5,246,126
100,6,229,55
100,7,296,215
100,8,161,108
100,9,215,114
100,10,218,141
100,11,314,194
100,12,238,160
100,13,323,199
100,14,159,102
100,15,268,99
100,16,269,132
100,17,253,134
100,18,184,101
100,19,421,173
100,20,225,143
100,21,249,157
100,22,328,145
100,23,146,36
100,24,266,129
100,25,211,141
100,26,137,59
100,27,223,81
100,28,204,116
100,29,337,141
100,30,262,183
100,31,309,244
100,32,260,139
100,33,378,222
100,34,369,249
100,35,315,108
100,36,255,183
100,37,218,171
100,38,178,88
100,39,309,126
100,40,252,129
100,41,237,126
100,42,204,119
100,43,506,308
100,44,208,133
100,45,220,156
100,46,316,218
100,47,221,137
100,48,553,357
100,49,304,183
100,50,283,109
200,1,782,217
200,2,284,168
200,3,759,355
200,4,804,458
200,5,723,333
200,6,324,151
200,7,496,241
200,8,620,449
200,9,600,417
200,10,447,213
200,11,637,276
200,12,274,167
200,13,733,378
200,14,393,250
200,15,459,228
200,16,575,375
200,17,692,357
200,18,605,313
200,19,475,224
200,20,551,239
200,21,612,200
200,22,521,399
200,23,296,221
200,24,316,137
200,25,470,203
200,26,493,306
200,27,781,554
200,28,610,452
200,29,642,208
200,30,539,289
200,31,371,114
200,32,806,247
200,33,818,436
200,34,401,316
200,35,867,521
200,36,574,241
200,37,270,98
200,38,719,381
200,39,638,325
200,40,729,346
200,41,319,157
200,42,703,403
200,43,622,259
200,44,199,63
200,45,613,492
200,46,441,244
200,47,576,244
200,48,521,343
200,49,534,285
200,50,505,306
300,1,571,292
300,2,645,295
300,3,736,453
300,4,549,329
300,5,752,440
300,6,510,191
300,7,1196,929
300,8,617,277
300,9,1324,660
300,10,593,377
300,11,1052,386
300,12,750,377
300,13,861,635
300,14,492,310
300,15,902,463
300,16,705,285
300,17,457,260
300,18,617,305
300,19,984,644
300,20,883,510
300,21,1285,309
300,22,774,344
300,23,665,414
300,24,945,678
300,25,299,154
300,26,606,325
300,27,520,335
300,28,805,407
300,29,957,532
300,30,1044,519
300,31,889,515
300,32,698,139
300,33,931,348
300,34,978,368
300,35,789,415
300,36,777,344
300,37,1035,605
300,38,890,480
300,39,731,427
300,40,579,422
300,41,716,440
300,42,652,402
300,43,915,481
300,44,525,151
300,45,875,316
300,46,735,414
300,47,417,314
300,48,585,393
300,49,1025,525
300,50,1875,1368
400,1,1256,918
400,2,1773,559
400,3,987,358
400,4,811,588
400,5,1245,603
400,6,559,454
400,7,1039,526
400,8,936,472
400,9,945,556
400,10,1275,619
400,11,872,562
400,12,1330,520
400,13,1007,520
400,14,633,287
400,15,1042,565
400,16,1026,542
400,17,785,423
400,18,1582,1068
400,19,2151,944
400,20,1373,993
400,21,999,617
400,22,898,439
400,23,1684,962
400,24,1214,527
400,25,819,308
400,26,1026,456
400,27,1063,435
400,28,548,138
400,29,803,518
400,30,896,412
400,31,560,454
400,32,1305,930
400,33,1601,1114
400,34,1407,677
400,35,1124,548
400,36,1000,410
400,37,788,413
400,38,849,732
400,39,979,598
400,40,1938,1251
400,41,1782,934
400,42,1136,765
400,43,673,503
400,44,1425,675
400,45,1024,416
400,46,611,345
400,47,891,501
400,48,934,397
400,49,581,202
400,50,702,312
500,1,1671,713
500,2,1167,469
500,3,1893,786
500,4,2061,1504
500,5,1388,454
500,6,2539,492
500,7,1678,1001
500,8,913,455
500,9,1781,802
500,10,1481,532
500,11,1382,944
500,12,1001,467
500,13,1593,196
500,14,2125,1096
500,15,1404,603
500,16,1259,687
500,17,1966,1062
500,18,1555,658
500,19,1398,956
500,20,1689,745
500,21,1530,839
500,22,2371,922
500,23,1276,865
500,24,1064,446
500,25,1274,913
500,26,935,330
500,27,975,375
500,28,1283,912
500,29,1354,376
500,30,1578,981
500,31,1526,570
500,32,1242,684
500,33,1517,383
500,34,1371,750
500,35,1792,832
500,36,1498,940
500,37,1104,444
500,38,3447,2026
500,39,1051,493
500,40,1439,1025
500,41,1104,861
500,42,1229,811
500,43,1507,442
500,44,1286,611
500,45,1414,444
500,46,1511,785
500,47,1997,969
500,48,1231,558
500,49,1497,709
500,50,1571,775
600,1,1421,1170
600,2,1400,607
600,3,1218,772
600,4,1922,717
600,5,1756,531
600,6,2198,814
600,7,780,236
600,8,2047,1105
600,9,2068,427
600,10,2478,1291
600,11,3058,1445
600,12,1904,1221
600,13,1278,560
600,14,1366,496
600,15,2569,1209
600,16,1785,1010
600,17,2924,1619
600,18,1612,895
600,19,1350,975
600,20,2164,481
600,21,1674,1014
600,22,2761,1831
600,23,1569,671
600,24,2996,1636
600,25,2889,1562
600,26,1283,277
600,27,1598,941
600,28,1328,630
600,29,2613,1579
600,30,1123,584
600,31,1470,989
600,32,1520,542
600,33,2163,1655
600,34,2747,1015
600,35,2406,1667
600,36,1214,573
600,37,1755,626
600,38,1494,895
600,39,1379,801
600,40,1628,622
600,41,2799,1151
600,42,1299,344
600,43,2311,1193
600,44,2412,1557
600,45,1733,711
600,46,1042,473
600,47,1217,628
600,48,1611,1015
600,49,1927,1179
600,50,769,528
700,1,1713,948
700,2,2131,828
700,3,1960,1284
700,4,2426,1349
700,5,2327,1037
700,6,3514,1646
700,7,2223,1707
700,8,770,79
700,9,3148,813
700,10,1405,542
700,11,1474,901
700,12,2397,1472
700,13,1476,905
700,14,2912,1949
700,15,1551,876
700,16,2612,1574
700,17,2407,1687
700,18,1015,235
700,19,801,77
700,20,1556,868
700,21,2253,1407
700,22,1258,640
700,23,3470,2124
700,24,1903,1147
700,25,3026,1522
700,26,2805,1495
700,27,1625,682
700,28,1910,893
700,29,1499,801
700,30,3385,1993
700,31,1795,1089
700,32,957,776
700,33,2111,714
700,34,3060,1515
700,35,1573,1118
700,36,1439,529
700,37,2774,1659
700,38,1849,855
700,39,1886,724
700,40,1413,1156
700,41,2954,2303
700,42,2644,1109
700,43,2363,1415
700,44,2518,1588
700,45,2375,1453
700,46,2845,998
700,47,2383,1188
700,48,2517,1169
700,49,1314,728
700,50,891,201
800,1,4383,1284
800,2,3658,1352
800,3,2268,1127
800,4,1746,1008
800,5,2087,1673
800,6,1998,1060
800,7,2008,1243
800,8,2192,752
800,9,2082,1179
800,10,1444,722
800,11,1342,416
800,12,2351,1044
800,13,2441,1550
800,14,1807,1034
800,15,2070,625
800,16,2771,697
800,17,2639,1918
800,18,1978,1216
800,19,2372,835
800,20,3538,1071
800,21,2356,1138
800,22,2685,1858
800,23,1797,824
800,24,3405,2009
800,25,2819,1024
800,26,2485,1492
800,27,3634,2102
800,28,2961,1556
800,29,1233,649
800,30,2592,865
800,31,4287,2662
800,32,1935,1098
800,33,1704,825
800,34,2014,1230
800,35,1889,845
800,36,2477,1547
800,37,1718,847
800,38,2091,921
800,39,1826,612
800,40,4539,2102
800,41,1000,770
800,42,2265,1654
800,43,3335,931
800,44,2470,1212
800,45,2782,919
800,46,2899,1411
800,47,2803,1560
800,48,2414,1227
800,49,2040,1515
800,50,2659,1613
900,1,1704,972
900,2,2701,778
