n,m,comparisons,swaps
100,1,241,132
100,2,241,132
100,3,241,132
100,4,241,132
100,5,241,132
100,6,241,132
100,7,241,132
100,8,241,132
100,9,241,132
100,10,241,132
100,11,241,132
100,12,241,132
100,13,241,132
100,14,241,132
100,15,241,132
100,16,241,132
100,17,241,132
100,18,241,132
100,19,241,132
100,20,241,132
100,21,241,132
100,22,241,132
100,23,241,132
100,24,241,132
100,25,241,132
100,26,241,132
100,27,241,132
100,28,241,132
100,29,241,132
100,30,241,132
100,31,241,132
100,32,241,132
100,33,241,132
100,34,241,132
100,35,241,132
100,36,241,132
100,37,241,132
100,38,241,132
100,39,241,132
100,40,241,132
100,41,241,132
100,42,241,132
100,43,241,132
100,44,241,132
100,45,241,132
100,46,241,132
100,47,241,132
100,48,241,132
100,49,241,132
100,50,241,132
200,1,524,287
200,2,524,287
200,3,524,287
200,4,524,287
200,5,524,287
200,6,524,287
200,7,524,287
200,8,524,287
200,9,524,287
200,10,524,287
200,11,524,287
200,12,524,287
200,13,524,287
200,14,524,287
200,15,524,287
200,16,524,287
200,17,524,287
200,18,524,287
200,19,524,287
200,20,524,287
200,21,524,287
200,22,524,287
200,23,524,287
200,24,524,287
200,25,524,287
200,26,524,287
200,27,524,287
200,28,524,287
200,29,524,287
200,30,524,287
200,31,524,287
200,32,524,287
200,33,524,287
200,34,524,287
200,35,524,287
200,36,524,287
200,37,524,287
200,38,524,287
200,39,524,287
200,40,524,287
200,41,524,287
200,42,524,287
200,43,524,287
200,44,524,287
200,45,524,287
200,46,524,287
200,47,524,287
200,48,524,287
200,49,524,287
200,50,524,287
300,1,810,419
300,2,810,419
300,3,810,419
300,4,810,419
300,5,810,419
300,6,810,419
300,7,810,419
300,8,810,419
300,9,810,419
300,10,810,419
300,11,810,419
300,12,810,419
300,13,810,419
300,14,810,419
300,15,810,419
300,16,810,419
300,17,810,419
300,18,810,419
300,19,810,419
300,20,810,419
300,21,810,419
300,22,810,419
300,23,810,419
300,24,810,419
300,25,810,419
300,26,810,419
300,27,810,419
300,28,810,419
300,29,810,419
300,30,810,419
300,31,810,419
300,32,810,419
300,33,810,419
300,34,810,419
300,35,810,419
300,36,810,419
300,37,810,419
300,38,810,419
300,39,810,419
300,40,810,419
300,41,810,419
300,42,810,419
300,43,810,419
300,44,810,419
300,45,810,419
300,46,810,419
300,47,810,419
300,48,810,419
300,49,810,419
300,50,810,419
400,1,1102,589
400,2,1102,589
400,3,1102,589
400,4,1102,589
400,5,1102,589
400,6,1102,589
400,7,1102,589
400,8,1102,589
400,9,1102,589
400,10,1102,589
400,11,1102,589
400,12,1102,589
400,13,1102,589
400,14,1102,589
400,15,1102,589
400,16,1102,589
400,17,1102,589
400,18,1102,589
400,19,1102,589
400,20,1102,589
400,21,1102,589
400,22,1102,589
400,23,1102,589
400,24,1102,589
400,25,1102,589
400,26,1102,589
400,27,1102,589
400,28,1102,589
400,29,1102,589
400,30,1102,589
400,31,1102,589
400,32,1102,589
400,33,1102,589
400,34,1102,589
400,35,1102,589
400,36,1102,589
400,37,1102,589
400,38,1102,589
400,39,1102,589
400,40,1102,589
400,41,1102,589
400,42,1102,589
400,43,1102,589
400,44,1102,589
400,45,1102,589
400,46,1102,589
400,47,1102,589
400,48,1102,589
400,49,1102,589
400,50,1102,589
500,1,1412,739
500,2,1412,739
500,3,1412,739
500,4,1412,739
500,5,1412,739
500,6,1412,739
500,7,1412,739
500,8,1412,739
500,9,1412,739
500,10,1412,739
500,11,1412,739
500,12,1412,739
500,13,1412,739
500,14,1412,739
500,15,1412,739
500,16,1412,739
500,17,1412,739
500,18,1412,739
500,19,1412,739
500,20,1412,739
500,21,1412,739
500,22,1412,739
500,23,1412,739
500,24,1412,739
500,25,1412,739
500,26,1412,739
500,27,1412,739
500,28,1412,739
500,29,1412,739
500,30,1412,739
500,31,1412,739
500,32,1412,739
500,33,1412,739
500,34,1412,739
500,35,1412,739
500,36,1412,739
500,37,1412,739
500,38,1412,739
500,39,1412,739
500,40,1412,739
500,41,1412,739
500,42,1412,739
500,43,1412,739
500,44,1412,739
500,45,1412,739
500,46,1412,739
500,47,1412,739
500,48,1412,739
500,49,1412,739
500,50,1412,739
600,1,1713,884
600,2,1713,884
600,3,1713,884
600,4,1713,884
600,5,1713,884
600,6,1713,884
600,7,1713,884
600,8,1713,884
600,9,1713,884
600,10,1713,884
600,11,1713,884
600,12,1713,884
600,13,1713,884
600,14,1713,884
600,15,1713,884
600,16,1713,884
600,17,1713,884
600,18,1713,884
600,19,1713,884
600,20,1713,884
600,21,1713,884
600,22,1713,884
600,23,1713,884
600,24,1713,884
600,25,1713,884
600,26,1713,884
600,27,1713,884
600,28,1713,884
600,29,1713,884
600,30,1713,884
600,31,1713,884
600,32,1713,884
600,33,1713,884
600,34,1713,884
600,35,1713,884
600,36,1713,884
600,37,1713,884
600,38,1713,884
600,39,1713,884
600,40,1713,884
600,41,1713,884
600,42,1713,884
600,43,1713,884
600,44,1713,884
