n,m,comparisons,swaps
100,1,241,132
100,2,266,147
100,3,268,149
100,4,270,150
100,5,253,143
100,6,269,148
100,7,135,70
100,8,267,149
100,9,252,141
100,10,233,131
100,11,249,133
100,12,269,150
100,13,255,138
100,14,225,123
100,15,273,150
100,16,225,123
100,17,268,149
100,18,258,147
100,19,245,135
100,20,256,146
100,21,233,131
100,22,243,133
100,23,268,144
100,24,244,135
100,25,235,131
100,26,235,131
100,27,265,149
100,28,241,132
100,29,267,149
100,30,270,152
100,31,237,132
100,32,270,150
100,33,243,133
100,34,272,153
100,35,272,153
100,36,235,131
100,37,272,153
100,38,267,149
100,39,235,132
100,40,245,135
100,41,255,138
100,42,273,150
100,43,235,131
100,44,258,147
100,45,261,145
100,46,261,145
100,47,235,131
100,48,270,150
100,49,269,150
100,50,243,133
200,1,533,286
200,2,565,305
200,3,540,300
200,4,532,288
200,5,528,288
200,6,535,296
200,7,544,295
200,8,535,292
200,9,537,296
200,10,578,314
200,11,536,289
200,12,546,300
200,13,500,265
200,14,538,299
200,15,575,311
200,16,549,302
200,17,516,282
200,18,518,279
200,19,578,314
200,20,546,300
200,21,534,288
200,22,535,292
200,23,532,288
200,24,528,288
200,25,500,265
200,26,565,304
200,27,556,305
200,28,524,287
200,29,528,290
200,30,549,303
200,31,567,307
200,32,517,285
200,33,567,307
200,34,547,302
200,35,534,288
200,36,547,302
200,37,548,303
200,38,577,312
200,39,556,305
200,40,285,153
200,41,545,299
200,42,542,289
200,43,549,303
200,44,568,305
200,45,555,303
200,46,550,292
200,47,514,282
200,48,519,285
200,49,555,303
200,50,542,300
300,1,833,442
300,2,838,445
300,3,839,447
300,4,842,447
300,5,801,417
300,6,838,441
300,7,827,438
300,8,822,436
300,9,837,444
300,10,827,431
300,11,822,437
300,12,838,437
300,13,830,441
300,14,840,443
300,15,838,446
300,16,822,436
300,17,845,447
300,18,844,445
300,19,837,439
300,20,829,429
300,21,844,447
300,22,821,431
300,23,865,453
300,24,864,452
300,25,744,385
300,26,871,459
300,27,835,443
300,28,830,441
300,29,828,442
300,30,835,439
300,31,758,390
300,32,816,428
300,33,432,220
300,34,844,445
300,35,828,442
300,36,881,467
300,37,824,437
300,38,859,451
300,39,828,433
300,40,837,443
300,41,788,410
300,42,827,431
300,43,827,431
300,44,843,440
300,45,835,441
300,46,844,450
300,47,826,435
300,48,828,441
300,49,823,429
300,50,829,439
400,1,1133,606
400,2,1133,606
400,3,1132,602
400,4,1170,621
400,5,1132,602
400,6,1137,600
400,7,1093,585
400,8,1138,608
400,9,1105,584
400,10,1154,615
400,11,1129,606
400,12,1145,613
400,13,1015,531
400,14,1079,569
400,15,1101,586
400,16,1100,585
400,17,1164,619
400,18,1121,606
400,19,1099,590
400,20,1126,605
400,21,1101,586
400,22,1086,579
400,23,1114,597
400,24,1112,597
400,25,1112,595
400,26,1094,587
400,27,1121,606
400,28,1132,602
400,29,1164,619
400,30,1133,600
400,31,1133,604
400,32,1123,595
400,33,1126,608
400,34,1097,590
400,35,1015,531
400,36,1121,593
400,37,1094,587
400,38,1117,603
400,39,1126,605
400,40,1100,586
400,41,1123,595
400,42,1133,607
400,43,1117,602
400,44,1132,603
400,45,1139,602
400,46,1170,621
400,47,1133,606
400,48,1132,602
400,49,1094,587
400,50,1120,594
500,1,1436,751
500,2,1453,764
500,3,1413,744
500,4,1418,751
500,5,1459,768
500,6,1450,761
500,7,1465,774
500,8,1453,767
500,9,1428,752
500,10,1438,755
500,11,1429,745
500,12,1425,745
500,13,1413,738
500,14,1449,761
500,15,1437,755
500,16,1411,744
500,17,1430,752
500,18,1406,726
500,19,1403,736
500,20,1460,767
500,21,1414,740
500,22,1461,767
500,23,1451,766
500,24,1400,726
500,25,1415,732
500,26,1421,753
500,27,1406,738
500,28,1424,751
500,29,1426,746
500,30,1411,744
500,31,1421,750
500,32,1420,748
500,33,1417,747
500,34,1452,762
500,35,1438,753
500,36,1407,732
500,37,1458,767
500,38,1450,764
500,39,1450,761
500,40,1412,739
500,41,1419,752
500,42,1453,762
500,43,1430,752
500,44,1422,742
500,45,1459,766
500,46,1459,768
500,47,1411,744
500,48,1418,750
500,49,1464,772
500,50,1422,751
600,1,1727,893
600,2,1705,893
600,3,1722,897
600,4,1741,904
600,5,1699,875
600,6,1755,912
600,7,1766,910
600,8,1738,904
600,9,1779,922
600,10,1713,901
600,11,1747,912
600,12,1751,907
600,13,1732,908
600,14,1734,907
600,15,1744,904
600,16,1716,901
600,17,1748,906
600,18,1726,896
600,19,1738,902
600,20,1733,909
600,21,1782,924
600,22,1757,907
600,23,1757,910
600,24,1713,887
600,25,1701,875
600,26,1720,904
600,27,1722,898
600,28,1756,910
600,29,1737,908
600,30,1733,898
600,31,1721,905
600,32,1730,887
600,33,1730,896
600,34,1732,908
600,35,1737,912
600,36,1783,925
600,37,1749,906
600,38,1771,914
600,39,1720,897
600,40,1748,909
600,41,1747,898
600,42,1754,914
600,43,1705,893
600,44,1774,918
600,45,1721,907
600,46,1721,907
600,47,1715,901
600,48,1713,884
600,49,1736,906
600,50,1738,900
700,1,2021,1045
700,2,2067,1074
700,3,2039,1054
700,4,2036,1059
