n,m,comparisons,swaps
100,1,514,405
100,2,491,392
100,3,485,388
100,4,491,383
100,5,284,223
100,6,515,406
100,7,483,379
100,8,459,359
100,9,515,406
100,10,514,409
100,11,256,191
100,12,513,403
100,13,261,201
100,14,454,352
100,15,276,213
100,16,449,343
100,17,276,214
100,18,276,213
100,19,448,353
100,20,507,394
100,21,502,401
100,22,484,378
100,23,439,343
100,24,281,223
100,25,480,375
100,26,446,345
100,27,469,358
100,28,483,378
100,29,522,405
100,30,491,392
100,31,240,184
100,32,507,405
100,33,507,408
100,34,251,195
100,35,530,415
100,36,523,424
100,37,260,197
100,38,559,439
100,39,465,362
100,40,463,352
100,41,422,315
100,42,478,366
100,43,514,405
100,44,466,364
100,45,437,332
100,46,537,421
100,47,490,394
100,48,475,372
100,49,469,360
100,50,520,410
200,1,1101,843
200,2,917,699
200,3,1068,840
200,4,1015,775
200,5,997,752
200,6,1102,866
200,7,1049,812
200,8,1064,818
200,9,1073,819
200,10,1071,829
200,11,1035,794
200,12,1053,821
200,13,1079,836
200,14,510,393
200,15,1076,828
200,16,1002,768
200,17,1039,810
200,18,1034,794
200,19,986,761
200,20,1104,861
200,21,1141,898
200,22,1025,787
200,23,1110,862
200,24,1064,821
200,25,1012,778
200,26,1091,842
200,27,1074,831
200,28,1012,778
200,29,1066,823
200,30,1050,804
200,31,1046,821
200,32,1064,822
200,33,584,455
200,34,960,742
200,35,1069,833
200,36,964,745
200,37,954,729
200,38,1083,861
200,39,937,713
200,40,552,422
200,41,1033,795
200,42,1015,793
200,43,1068,822
200,44,1072,821
200,45,1087,841
200,46,1088,836
200,47,1090,841
200,48,479,362
200,49,1091,855
200,50,1130,885
300,1,1650,1261
300,2,1663,1277
300,3,1603,1219
300,4,1649,1272
300,5,920,705
300,6,889,676
300,7,1705,1314
300,8,861,649
300,9,1661,1269
300,10,1723,1311
300,11,1628,1269
300,12,1701,1309
300,13,1586,1201
300,14,1728,1330
300,15,1456,1089
300,16,1616,1228
300,17,1584,1217
300,18,1706,1302
300,19,1656,1257
300,20,1586,1208
300,21,1612,1217
300,22,1645,1256
300,23,1714,1332
300,24,766,583
300,25,1584,1202
300,26,1549,1166
300,27,1539,1168
300,28,855,630
300,29,1476,1119
300,30,1664,1299
300,31,1686,1301
300,32,1620,1230
300,33,1648,1268
300,34,1636,1253
300,35,1607,1216
300,36,1622,1236
300,37,1532,1159
300,38,1694,1311
300,39,1750,1351
300,40,863,648
300,41,1705,1310
300,42,1506,1121
300,43,1686,1293
300,44,1806,1395
300,45,1646,1265
300,46,1657,1257
300,47,1595,1210
300,48,840,635
300,49,1565,1201
300,50,878,677
400,1,2261,1721
400,2,2108,1615
400,3,2139,1628
400,4,2146,1635
400,5,2246,1743
400,6,2235,1714
400,7,2033,1557
400,8,2169,1659
400,9,2185,1681
400,10,2279,1741
400,11,2362,1814
400,12,2211,1677
400,13,2181,1668
400,14,2258,1745
400,15,2221,1706
400,16,2229,1712
400,17,2222,1678
400,18,2184,1665
400,19,2046,1530
400,20,2280,1730
400,21,2297,1747
400,22,2157,1627
400,23,2178,1660
400,24,2232,1713
400,25,1140,856
400,26,2299,1770
400,27,2378,1810
400,28,2206,1711
400,29,2007,1526
400,30,2245,1709
400,31,1172,894
400,32,2193,1689
400,33,2211,1680
400,34,2310,1786
400,35,2136,1613
400,36,2238,1728
400,37,2170,1653
400,38,2187,1646
400,39,2245,1704
400,40,2120,1592
400,41,2207,1691
400,42,1144,867
400,43,2170,1639
400,44,2262,1734
400,45,2281,1755
400,46,2113,1587
400,47,2266,1724
400,48,2180,1687
400,49,2273,1743
400,50,2312,1789
500,1,2701,2058
500,2,2815,2147
500,3,2830,2175
500,4,1485,1126
500,5,2874,2182
500,6,2275,1681
500,7,2827,2144
500,8,2853,2194
500,9,2734,2090
500,10,2811,2142
500,11,2798,2098
500,12,2898,2225
500,13,2827,2169
500,14,2734,2089
500,15,2630,1945
500,16,2895,2215
500,17,2761,2115
500,18,2858,2183
500,19,1302,994
500,20,2840,2174
500,21,2839,2168
500,22,2863,2196
500,23,2595,1942
500,24,2869,2232
500,25,2913,2236
500,26,2667,1988
500,27,2857,2173
500,28,2808,2139
500,29,2825,2148
500,30,1256,947
500,31,2750,2086
500,32,2760,2093
500,33,2871,2162
500,34,2837,2164
500,35,2902,2218
500,36,2782,2109
500,37,2903,2194
500,38,2608,1948
500,39,2861,2182
500,40,2796,2123
500,41,1465,1113
500,42,2722,2080
500,43,2778,2115
500,44,2660,2014
500,45,2840,2151
500,46,2720,2054
500,47,2861,2142
500,48,2704,2044
500,49,2823,2132
500,50,2831,2177
600,1,3329,2519
600,2,3565,2743
600,3,3361,2565
600,4,3329,2513
600,5,3510,2689
600,6,1760,1341
600,7,1863,1418
600,8,3508,2671
600,9,3343,2552
600,10,3251,2444
600,11,3253,2444
600,12,3255,2457
600,13,3642,2783
600,14,3407,2594
600,15,3446,2631
600,16,3460,2607
600,17,3296,2478
600,18,3143,2371
600,19,3483,2647
600,20,3598,2735
600,21,3066,2277
600,22,3340,2507
600,23,3462,2634
600,24,3378,2547
600,25,3344,2490
600,26,3491,2693
600,27,3297,2475
600,28,3299,2484
600,29,1853,1418
600,30,3135,2392
600,31,3054,2332
600,32,3377,2591
600,33,3304,2482
600,34,3498,2640
600,35,3158,2383
600,36,2910,2187
600,37,3618,2747
600,38,3243,2421
600,39,3096,2355
600,40,3629,2775
600,41,3478,2672
600,42,3286,2484
600,43,3451,2604
600,44,1831,1390
600,45,3322,2502
600,46,1827,1402
600,47,3278,2467
600,48,3221,2434
600,49,3354,2566
600,50,3348,2546
700,1,3940,3002
700,2,3814,2837
700,3,3822,2855
700,4,4129,3133
700,5,3956,2994
700,6,4073,3103
700,7,4131,3158
700,8,3693,2769
700,9,4147,3157
700,10,3714,2781
700,11,3796,2844
700,12,4177,3197
