n,m,comparisons,swaps
100,1,490,386
100,2,476,374
100,3,415,308
100,4,476,378
100,5,457,357
100,6,429,340
100,7,500,388
100,8,372,284
100,9,469,368
100,10,444,346
100,11,445,355
100,12,504,405
100,13,448,341
100,14,504,399
100,15,454,343
100,16,492,388
100,17,446,346
100,18,471,373
100,19,469,364
100,20,518,396
100,21,467,372
100,22,479,367
100,23,473,368
100,24,617,474
100,25,490,360
100,26,522,403
100,27,603,473
100,28,439,346
100,29,518,398
100,30,468,370
100,31,532,402
100,32,483,383
100,33,446,350
100,34,519,412
100,35,490,395
100,36,540,422
100,37,570,444
100,38,444,339
100,39,459,357
100,40,511,402
100,41,497,392
100,42,415,323
100,43,465,371
100,44,514,402
100,45,459,353
100,46,522,402
100,47,437,336
100,48,467,373
100,49,458,355
100,50,462,361
200,1,1067,796
200,2,1098,849
200,3,1086,847
200,4,945,729
200,5,1058,820
200,6,1037,786
200,7,1035,820
200,8,1031,792
200,9,900,679
200,10,1087,852
200,11,953,740
200,12,1022,775
200,13,1035,803
200,14,900,687
200,15,984,752
200,16,1008,773
200,17,979,752
200,18,1031,787
200,19,1073,835
200,20,978,751
200,21,1133,889
200,22,929,709
200,23,1038,800
200,24,1034,806
200,25,1077,831
200,26,1088,841
200,27,1041,803
200,28,1027,802
200,29,1007,777
200,30,1033,796
200,31,1049,803
200,32,1001,757
200,33,1077,821
200,34,1070,830
200,35,1185,921
200,36,889,663
200,37,1046,825
200,38,1087,851
200,39,897,686
200,40,976,749
200,41,890,680
200,42,1098,820
200,43,985,762
200,44,1064,813
200,45,1019,772
200,46,1077,838
200,47,1014,772
200,48,902,686
200,49,1092,827
200,50,1018,783
300,1,1548,1160
300,2,1686,1310
300,3,1569,1196
300,4,1710,1340
300,5,1579,1223
300,6,1637,1262
300,7,1477,1106
300,8,1438,1088
300,9,1596,1201
300,10,1594,1208
300,11,1593,1217
300,12,1694,1281
300,13,1573,1199
300,14,1567,1196
300,15,1699,1313
300,16,1620,1234
300,17,1302,995
300,18,1625,1250
300,19,1584,1224
300,20,1495,1117
300,21,1458,1093
300,22,1532,1171
300,23,1530,1177
300,24,1722,1323
300,25,1622,1241
300,26,1604,1207
300,27,1598,1200
300,28,1556,1197
300,29,1659,1269
300,30,1677,1310
300,31,1673,1282
300,32,1614,1243
300,33,1641,1271
300,34,1692,1307
300,35,1579,1212
300,36,1502,1149
300,37,1620,1237
300,38,1657,1294
300,39,1579,1208
300,40,1757,1378
300,41,1475,1104
300,42,1588,1214
300,43,1714,1332
300,44,1583,1224
300,45,1422,1052
300,46,1488,1115
300,47,1677,1299
300,48,1570,1195
300,49,1679,1296
300,50,1537,1169
400,1,2185,1658
400,2,2146,1636
400,3,2348,1784
400,4,2114,1616
400,5,2232,1733
400,6,2178,1674
400,7,2291,1770
400,8,2221,1674
400,9,2204,1697
400,10,2195,1644
400,11,2228,1696
400,12,2191,1672
400,13,2163,1665
400,14,2200,1680
400,15,1954,1466
400,16,2102,1603
400,17,2238,1746
400,18,2036,1552
400,19,2256,1753
400,20,2099,1586
400,21,2080,1572
400,22,2127,1639
400,23,2093,1593
400,24,2271,1737
400,25,2237,1693
400,26,2104,1583
400,27,2147,1635
400,28,2128,1613
400,29,2126,1619
400,30,2334,1776
400,31,2254,1709
400,32,2307,1782
400,33,2203,1685
400,34,2107,1627
400,35,2117,1612
400,36,2151,1648
