n,m,comparisons,swaps
100,1,257,179
100,2,3575,3619
100,3,137,49
100,4,135,47
100,5,101,7
100,6,546,504
100,7,110,17
100,8,222,143
100,9,153,66
100,10,137,49
200,1,202,8
200,2,217,24
200,3,597,434
200,4,318,134
200,5,355,174
200,6,301,116
200,7,214,21
200,8,1645,1539
200,9,857,709
200,10,293,108
300,1,8120,8076
300,2,306,12
300,3,3416,3249
300,4,857,591
300,5,1289,1044
300,6,386,98
300,7,333,42
300,8,299,3
300,9,877,614
300,10,479,197
400,1,489,101
400,2,506,118
400,3,1646,1301
400,4,557,172
400,5,510,122
400,6,2166,1839
400,7,1332,978
400,8,2240,1916
400,9,416,22
400,10,480,92
500,1,507,13
500,2,500,6
500,3,1156,687
500,4,677,192
500,5,1185,716
500,6,650,163
500,7,716,232
500,8,1157,688
500,9,2552,2125
500,10,4488,4042
600,1,4852,4366
600,2,778,191
600,3,8551,8107
600,4,1020,441
600,5,1128,552
600,6,1775,1218
600,7,923,342
600,8,860,276
600,9,691,101
600,10,970,389
700,1,3121,2488
700,2,11757,11277
700,3,1056,375
700,4,843,155
700,5,14748,14313
700,6,963,279
700,7,2695,2053
700,8,1265,589
700,9,1615,949
700,10,958,273
800,1,1015,228
800,2,2800,2055
800,3,1277,495
800,4,3653,2923
800,5,1565,792
800,6,2592,1841
800,7,1278,499
800,8,902,112
800,9,1162,380
800,10,35197,34605
900,1,1411,530
900,2,3044,2196
900,3,981,90
900,4,1134,247
900,5,1719,840
900,6,5745,4942
900,7,21480,20833
900,8,4884,4069
900,9,1961,1092
900,10,1410,529
1000,1,1076,85
1000,2,4558,3607
1000,3,1422,440
1000,4,5357,4442
1000,5,3034,2083
1000,6,2063,1094
1000,7,1050,59
1000,8,3909,2970
1000,9,3253,2283
1000,10,1742,766
1100,1,45754,45027
1100,2,5133,4106
1100,3,1374,287
1100,4,4856,3832
1100,5,1306,218
1100,6,2024,949
1100,7,1622,550
1100,8,2447,1381
1100,9,2038,963
1100,10,3268,2217
1200,1,2091,916
1200,2,3611,2460
1200,3,7007,5889
1200,4,1847,668
1200,5,5546,4422
1200,6,7681,6584
1200,7,1437,249
1200,8,24571,23570
1200,9,8246,7119
1200,10,4296,3154
1300,1,2693,1424
1300,2,1415,124
1300,3,2953,1687
1300,4,1706,421
1300,5,5185,4081
1300,6,4456,3205
1300,7,3572,2315
1300,8,2576,1304
1300,9,2717,1448
1300,10,1838,556
1400,1,1697,310
1400,2,4677,3332
1400,3,2693,1321
1400,4,2948,1579
1400,5,1434,40
1400,6,1512,121
1400,7,1989,607
1400,8,1473,82
1400,9,2065,684
1400,10,2266,888
1500,1,4798,3350
1500,2,7461,6046
1500,3,1929,444
1500,4,17856,16525
1500,5,19639,18230
1500,6,5518,4079
1500,7,1892,407
1500,8,1687,199
1500,9,1984,500
1500,10,4897,3452
1600,1,1865,277
1600,2,2764,1189
1600,3,1953,366
1600,4,1892,304
1600,5,2151,567
1600,6,7337,5813
1600,7,14440,12988
1600,8,32336,30919
1600,9,3587,2021
1600,10,2720,1144
1700,1,12318,10775
1700,2,4409,2752
1700,3,2755,1077
1700,4,1933,245
1700,5,2576,897
1700,6,2252,568
1700,7,6988,5358
1700,8,3740,2074
1700,9,4206,2546
1700,10,1827,136
1800,1,7022,5289
1800,2,3056,1281
1800,3,7812,6103
