n,m,comparisons,swaps
100,1,266,71
100,2,187,108
100,3,299,66
100,4,3774,3876
100,5,188,101
100,6,961,426
100,7,197,121
100,8,596,574
100,9,3774,3876
100,10,187,108
200,1,1035,950
200,2,792,125
200,3,778,124
200,4,644,131
200,5,453,153
200,6,387,199
200,7,1765,121
200,8,396,179
200,9,647,130
200,10,1843,783
300,1,597,265
300,2,566,261
300,3,8969,3990
300,4,719,212
300,5,624,410
300,6,1292,193
300,7,812,203
300,8,1209,1067
300,9,1013,192
300,10,750,533
400,1,830,527
400,2,5202,5050
400,3,875,306
400,4,858,314
400,5,832,532
400,6,1887,238
400,7,1056,817
400,8,790,439
400,9,1089,857
400,10,1771,1567
500,1,1066,701
500,2,996,567
500,3,1391,1099
500,4,999,448
500,5,1016,429
500,6,1095,366
500,7,1916,1651
500,8,948,529
500,9,1953,1690
500,10,1028,640
600,1,1201,691
600,2,1644,1281
600,3,1255,493
600,4,2966,2698
600,5,3082,2774
600,6,2712,2400
600,7,2407,374
600,8,1527,1141
600,9,1355,941
600,10,1219,738
700,1,1406,818
700,2,1453,903
700,3,2373,436
700,4,1505,552
700,5,1866,473
700,6,1379,731
700,7,1855,1414
700,8,2696,2360
700,9,13216,11158
700,10,1709,485
800,1,1701,639
800,2,2723,498
800,3,1588,758
800,4,1588,911
800,5,9508,9168
800,6,1889,1250
800,7,1779,1206
800,8,2541,2069
800,9,1586,762
800,10,1576,789
900,1,1800,1008
900,2,2167,645
900,3,1794,984
900,4,2549,1998
900,5,1889,1190
900,6,1796,832
900,7,1843,1117
900,8,1822,1066
900,9,1822,792
900,10,3208,554
1000,1,2883,2284
1000,2,20224,540
1000,3,2031,1209
1000,4,11700,11239
1000,5,2573,1919
1000,6,2212,1482
1000,7,2170,1422
1000,8,3940,601
1000,9,1980,962
1000,10,2113,807
1100,1,2488,1706
1100,2,3838,668
1100,3,2486,821
1100,4,2605,1745
1100,5,2722,760
1100,6,3623,713
1100,7,2235,1309
1100,8,2419,1615
1100,9,2189,1046
1100,10,3076,723
1200,1,2419,1078
1200,2,2557,1637
1200,3,3417,2679
1200,4,2447,1038
1200,5,3840,750
1200,6,2472,1368
1200,7,2544,965
1200,8,2390,1300
1200,9,3097,2317
1200,10,5141,4507
1300,1,27589,19413
1300,2,5812,5109
1300,3,2628,1158
1300,4,2703,1652
1300,5,3475,2641
1300,6,5977,753
1300,7,2590,1224
1300,8,14421,705
1300,9,3761,848
1300,10,3155,919
1400,1,2814,1262
1400,2,13531,760
1400,3,3009,1939
1400,4,4002,3142
1400,5,3977,897
1400,6,7302,795
1400,7,3439,982
1400,8,2788,1484
1400,9,3103,2069
1400,10,5255,817
1500,1,3526,1086
1500,2,3864,1022
1500,3,8221,6435
1500,4,13569,12845
1500,5,3027,1324
1500,6,3270,2141
1500,7,3014,1687
1500,8,3000,1400
1500,9,3937,2968
1500,10,3835,1027
1600,1,24208,22176
1600,2,6822,5951
1600,3,3351,1295
1600,4,14232,4203
1600,5,3556,1214
1600,6,3595,1198
1600,7,3417,2181
1600,8,3571,2398
1600,9,3310,1342
1600,10,18394,16676
1700,1,29676,28890
1700,2,5313,4286
