n,m,comparisons,swaps
100,1,114,100
100,2,207,104
100,3,290,107
100,4,159,102
100,5,726,121
100,6,135,107
100,7,126,106
100,8,1879,156
100,9,151,106
100,10,174,107
200,1,452,204
200,2,899,205
200,3,435,203
200,4,933,204
200,5,1336,206
200,6,3211,230
200,7,295,276
200,8,289,259
200,9,790,197
200,10,283,232
300,1,713,112
300,2,1059,835
300,3,534,190
300,4,1073,852
300,5,1787,1587
300,6,299,67
300,7,3296,3125
300,8,1160,937
300,9,498,166
300,10,558,265
400,1,748,429
400,2,753,597
400,3,722,466
400,4,9798,369
400,5,8315,463
400,6,1793,1701
400,7,915,375
400,8,739,548
400,9,1032,361
400,10,735,544
500,1,4271,481
500,2,800,675
500,3,10272,5870
500,4,1191,491
500,5,1025,492
500,6,831,741
500,7,845,533
500,8,798,564
500,9,1179,494
500,10,30605,7750
600,1,1539,1150
600,2,1183,591
600,3,2527,2234
600,4,1269,750
600,5,29814,29445
600,6,1188,559
600,7,1615,396
600,8,4441,4156
600,9,1189,657
600,10,3199,337
700,1,5259,5191
700,2,1379,753
700,3,1328,705
700,4,4642,4575
700,5,1515,698
700,6,1179,893
700,7,1298,729
700,8,2541,639
700,9,2258,646
700,10,1228,760
800,1,1914,717
800,2,2048,1774
800,3,1987,707
800,4,1496,918
800,5,1756,702
800,6,2500,2239
800,7,2906,651
800,8,3395,642
800,9,1511,861
800,10,1959,711
900,1,4664,915
900,2,1056,939
900,3,35837,1073
900,4,935,944
900,5,1066,943
900,6,1024,965
900,7,1329,916
900,8,1467,911
900,9,2868,909
900,10,7674,929
1000,1,1867,850
1000,2,1757,594
1000,3,18833,18139
1000,4,2394,317
1000,5,1976,1001
1000,6,3319,2473
1000,7,1884,418
1000,8,1787,694
1000,9,6322,5479
1000,10,8136,221
1100,1,2729,2273
1100,2,2294,1741
1100,3,4621,853
1100,4,2087,1240
1100,5,3259,911
1100,6,2594,974
1100,7,21392,827
1100,8,2296,1746
1100,9,3227,2798
1100,10,2196,1095
1200,1,2376,1213
1200,2,2652,1067
1200,3,2327,1445
1200,4,2483,1131
1200,5,4449,902
1200,6,2498,1792
1200,7,3407,920
1200,8,7485,882
1200,9,22311,835
1200,10,6926,6483
1300,1,5351,598
1300,2,17448,15514
1300,3,2785,832
1300,4,4090,3169
1300,5,3697,676
1300,6,16397,15604
1300,7,4917,605
1300,8,2998,768
1300,9,3752,2790
1300,10,3034,1984
1400,1,2524,1679
1400,2,3594,3072
1400,3,3957,1189
1400,4,3432,1237
1400,5,2640,1556
1400,6,2691,1884
1400,7,7044,1243
1400,8,3064,1299
1400,9,2630,1631
1400,10,5771,1100
1500,1,2279,1617
1500,2,3544,1484
1500,3,2533,1552
1500,4,2211,1915
1500,5,9082,1459
1500,6,2178,1851
1500,7,2835,1508
1500,8,8976,1454
1500,9,2342,2136
1500,10,2826,1522
1600,1,4444,1127
1600,2,18379,951
1600,3,7634,1004
1600,4,4432,3506
1600,5,3547,1292
1600,6,3706,2663
1600,7,3909,2209
1600,8,3180,1600
1600,9,3185,1785
1600,10,4675,3241
1700,1,3783,2178
1700,2,3262,1565
1700,3,4535,2988
1700,4,23160,20326
1700,5,22302,20690
1700,6,4832,3258
1700,7,13308,11041
1700,8,3486,1839
1700,9,4697,3166
1700,10,4459,1871
1800,1,69305,1457
1800,2,3530,1850
1800,3,21434,20909
1800,4,19511,2868
1800,5,13250,2171
1800,6,4900,2148
1800,7,5128,1448
1800,8,8150,7490
1800,9,3474,2192
1800,10,66787,1515
1900,1,3710,2036
1900,2,3910,2665
1900,3,5513,1469
1900,4,7869,7077
1900,5,3969,2764
1900,6,13756,1290
1900,7,4566,3555
1900,8,26612,1260
1900,9,6969,1383
1900,10,42626,5474
2000,1,4609,1428
2000,2,5529,1240
2000,3,3989,2063
2000,4,4489,1423
2000,5,15615,1062
2000,6,6826,1141
2000,7,4245,1524
2000,8,4002,2119
2000,9,12404,929
2000,10,4266,1501
2100,1,4424,3927
2100,2,3583,2343
2100,3,39896,1889
2100,4,3993,3472
2100,5,4337,2081
2100,6,4752,4253
2100,7,3538,2304
2100,8,3650,2288
2100,9,4107,2122
2100,10,4434,3940
2200,1,8249,7570
2200,2,4140,2830
2200,3,24672,4750
2200,4,5281,1979
2200,5,78991,1725
2200,6,4667,3673
2200,7,11346,1886
2200,8,6453,5718
2200,9,6002,1908
2200,10,14516,13711
2300,1,55112,53688
2300,2,11101,1969
2300,3,4133,2997
2300,4,33477,33096
2300,5,4340,3410
2300,6,4260,2455
2300,7,4504,3667
2300,8,4186,3138
2300,9,10637,1976
2300,10,4491,2339
2400,1,4008,1514
2400,2,9465,7237
2400,3,15147,11437
2400,4,53380,51353
2400,5,4328,1910
2400,6,35199,33126
2400,7,5998,3702
2400,8,4328,1908
2400,9,3706,1015
2400,10,48060,45930
2500,1,5024,3272
2500,2,62742,3808
2500,3,8335,1862
2500,4,4976,2510
2500,5,4563,2546
2500,6,6133,2048
2500,7,5828,2092
2500,8,6211,4905
2500,9,5110,3434
2500,10,6422,2005
2600,1,3632,2770
2600,2,8577,2531
2600,3,4736,2669
2600,4,6867,2581
2600,5,6643,2730
2600,6,3696,3585
2600,7,4222,2655
2600,8,12933,2601
2600,9,10355,2563
2600,10,43729,28470
2700,1,10936,798
2700,2,4949,1706
2700,3,14506,3288
2700,4,8219,878
2700,5,18065,737
2700,6,10766,994
2700,7,12816,9034
2700,8,4983,1982
2700,9,5305,1282
2700,10,5128,2316
2800,1,3607,362
2800,2,4055,1197
2800,3,10172,7469
2800,4,10094,7386
2800,5,61509,58933
2800,6,4017,1142
2800,7,13058,9739
2800,8,18955,16298
2800,9,17323,13296
2800,10,35997,78
2900,1,5327,700
2900,2,4684,1061
2900,3,4767,1559
2900,4,17449,14868
2900,5,13030,10415
2900,6,5514,660
2900,7,4681,1081
2900,8,21983,358
2900,9,5814,2953
2900,10,5246,717
3000,1,7521,4944
3000,2,7192,4584
3000,3,6772,4080
3000,4,5851,2792
3000,5,5770,1836
3000,6,14035,11743
3000,7,6676,1402
3000,8,7045,4409
3000,9,23593,938
3000,10,6518,3765
3100,1,7206,2503
3100,2,8242,2332
3100,3,6400,4153
3100,4,8126,6366
3100,5,16861,6327
3100,6,6257,2975
3100,7,10700,9059
3100,8,6181,3101
3100,9,6688,2670
3100,10,31869,1926
3200,1,6549,3108
3200,2,6098,3659
3200,3,16232,8015
3200,4,51455,2355
3200,5,11424,2561
3200,6,6233,4240
3200,7,6380,3205
3200,8,16464,2372
3200,9,22110,21098
3200,10,8255,2728
3300,1,7257,3304
3300,2,13347,3294
3300,3,6536,3338
3300,4,5992,3317
3300,5,6897,3307
3300,6,8283,3299
3300,7,51814,3352
3300,8,3932,3499
3300,9,19240,3299
3300,10,5460,3322
3400,1,6765,3445
3400,2,7042,4587
3400,3,35445,2116
3400,4,6889,3231
3400,5,43896,4194
3400,6,7934,5834
3400,7,16221,2228
3400,8,13984,2280
3400,9,7397,2887
3400,10,7948,2739
3500,1,18434,17149
3500,2,14071,2630
3500,3,11516,10083
3500,4,7565,5625
3500,5,11852,2707
3500,6,11604,2712
3500,7,8105,3044
3500,8,7012,3474
3500,9,7156,3382
3500,10,6759,4114
3600,1,12821,9784
3600,2,18569,940
3600,3,13047,10022
3600,4,6515,2226
3600,5,9161,1187
3600,6,40729,37418
3600,7,6597,1922
3600,8,10604,7479
3600,9,6635,1863
3600,10,16447,13492
3700,1,72155,46953
3700,2,6026,4067
3700,3,143614,3600
3700,4,95845,3443
3700,5,5815,4497
3700,6,5840,4557
3700,7,6665,3825
3700,8,7277,3714
3700,9,11646,3515
3700,10,5919,4185
3800,1,8542,5541
3800,2,7553,3657
3800,3,16291,13933
3800,4,7556,3725
3800,5,25179,22959
3800,6,19622,17324
3800,7,35377,32916
3800,8,12384,9873
3800,9,23168,20924
3800,10,32520,30344
3900,1,8109,4816
3900,2,8772,2836
3900,3,11499,8976
3900,4,13301,9337
3900,5,7981,3279
3900,6,9270,6420
3900,7,7800,3588
3900,8,13818,11440
3900,9,13583,10183
3900,10,12753,2323
4000,1,27709,24748
4000,2,8551,4935
4000,3,7800,2965
4000,4,9894,2039
4000,5,7976,3992
4000,6,10588,7437
4000,7,7784,3030
4000,8,17296,14429
4000,9,9257,2153
4000,10,7951,3612
4100,1,11600,2910
4100,2,9128,6330
4100,3,9295,6558
4100,4,11274,8882
4100,5,9408,4389
4100,6,90866,5208
4100,7,9430,6735
4100,8,8243,4849
4100,9,8161,4164
4100,10,22816,2533
4200,1,11616,2631
4200,2,8387,3895
4200,3,24508,22101
4200,4,24102,2206
4200,5,8415,3635
4200,6,9621,6438
4200,7,33493,2140
4200,8,13469,2478
4200,9,12408,9661
4200,10,11478,8060
4300,1,23456,19348
4300,2,57454,456
4300,3,10571,6453
4300,4,46587,42303
4300,5,17093,13103
4300,6,7191,1123
4300,7,6780,1629
4300,8,7619,3188
4300,9,8629,4370
4300,10,21439,515
4400,1,26670,1893
4400,2,13062,2240
4400,3,21709,17059
4400,4,13818,2190
4400,5,106289,5924
4400,6,9387,5020
4400,7,16185,13100
4400,8,12660,2266
