n,m,comparisons,swaps
100,1,145,64
100,2,176,95
100,3,197,103
100,4,106,13
100,5,245,170
100,6,193,115
100,7,117,30
100,8,512,439
100,9,125,41
100,10,100,7
200,1,221,34
200,2,313,132
200,3,270,89
200,4,615,448
200,5,547,377
200,6,242,58
200,7,1045,882
200,8,234,47
200,9,269,91
200,10,363,188
300,1,346,59
300,2,799,530
300,3,810,543
300,4,364,80
300,5,595,329
300,6,498,223
300,7,449,174
300,8,517,242
300,9,1807,1550
300,10,1726,1478
400,1,551,170
400,2,4425,4076
400,3,551,167
400,4,463,79
400,5,1107,743
400,6,1932,1577
400,7,894,524
400,8,563,188
400,9,509,131
400,10,2425,2076
500,1,2478,2026
500,2,524,34
500,3,506,13
500,4,555,68
500,5,3574,3131
500,6,943,473
500,7,1328,865
500,8,1270,806
500,9,634,156
500,10,602,121
600,1,1041,469
600,2,1298,732
600,3,2315,1748
600,4,699,115
600,5,2577,2025
600,6,2078,1527
600,7,865,290
600,8,2054,1496
600,9,600,7
600,10,1521,952
700,1,875,197
700,2,1481,815
700,3,1134,462
700,4,1198,526
700,5,6255,5621
700,6,2098,1441
700,7,1579,913
700,8,2378,1723
700,9,841,160
700,10,9301,8671
800,1,1132,357
800,2,12740,12009
800,3,878,91
800,4,1131,356
800,5,1702,936
800,6,1175,400
800,7,1000,222
800,8,1256,484
800,9,1273,498
800,10,2012,1252
900,1,974,87
900,2,1118,240
900,3,1912,1046
900,4,8869,8044
900,5,1564,682
900,6,1037,156
900,7,1622,753
900,8,1256,381
900,9,5849,5012
900,10,2093,1230
1000,1,1057,70
1000,2,4100,3151
1000,3,2291,1328
1000,4,4759,3816
1000,5,1918,952
1000,6,10521,9618
1000,7,1724,755
1000,8,1072,85
1000,9,1266,288
1000,10,1534,562
1100,1,15638,14638
1100,2,1358,280
1100,3,1099,2
1100,4,8507,7479
1100,5,4383,3298
1100,6,16754,15763
1100,7,1174,87
1100,8,1161,74
1100,9,5714,4674
1100,10,3322,2268
1200,1,1513,335
1200,2,1276,89
1200,3,6421,5284
1200,4,1395,214
1200,5,6145,5005
1200,6,1473,289
1200,7,8381,7257
1200,8,1499,324
1200,9,6648,5511
1200,10,1743,571
1300,1,1527,246
1300,2,2658,1395
1300,3,1686,411
1300,4,1420,133
1300,5,2434,1168
1300,6,2105,836
1300,7,3913,2661
1300,8,2987,1727
1300,9,6225,4989
1300,10,1555,277
1400,1,4126,2772
1400,2,1625,244
1400,3,12395,11076
1400,4,2373,1001
1400,5,1664,286
1400,6,3435,2075
1400,7,5494,4148
1400,8,29067,27757
1400,9,1440,50
1400,10,1586,205
1500,1,9239,7808
1500,2,4738,3286
1500,3,3842,2385
1500,4,3099,1630
1500,5,1615,128
1500,6,5346,3897
1500,7,1739,258
1500,8,1578,91
1500,9,1894,419
1500,10,2966,1503
1600,1,23867,22369
1600,2,1602,9
1600,3,3914,2357
1600,4,5008,3456
1600,5,5579,4030
1600,6,7918,6382
1600,7,6222,4676
1600,8,5017,3463
1600,9,3030,1464
1600,10,1665,78
1700,1,3039,1373
1700,2,3658,1995
1700,3,2625,953
1700,4,6769,5126
1700,5,11037,9412
1700,6,2847,1178
1700,7,3367,1704
1700,8,3173,1507
1700,9,3948,2288
1700,10,1764,77
1800,1,2553,781
1800,2,3642,1882
1800,3,2645,876
1800,4,5223,3465
1800,5,3005,1236
1800,6,5537,3783
1800,7,3419,1653
1800,8,6597,4851
1800,9,2420,645
1800,10,1870,83
1900,1,3946,2083
1900,2,14643,12821
1900,3,1935,42
1900,4,18947,17140
1900,5,2802,933
1900,6,2392,517
1900,7,5268,3414
1900,8,4803,2946
1900,9,2719,838
1900,10,2093,209
2000,1,2866,894
2000,2,2172,188
2000,3,12235,10310
2000,4,4357,2397
2000,5,6453,4499
2000,6,2658,686
2000,7,5315,3361
2000,8,5399,3441
2000,9,5307,3353
2000,10,2763,791
2100,1,2534,459
2100,2,2323,239
2100,3,6263,4212
2100,4,5128,3071
2100,5,13965,11943
2100,6,15494,13475
2100,7,2518,440
2100,8,3501,1432
2100,9,2152,62
2100,10,22664,20654
2200,1,4407,2247
2200,2,2450,269
2200,3,3422,1253
2200,4,6813,4664
2200,5,42560,40508
2200,6,18026,15913
2200,7,2442,261
2200,8,2938,766
2200,9,2546,371
2200,10,7284,5139
2300,1,11990,9759
2300,2,4144,1878
2300,3,21903,19690
2300,4,2378,91
2300,5,4320,2057
2300,6,2406,119
2300,7,26306,24076
2300,8,2898,617
2300,9,6679,4428
2300,10,3017,745
2400,1,3016,641
2400,2,4532,2172
2400,3,3050,675
2400,4,2402,9
2400,5,4343,1977
