n,m,comparisons,swaps
100,1,291,194
100,2,1333,730
100,3,196,141
100,4,576,388
100,5,485,341
100,6,1756,1433
100,7,208,120
100,8,469,302
100,9,2163,1253
100,10,369,257
200,1,481,296
200,2,3876,3388
200,3,13950,7497
200,4,4602,3925
200,5,2323,1299
200,6,3247,2896
200,7,1879,1161
200,8,4780,4110
200,9,1264,887
200,10,929,663
300,1,781,606
300,2,833,629
300,3,784,561
300,4,3488,3219
300,5,780,558
300,6,12257,10022
300,7,1011,854
300,8,801,505
300,9,1922,1282
300,10,3891,3616
400,1,1063,782
400,2,3571,2477
400,3,898,477
400,4,825,555
400,5,2529,1758
400,6,1444,1158
400,7,18529,9565
400,8,1659,1395
400,9,16485,8481
400,10,4547,4180
500,1,10051,9315
500,2,11257,10484
500,3,5925,3446
500,4,1686,1412
500,5,3314,2297
500,6,1220,709
500,7,1386,1033
500,8,2367,2076
500,9,3582,2582
500,10,2504,1808
600,1,11725,6147
600,2,14237,7218
600,3,1502,870
600,4,1752,1329
600,5,1472,859
600,6,2029,1589
600,7,25147,12777
600,8,1549,1179
600,9,27313,13928
600,10,2717,2434
700,1,37205,18976
700,2,7896,5289
700,3,1842,1406
700,4,1802,1369
700,5,2875,2505
700,6,2439,1664
700,7,7006,4553
700,8,1684,941
700,9,1928,1514
700,10,1775,1039
800,1,5764,4136
800,2,5769,5372
800,3,2037,1198
800,4,4434,4000
800,5,4340,3090
800,6,2268,1597
800,7,2434,1870
800,8,4127,3693
800,9,1708,881
800,10,10200,5902
900,1,2484,1942
900,2,2593,1646
900,3,53784,27276
900,4,9543,6445
900,5,7086,6461
900,6,3259,2732
900,7,4191,2989
900,8,6462,4729
900,9,2278,1305
900,10,3066,2087
1000,1,8098,5583
1000,2,4633,4007
1000,3,8252,5760
1000,4,12201,7724
1000,5,2552,1919
1000,6,3035,2220
1000,7,4003,2812
1000,8,2417,1925
1000,9,2283,1287
1000,10,3446,2702
1100,1,11083,5885
1100,2,6191,4534
1100,3,6793,4897
1100,4,4183,2935
1100,5,5421,4796
1100,6,2430,1244
1100,7,2518,694
1100,8,2415,1621
1100,9,10499,7211
1100,10,2795,2105
1200,1,3053,2055
1200,2,6201,4595
1200,3,3649,2675
1200,4,5481,3953
1200,5,10213,7370
1200,6,2543,1309
1200,7,3803,2797
1200,8,3664,2785
1200,9,5984,4297
1200,10,4362,2366
1300,1,3343,1921
1300,2,3456,2514
1300,3,4484,3509
1300,4,3307,1930
1300,5,41755,21237
1300,6,30173,27520
1300,7,4552,3111
1300,8,3597,2606
1300,9,13130,9210
1300,10,2659,1339
1400,1,4570,3075
1400,2,12541,8817
1400,3,7185,5312
1400,4,7222,6225
1400,5,7121,6137
1400,6,12348,9099
1400,7,20813,12421
1400,8,17746,17081
1400,9,5514,3808
1400,10,3778,2561
1500,1,3843,2254
1500,2,3293,2223
1500,3,5267,4127
1500,4,93955,47900
1500,5,3517,2339
1500,6,8205,7415
1500,7,3932,2327
1500,8,4673,3763
1500,9,17296,15925
1500,10,13292,9802
1600,1,23282,15643
1600,2,11223,7929
1600,3,4131,2445
1600,4,6326,5432
1600,5,3536,2386
1600,6,7524,5365
1600,7,98710,49889
1600,8,3448,2325
1600,9,3270,1656
1600,10,21529,14132
1700,1,11335,8421
1700,2,39567,20448
1700,3,3606,1839
1700,4,8948,7099
1700,5,17722,12772
1700,6,4631,3137
1700,7,11558,10539
1700,8,5191,4135
1700,9,8530,5817
1700,10,5759,4525
1800,1,36155,19119
1800,2,5736,4270
1800,3,5843,4648
1800,4,15355,10836
1800,5,9548,7098
1800,6,10294,7737
1800,7,5345,3924
1800,8,5901,4708
1800,9,72163,39459
1800,10,7349,5357
1900,1,6255,4895
1900,2,8454,7393
1900,3,18416,13325
1900,4,6920,5526
1900,5,14340,10551
1900,6,27784,18674
1900,7,9421,7014
1900,8,18898,13199
1900,9,7543,6468
1900,10,20521,14794
2000,1,3999,2014
2000,2,52982,27152
2000,3,9562,7065
2000,4,6915,4629
2000,5,7735,5483
2000,6,6324,4717
2000,7,15734,11595
2000,8,5131,3012
2000,9,12152,11093
2000,10,10569,7921
2100,1,5394,3164
2100,2,4650,3116
2100,3,17672,12974
2100,4,6275,4084
2100,5,22542,14531
2100,6,16421,12025
2100,7,5796,3892
2100,8,21290,14874
2100,9,11634,8695
2100,10,5384,3162
2200,1,4698,2507
2200,2,5874,4404
2200,3,28837,27484
2200,4,5298,3017
2200,5,8041,5759
2200,6,140292,72064
2200,7,6347,4640
2200,8,36067,23509
2200,9,7420,4546
2200,10,5848,3990
2300,1,6172,3674
2300,2,15155,11581
2300,3,27058,13573
2300,4,7036,5223
2300,5,31711,17626
2300,6,11691,8609
2300,7,7073,4996
2300,8,4718,2366
2300,9,13869,10483
2300,10,34022,23319
2400,1,5473,2825
2400,2,48459,46795
2400,3,50521,24316
2400,4,5296,3548
2400,5,17045,12815
2400,6,34387,23684
2400,7,5959,3349
2400,8,7722,5138
2400,9,33557,21346
2400,10,7811,5219
2500,1,8263,6227
2500,2,5290,2679
2500,3,5381,3620
2500,4,19654,14821
2500,5,7710,5735
2500,6,7047,5103
2500,7,9482,7863
2500,8,44244,42836
2500,9,5442,3641
2500,10,10595,7796
2600,1,18199,13695
2600,2,10383,8913
2600,3,24513,22282
2600,4,7049,4781
2600,5,8689,5862
2600,6,80530,41834
2600,7,6816,5126
2600,8,31123,15154
2600,9,6931,5216
2600,10,8867,6025
2700,1,16286,12301
2700,2,5505,2768
2700,3,125252,118030
2700,4,28958,21441
2700,5,18319,13773
2700,6,14730,9381
2700,7,19653,18189
2700,8,7731,6008
2700,9,20748,14473
2700,10,21469,15591
2800,1,12708,9359
2800,2,31783,22491
2800,3,20466,15501
2800,4,10713,7506
2800,5,18502,13366
2800,6,22554,19491
2800,7,27669,19102
2800,8,30616,21632
2800,9,46497,28698
2800,10,11261,7857
2900,1,36101,21236
2900,2,17187,12935
2900,3,22509,16948
2900,4,18782,14302
2900,5,15903,14017
2900,6,17249,13457
2900,7,80871,76381
2900,8,39952,38413
2900,9,5959,2985
2900,10,58155,35169
3000,1,16707,14969
3000,2,7424,4240
3000,3,22662,13072
3000,4,17551,13195
3000,5,15169,13215
3000,6,6774,3775
3000,7,36979,26140
3000,8,30541,29025
3000,9,6668,3481
3000,10,7684,5774
3100,1,42254,40621
3100,2,6344,3190
3100,3,35855,31239
3100,4,94621,56279
3100,5,21230,15974
3100,6,8866,6881
3100,7,7351,4350
3100,8,6803,4541
3100,9,21011,15787
3100,10,9463,7554
3200,1,17031,12797
3200,2,7970,4342
3200,3,10093,7523
3200,4,12898,9233
3200,5,9559,7058
3200,6,89995,51832
3200,7,8814,5322
3200,8,7116,3700
3200,9,8224,4807
3200,10,24005,17287
3300,1,13788,11303
3300,2,8553,6420
3300,3,138592,78860
3300,4,23567,16936
3300,5,17995,14384
3300,6,45927,23227
3300,7,13309,11418
3300,8,36701,27205
3300,9,8987,6111
3300,10,8937,6057
3400,1,11663,9202
3400,2,12410,9773
3400,3,7208,3659
3400,4,9136,6208
3400,5,16166,12009
3400,6,78050,39424
3400,7,14235,10288
3400,8,23051,16679
3400,9,22950,21149
3400,10,60992,41534
3500,1,9523,6200
3500,2,17807,13447
3500,3,37508,27785
3500,4,34315,32345
3500,5,39410,28435
3500,6,20024,14996
3500,7,18120,12862
3500,8,9490,5659
3500,9,24704,18908
3500,10,27363,25371
3600,1,13201,9378
3600,2,64069,41583
3600,3,89490,58707
3600,4,24081,13713
3600,5,21708,13668
3600,6,12697,9674
3600,7,24393,19190
3600,8,17555,13136
