n,m,comparisons,swaps
100,1,951,504
100,2,950,834
100,3,218,163
100,4,950,834
100,5,375,255
100,6,294,197
100,7,212,155
100,8,645,395
100,9,234,146
100,10,206,148
200,1,982,676
200,2,992,692
200,3,560,370
200,4,803,445
200,5,5178,2759
200,6,1476,644
200,7,600,410
200,8,743,516
200,9,843,599
200,10,4229,2126
300,1,625,348
300,2,1453,969
300,3,2966,1566
300,4,983,791
300,5,10774,5637
300,6,658,358
300,7,621,342
300,8,1170,789
300,9,4346,2226
300,10,1056,878
400,1,966,632
400,2,464,371
400,3,543,384
400,4,1045,580
400,5,1081,644
400,6,644,435
400,7,2005,1289
400,8,852,512
400,9,811,723
400,10,1453,983
500,1,2990,2027
500,2,1723,1385
500,3,886,433
500,4,1273,834
500,5,828,369
500,6,2573,2245
500,7,8747,8100
500,8,1950,1533
500,9,12985,11916
500,10,7464,6120
600,1,2029,1707
600,2,1224,662
600,3,2153,1752
600,4,4146,2996
600,5,6145,3754
600,6,1131,577
600,7,973,489
600,8,1893,1272
600,9,3500,2509
600,10,6115,3673
700,1,28508,14564
700,2,1520,873
700,3,5315,3788
700,4,3823,2752
700,5,2088,1618
700,6,2826,2049
700,7,5954,4001
700,8,5246,5025
700,9,23611,20802
700,10,1934,1491
800,1,6884,3124
800,2,11620,10580
800,3,1414,641
800,4,2083,1349
800,5,51951,25940
800,6,1636,719
800,7,1001,159
800,8,6334,5613
800,9,2830,2107
800,10,1504,636
900,1,11438,6757
900,2,20085,10031
900,3,7395,5207
900,4,5338,3979
900,5,4592,3366
900,6,6542,4741
900,7,1844,1231
900,8,8757,5200
900,9,4251,3787
900,10,2072,1136
1000,1,1971,972
1000,2,7589,5470
1000,3,2054,1019
1000,4,2386,1353
1000,5,2878,1839
1000,6,2054,1019
1000,7,2869,1914
1000,8,1975,978
1000,9,3240,2420
1000,10,19568,10809
1100,1,5418,4046
1100,2,2016,1472
1100,3,2213,2000
1100,4,5040,3723
1100,5,2750,2132
1100,6,3304,3129
1100,7,2546,1560
1100,8,2330,1069
1100,9,2400,1181
1100,10,2319,1240
1200,1,2319,1042
