n,m,comparisons,swaps
100,1,105,18
100,2,255,174
100,3,173,89
100,4,396,324
100,5,208,130
100,6,154,64
100,7,179,89
100,8,241,154
100,9,195,111
100,10,207,123
200,1,386,204
200,2,381,196
200,3,347,169
200,4,457,275
200,5,269,82
200,6,244,56
200,7,563,378
200,8,611,439
200,9,287,106
200,10,447,272
300,1,435,150
300,2,978,705
300,3,568,283
300,4,807,534
300,5,807,534
300,6,361,71
300,7,461,179
300,8,462,177
300,9,516,225
300,10,426,139
400,1,826,442
400,2,417,30
400,3,844,457
400,4,983,602
400,5,582,204
400,6,784,406
400,7,989,608
400,8,787,406
400,9,1506,1131
400,10,537,150
500,1,726,245
500,2,1005,521
500,3,1402,927
500,4,651,170
500,5,557,73
500,6,1230,764
500,7,1354,873
500,8,765,284
500,9,1368,899
500,10,606,113
600,1,624,40
600,2,671,78
600,3,683,102
600,4,1285,701
600,5,1213,632
600,6,1679,1095
600,7,1086,514
600,8,1335,757
600,9,1436,867
600,10,1213,644
700,1,931,250
700,2,812,124
700,3,743,55
700,4,1575,896
700,5,1061,385
700,6,2312,1639
700,7,1130,448
700,8,1492,820
700,9,836,163
700,10,1251,572
800,1,1841,1057
800,2,1993,1211
800,3,1488,707
800,4,1345,558
800,5,1283,513
800,6,1617,835
800,7,2135,1368
800,8,1990,1215
800,9,1223,439
800,10,821,33
900,1,2194,1315
900,2,1169,284
900,3,2403,1525
900,4,2194,1315
900,5,1042,163
900,6,1645,761
900,7,2119,1247
900,8,3058,2192
900,9,1999,1123
900,10,1375,493
1000,1,1157,176
1000,2,2294,1316
1000,3,1896,927
1000,4,1069,88
1000,5,3108,2135
1000,6,1105,114
1000,7,1646,662
1000,8,1740,762
1000,9,1527,543
1000,10,1901,923
1100,1,2461,1385
1100,2,2838,1765
1100,3,1638,559
1100,4,1286,201
1100,5,1479,394
1100,6,1285,198
1100,7,1946,865
1100,8,1632,553
1100,9,3023,1947
1100,10,1103,12
1200,1,4225,3065
1200,2,1685,516
1200,3,2799,1621
1200,4,1297,116
1200,5,2576,1391
1200,6,1813,641
1200,7,3982,2813
1200,8,1763,582
1200,9,1262,77
1200,10,2165,987
1300,1,2336,1063
1300,2,1783,511
1300,3,3587,2323
1300,4,1603,328
1300,5,1786,505
1300,6,3023,1744
1300,7,3126,1850
1300,8,3262,1996
1300,9,3585,2328
1300,10,3223,1957
1400,1,2410,1041
1400,2,1934,556
1400,3,2799,1421
1400,4,3597,2231
1400,5,2976,1601
1400,6,2097,719
1400,7,3219,1856
1400,8,2058,689
1400,9,2068,684
1400,10,3214,1836
1500,1,1993,524
1500,2,1839,367
1500,3,4152,2674
1500,4,1626,139
1500,5,3122,1653
1500,6,1724,240
1500,7,2332,847
1500,8,4230,2761
1500,9,2151,676
1500,10,3018,1540
1600,1,3135,1556
1600,2,2494,909
1600,3,4629,3066
1600,4,1859,274
1600,5,4923,3344
1600,6,3911,2329
1600,7,3271,1686
1600,8,3124,1545
1600,9,6531,4959
1600,10,1662,83
1700,1,3569,1893
1700,2,3328,1646
1700,3,1838,150
1700,4,2396,717
1700,5,4606,2931
1700,6,2237,568
1700,7,6675,5014
1700,8,3128,1458
1700,9,3136,1452
1700,10,2538,853
1800,1,3195,1417
1800,2,3251,1473
1800,3,4729,2951
1800,4,3525,1744
1800,5,2829,1041
1800,6,2774,993
1800,7,4380,2602
1800,8,2623,839
1800,9,3491,1710
1800,10,3130,1349
1900,1,3953,2074
1900,2,2644,768
1900,3,2617,739
1900,4,4208,2335
1900,5,2087,202
1900,6,3970,2095
1900,7,4601,2716
1900,8,3562,1687
1900,9,1943,56
1900,10,2160,272
2000,1,2933,961
2000,2,4759,2787
2000,3,5959,3999
2000,4,5534,3585
2000,5,2992,1014
2000,6,3823,1859
2000,7,5085,3107
2000,8,5652,3674
2000,9,2442,472
2000,10,5084,3105
2100,1,6059,3987
2100,2,3818,1743
2100,3,2920,845
2100,4,5770,3689
2100,5,2876,798
2100,6,2258,174
2100,7,3401,1329
2100,8,3493,1403
2100,9,2222,135
2100,10,7571,5508
2200,1,4626,2442
2200,2,5755,3586
2200,3,6791,4625
2200,4,4584,2418
2200,5,5147,2978
2200,6,2247,60
2200,7,3711,1536
2200,8,2495,317
2200,9,5643,3471
2200,10,3223,1048
2300,1,2419,125
2300,2,6378,4111
2300,3,3543,1267
2300,4,4632,2356
2300,5,5914,3663
2300,6,4692,2413
2300,7,5499,3220
2300,8,2494,210
2300,9,2457,172
2300,10,8228,5970
2400,1,2406,15
2400,2,2567,185
2400,3,5496,3129
2400,4,8553,6189
2400,5,3932,1553
2400,6,5165,2805
2400,7,3435,1053
2400,8,6467,4109
2400,9,3525,1146
2400,10,5917,3544
