n,m,comparisons,swaps
100,1,284,143
100,2,211,124
100,3,258,158
100,4,470,261
100,5,262,78
100,6,241,120
100,7,325,204
100,8,338,135
100,9,531,347
100,10,297,143
200,1,610,279
200,2,735,170
200,3,873,328
200,4,593,328
200,5,666,288
200,6,832,407
200,7,622,364
200,8,562,230
200,9,1013,658
200,10,703,163
300,1,1410,1167
300,2,1000,436
300,3,972,421
300,4,1066,425
300,5,863,272
300,6,639,329
300,7,632,375
300,8,970,575
300,9,539,376
300,10,1241,525
400,1,950,536
400,2,806,503
400,3,1193,475
400,4,1230,771
400,5,1287,698
400,6,711,324
400,7,847,524
400,8,1235,819
400,9,1751,454
400,10,1536,709
500,1,1327,685
500,2,2315,878
500,3,993,415
500,4,1142,640
500,5,1225,632
500,6,1151,606
500,7,2392,1160
500,8,2493,1135
500,9,1747,1165
500,10,944,513
600,1,1248,740
600,2,1901,1256
600,3,1312,398
600,4,1816,1323
600,5,2361,1004
600,6,2307,1184
600,7,2328,1690
600,8,1482,569
600,9,2033,1549
600,10,2669,1482
700,1,2379,1288
700,2,1602,832
700,3,1249,504
700,4,2895,1448
700,5,3302,2240
700,6,2650,1456
700,7,2522,1447
700,8,4061,2345
700,9,1565,869
700,10,2480,1645
800,1,2473,1100
800,2,1491,576
800,3,2588,1356
800,4,3950,2225
800,5,1256,467
800,6,2530,1130
800,7,1691,646
800,8,3163,1359
800,9,1891,938
800,10,2688,1289
900,1,2580,1046
900,2,3423,1138
900,3,3302,1589
900,4,2733,757
900,5,2643,1538
900,6,2460,1453
900,7,2438,1479
900,8,3563,1462
900,9,1680,795
900,10,2401,956
1000,1,3903,1760
1000,2,3482,994
1000,3,3876,1731
1000,4,2595,1706
1000,5,2635,1083
1000,6,2668,1265
1000,7,2714,1097
1000,8,2639,1117
1000,9,3831,2580
1000,10,2548,1226
1100,1,5115,2472
1100,2,4418,995
1100,3,2637,1141
1100,4,3436,2637
1100,5,3708,1804
1100,6,4271,1088
1100,7,2302,1533
1100,8,3907,1693
1100,9,3371,810
1100,10,2097,1278
1200,1,3888,1497
1200,2,5088,2811
1200,3,4781,1076
1200,4,2694,1670
1200,5,3992,2071
1200,6,4371,2731
1200,7,3544,1919
1200,8,4536,3157
1200,9,2234,974
1200,10,4104,1918
1300,1,4416,2161
1300,2,3958,1712
1300,3,3375,805
1300,4,3860,1383
1300,5,3086,1979
1300,6,5962,2950
1300,7,5052,1813
1300,8,4503,3532
1300,9,4462,3251
1300,10,4950,3378
1400,1,3909,1852
1400,2,2835,1789
1400,3,2834,1669
1400,4,4564,1662
1400,5,4584,1881
1400,6,7329,4114
1400,7,4792,3443
1400,8,5251,3320
1400,9,4953,2090
1400,10,3382,949
1500,1,2912,1052
1500,2,2681,1798
1500,3,4233,1860
1500,4,3628,1758
1500,5,4843,1638
1500,6,6233,2800
1500,7,5595,4095
1500,8,3624,2481
1500,9,5140,1529
1500,10,3553,1848
1600,1,5224,2899
1600,2,3793,2160
1600,3,3906,2625
1600,4,7642,4873
1600,5,5165,1749
1600,6,9290,3393
1600,7,5054,2672
1600,8,7412,3438
1600,9,4379,1808
1600,10,6311,2667
1700,1,6490,3320
1700,2,4885,2578
1700,3,6785,4498
1700,4,6484,4157
1700,5,6653,4621
1700,6,5260,2610
1700,7,3812,2350
1700,8,4366,1795
1700,9,4509,2461
1700,10,6912,3041
1800,1,4821,3337
1800,2,4915,2269
1800,3,3593,2031
1800,4,11060,4541
1800,5,6147,3298
1800,6,7308,3333
1800,7,3096,2021
1800,8,4634,1823
1800,9,5820,2419
1800,10,5934,2218
1900,1,6310,3918
1900,2,5770,2420
1900,3,9167,5223
1900,4,5967,2069
1900,5,5238,1463
1900,6,6255,3505
1900,7,6729,2903
1900,8,6542,3995
1900,9,4851,2275
1900,10,4395,1040
2000,1,9997,3529
2000,2,5154,1301
2000,3,6993,2952
2000,4,5169,2986
2000,5,6306,3151
2000,6,8080,4474
2000,7,5628,2290
2000,8,7223,3776
