n,m,comparisons,swaps
100,1,133,122
100,2,168,121
100,3,366,111
100,4,369,109
100,5,170,145
100,6,225,117
100,7,161,109
100,8,202,108
100,9,161,119
100,10,271,110
200,1,410,206
200,2,731,482
200,3,875,524
200,4,447,178
200,5,473,280
200,6,716,369
200,7,588,366
200,8,602,211
200,9,1075,693
200,10,741,483
300,1,1330,562
300,2,756,620
300,3,942,355
300,4,850,411
300,5,872,331
300,6,1150,423
300,7,722,309
300,8,813,560
300,9,507,323
300,10,556,305
400,1,1576,630
400,2,1166,829
400,3,1000,742
400,4,1498,974
400,5,1316,587
400,6,2112,1314
400,7,1113,587
400,8,1381,622
400,9,1483,709
400,10,1356,728
500,1,2043,1005
500,2,1258,622
500,3,1539,573
500,4,1291,698
500,5,1284,757
500,6,1291,698
500,7,1273,763
500,8,1797,1235
500,9,1344,526
500,10,1462,643
600,1,1486,897
600,2,1122,445
600,3,1166,744
600,4,1988,968
600,5,2257,1118
600,6,1881,1048
600,7,3644,2183
600,8,1966,930
600,9,1051,411
600,10,2480,1623
700,1,2094,1119
700,2,2259,1172
700,3,1572,1028
700,4,3524,2079
700,5,1678,1058
700,6,1159,465
700,7,927,318
700,8,2497,1087
700,9,2547,1496
700,10,1302,183
800,1,1826,901
800,2,2206,1309
800,3,4060,1240
800,4,2631,1445
800,5,4459,2325
800,6,2826,1543
800,7,2734,1797
800,8,2396,1162
800,9,2604,1210
800,10,4079,1806
900,1,2612,1360
900,2,3034,1717
900,3,3792,1641
900,4,2369,1364
900,5,3796,2173
900,6,3747,2103
900,7,2230,1494
900,8,3365,2270
900,9,4184,1559
900,10,3182,1820
1000,1,4334,3149
1000,2,2852,1831
1000,3,3153,1279
1000,4,1793,1016
1000,5,2322,986
1000,6,1784,1183
1000,7,4587,2117
1000,8,4119,2588
1000,9,2990,1583
1000,10,2385,1030
1100,1,2929,1779
1100,2,1743,727
1100,3,3787,2273
1100,4,3857,2411
1100,5,2583,1262
1100,6,4094,2809
1100,7,5687,3426
1100,8,2111,974
1100,9,2690,1619
1100,10,3868,2567
1200,1,1962,1432
1200,2,2887,1932
1200,3,2414,2066
1200,4,2164,1213
1200,5,2967,1417
1200,6,2528,1231
1200,7,1996,1177
1200,8,5875,2637
1200,9,6856,2396
1200,10,2345,1350
1300,1,3483,1590
1300,2,2886,1860
1300,3,6991,4076
1300,4,3978,1906
1300,5,2874,2132
1300,6,2245,1289
1300,7,2796,1146
1300,8,3011,1901
1300,9,4240,1921
1300,10,3529,2023
1400,1,4922,1721
1400,2,4843,3261
1400,3,4284,1573
1400,4,5589,2861
1400,5,3121,1916
1400,6,3574,2037
1400,7,4154,1999
1400,8,2567,1140
1400,9,6222,3098
1400,10,6031,4275
1500,1,5961,3107
1500,2,4838,3330
1500,3,3245,1063
1500,4,3629,1380
1500,5,3381,1504
1500,6,1813,368
1500,7,3739,1951
1500,8,3066,1445
1500,9,7337,4422
1500,10,5358,3008
1600,1,3523,1799
1600,2,7240,5347
1600,3,5062,2459
1600,4,9674,7605
1600,5,6948,5176
1600,6,5101,3193
1600,7,3635,1270
1600,8,5087,3053
1600,9,4325,2477
1600,10,8408,4791
