n,m,comparisons,swaps
100,1,233,131
100,2,233,131
100,3,233,131
100,4,233,131
100,5,233,131
100,6,233,131
100,7,233,131
100,8,233,131
100,9,233,131
100,10,233,131
200,1,515,284
200,2,515,284
200,3,515,284
200,4,515,284
200,5,515,284
200,6,515,284
200,7,515,284
200,8,515,284
200,9,515,284
200,10,515,284
300,1,802,419
300,2,802,419
300,3,802,419
300,4,802,419
300,5,802,419
300,6,802,419
300,7,802,419
300,8,802,419
300,9,802,419
300,10,802,419
400,1,1092,587
400,2,1092,587
400,3,1092,587
400,4,1092,587
400,5,1092,587
400,6,1092,587
400,7,1092,587
400,8,1092,587
400,9,1092,587
400,10,1092,587
500,1,1402,738
500,2,1402,738
500,3,1402,738
500,4,1402,738
500,5,1402,738
500,6,1402,738
500,7,1402,738
500,8,1402,738
500,9,1402,738
500,10,1402,738
600,1,1704,884
600,2,1704,884
600,3,1704,884
600,4,1704,884
600,5,1704,884
600,6,1704,884
600,7,1704,884
600,8,1704,884
600,9,1704,884
600,10,1704,884
700,1,2001,1043
700,2,2001,1043
700,3,2001,1043
700,4,2001,1043
700,5,2001,1043
700,6,2001,1043
700,7,2001,1043
700,8,2001,1043
700,9,2001,1043
700,10,2001,1043
800,1,2289,1205
800,2,2289,1205
800,3,2289,1205
800,4,2289,1205
800,5,2289,1205
800,6,2289,1205
800,7,2289,1205
800,8,2289,1205
800,9,2289,1205
800,10,2289,1205
900,1,2588,1351
900,2,2588,1351
900,3,2588,1351
900,4,2588,1351
900,5,2588,1351
900,6,2588,1351
900,7,2588,1351
900,8,2588,1351
900,9,2588,1351
900,10,2588,1351
1000,1,2922,1524
1000,2,2922,1524
1000,3,2922,1524
1000,4,2922,1524
1000,5,2922,1524
1000,6,2922,1524
1000,7,2922,1524
1000,8,2922,1524
1000,9,2922,1524
1000,10,2922,1524
1100,1,3212,1648
1100,2,3212,1648
1100,3,3212,1648
1100,4,3212,1648
1100,5,3212,1648
1100,6,3212,1648
1100,7,3212,1648
1100,8,3212,1648
1100,9,3212,1648
1100,10,3212,1648
1200,1,3544,1829
1200,2,3544,1829
1200,3,3544,1829
1200,4,3544,1829
1200,5,3544,1829
1200,6,3544,1829
1200,7,3544,1829
1200,8,3544,1829
1200,9,3544,1829
1200,10,3544,1829
1300,1,3810,1964
1300,2,3810,1964
1300,3,3810,1964
1300,4,3810,1964
1300,5,3810,1964
1300,6,3810,1964
1300,7,3810,1964
1300,8,3810,1964
1300,9,3810,1964
1300,10,3810,1964
1400,1,4108,2117
1400,2,4108,2117
1400,3,4108,2117
1400,4,4108,2117
1400,5,4108,2117
1400,6,4108,2117
1400,7,4108,2117
1400,8,4108,2117
1400,9,4108,2117
1400,10,4108,2117
1500,1,4437,2289
1500,2,4437,2289
1500,3,4437,2289
1500,4,4437,2289
1500,5,4437,2289
1500,6,4437,2289
1500,7,4437,2289
1500,8,4437,2289
1500,9,4437,2289
1500,10,4437,2289
1600,1,4767,2476
1600,2,4767,2476
1600,3,4767,2476
1600,4,4767,2476
1600,5,4767,2476
1600,6,4767,2476
1600,7,4767,2476
1600,8,4767,2476
1600,9,4767,2476
1600,10,4767,2476
1700,1,5072,2616
1700,2,5072,2616
1700,3,5072,2616
1700,4,5072,2616
1700,5,5072,2616
1700,6,5072,2616
1700,7,5072,2616
1700,8,5072,2616
1700,9,5072,2616
1700,10,5072,2616
1800,1,5361,2771
1800,2,5361,2771
1800,3,5361,2771
1800,4,5361,2771
1800,5,5361,2771
1800,6,5361,2771
1800,7,5361,2771
1800,8,5361,2771
1800,9,5361,2771
1800,10,5361,2771
1900,1,5562,2857
1900,2,5562,2857
1900,3,5562,2857
1900,4,5562,2857
1900,5,5562,2857
1900,6,5562,2857
1900,7,5562,2857
1900,8,5562,2857
1900,9,5562,2857
1900,10,5562,2857
2000,1,6020,3112
2000,2,6020,3112
2000,3,6020,3112
2000,4,6020,3112
2000,5,6020,3112
2000,6,6020,3112
2000,7,6020,3112
2000,8,6020,3112
2000,9,6020,3112
2000,10,6020,3112
2100,1,6324,3242
2100,2,6324,3242
2100,3,6324,3242
2100,4,6324,3242
2100,5,6324,3242
2100,6,6324,3242
2100,7,6324,3242
2100,8,6324,3242
2100,9,6324,3242
2100,10,6324,3242
2200,1,6641,3398
2200,2,6641,3398
2200,3,6641,3398
2200,4,6641,3398
2200,5,6641,3398
2200,6,6641,3398
2200,7,6641,3398
2200,8,6641,3398
2200,9,6641,3398
2200,10,6641,3398
2300,1,6838,3485
2300,2,6838,3485
2300,3,6838,3485
2300,4,6838,3485
2300,5,6838,3485
2300,6,6838,3485
2300,7,6838,3485
2300,8,6838,3485
2300,9,6838,3485
2300,10,6838,3485
2400,1,7198,3689
2400,2,7198,3689
2400,3,7198,3689
2400,4,7198,3689
2400,5,7198,3689
2400,6,7198,3689
2400,7,7198,3689
2400,8,7198,3689
2400,9,7198,3689
2400,10,7198,3689
2500,1,7595,3875
2500,2,7595,3875
2500,3,7595,3875
2500,4,7595,3875
2500,5,7595,3875
2500,6,7595,3875
2500,7,7595,3875
2500,8,7595,3875
2500,9,7595,3875
2500,10,7595,3875
2600,1,7870,4022
2600,2,7870,4022
2600,3,7870,4022
2600,4,7870,4022
2600,5,7870,4022
2600,6,7870,4022
2600,7,7870,4022
2600,8,7870,4022
2600,9,7870,4022
2600,10,7870,4022
2700,1,8125,4132
2700,2,8125,4132
