n,m,comparisons,swaps
100,1,241,132
100,2,241,132
100,3,241,132
100,4,241,132
100,5,241,132
100,6,241,132
100,7,241,132
100,8,241,132
100,9,241,132
100,10,241,132
200,1,524,287
200,2,524,287
200,3,524,287
200,4,524,287
200,5,524,287
200,6,524,287
200,7,524,287
200,8,524,287
200,9,524,287
200,10,524,287
300,1,810,419
300,2,810,419
300,3,810,419
300,4,810,419
300,5,810,419
300,6,810,419
300,7,810,419
300,8,810,419
300,9,810,419
300,10,810,419
400,1,1102,589
400,2,1102,589
400,3,1102,589
400,4,1102,589
400,5,1102,589
400,6,1102,589
400,7,1102,589
400,8,1102,589
400,9,1102,589
400,10,1102,589
500,1,1412,739
500,2,1412,739
500,3,1412,739
500,4,1412,739
500,5,1412,739
500,6,1412,739
500,7,1412,739
500,8,1412,739
500,9,1412,739
500,10,1412,739
600,1,1713,884
600,2,1713,884
600,3,1713,884
600,4,1713,884
600,5,1713,884
600,6,1713,884
600,7,1713,884
600,8,1713,884
600,9,1713,884
600,10,1713,884
700,1,2011,1043
700,2,2011,1043
700,3,2011,1043
700,4,2011,1043
700,5,2011,1043
700,6,2011,1043
700,7,2011,1043
700,8,2011,1043
700,9,2011,1043
700,10,2011,1043
800,1,2297,1205
800,2,2297,1205
800,3,2297,1205
800,4,2297,1205
800,5,2297,1205
800,6,2297,1205
800,7,2297,1205
800,8,2297,1205
800,9,2297,1205
800,10,2297,1205
900,1,2598,1352
900,2,2598,1352
900,3,2598,1352
900,4,2598,1352
900,5,2598,1352
900,6,2598,1352
900,7,2598,1352
900,8,2598,1352
900,9,2598,1352
900,10,2598,1352
1000,1,2933,1527
1000,2,2933,1527
1000,3,2933,1527
1000,4,2933,1527
1000,5,2933,1527
1000,6,2933,1527
1000,7,2933,1527
1000,8,2933,1527
1000,9,2933,1527
1000,10,2933,1527
1100,1,3221,1648
1100,2,3221,1648
1100,3,3221,1648
1100,4,3221,1648
1100,5,3221,1648
1100,6,3221,1648
1100,7,3221,1648
1100,8,3221,1648
1100,9,3221,1648
1100,10,3221,1648
1200,1,3553,1829
1200,2,3553,1829
1200,3,3553,1829
1200,4,3553,1829
1200,5,3553,1829
1200,6,3553,1829
1200,7,3553,1829
1200,8,3553,1829
1200,9,3553,1829
1200,10,3553,1829
1300,1,3818,1964
1300,2,3818,1964
1300,3,3818,1964
1300,4,3818,1964
1300,5,3818,1964
1300,6,3818,1964
1300,7,3818,1964
1300,8,3818,1964
1300,9,3818,1964
1300,10,3818,1964
1400,1,4125,2128
1400,2,4125,2128
1400,3,4125,2128
1400,4,4125,2128
1400,5,4125,2128
1400,6,4125,2128
1400,7,4125,2128
1400,8,4125,2128
1400,9,4125,2128
1400,10,4125,2128
1500,1,4447,2289
1500,2,4447,2289
1500,3,4447,2289
1500,4,4447,2289
1500,5,4447,2289
1500,6,4447,2289
1500,7,4447,2289
1500,8,4447,2289
1500,9,4447,2289
1500,10,4447,2289
1600,1,4776,2476
1600,2,4776,2476
1600,3,4776,2476
1600,4,4776,2476
1600,5,4776,2476
1600,6,4776,2476
1600,7,4776,2476
1600,8,4776,2476
1600,9,4776,2476
1600,10,4776,2476
1700,1,5081,2616
1700,2,5081,2616
1700,3,5081,2616
1700,4,5081,2616
1700,5,5081,2616
1700,6,5081,2616
1700,7,5081,2616
1700,8,5081,2616
1700,9,5081,2616
1700,10,5081,2616
1800,1,5369,2771
1800,2,5369,2771
1800,3,5369,2771
1800,4,5369,2771
1800,5,5369,2771
1800,6,5369,2771
1800,7,5369,2771
1800,8,5369,2771
1800,9,5369,2771
1800,10,5369,2771
1900,1,5573,2860
1900,2,5573,2860
1900,3,5573,2860
1900,4,5573,2860
1900,5,5573,2860
1900,6,5573,2860
1900,7,5573,2860
1900,8,5573,2860
1900,9,5573,2860
1900,10,5573,2860
2000,1,6032,3114
2000,2,6032,3114
2000,3,6032,3114
2000,4,6032,3114
2000,5,6032,3114
2000,6,6032,3114
2000,7,6032,3114
2000,8,6032,3114
2000,9,6032,3114
2000,10,6032,3114
2100,1,6333,3242
2100,2,6333,3242
2100,3,6333,3242
2100,4,6333,3242
2100,5,6333,3242
2100,6,6333,3242
2100,7,6333,3242
2100,8,6333,3242
2100,9,6333,3242
2100,10,6333,3242
2200,1,6650,3398
2200,2,6650,3398
2200,3,6650,3398
2200,4,6650,3398
2200,5,6650,3398
2200,6,6650,3398
2200,7,6650,3398
2200,8,6650,3398
2200,9,6650,3398
2200,10,6650,3398
2300,1,6846,3485
2300,2,6846,3485
2300,3,6846,3485
2300,4,6846,3485
2300,5,6846,3485
2300,6,6846,3485
2300,7,6846,3485
2300,8,6846,3485
2300,9,6846,3485
2300,10,6846,3485
2400,1,7214,3695
2400,2,7214,3695
2400,3,7214,3695
2400,4,7214,3695
2400,5,7214,3695
2400,6,7214,3695
2400,7,7214,3695
2400,8,7214,3695
2400,9,7214,3695
2400,10,7214,3695
2500,1,7607,3876
2500,2,7607,3876
2500,3,7607,3876
