n,m,comparisons,swaps
100,1,273,150
100,2,273,150
100,3,273,150
100,4,273,150
100,5,273,150
100,6,273,150
100,7,273,150
100,8,273,150
100,9,273,150
100,10,273,150
200,1,534,288
200,2,534,288
200,3,534,288
200,4,534,288
200,5,534,288
200,6,534,288
200,7,534,288
200,8,534,288
200,9,534,288
200,10,534,288
300,1,828,442
300,2,828,442
300,3,828,442
300,4,828,442
300,5,828,442
300,6,828,442
300,7,828,442
300,8,828,442
300,9,828,442
300,10,828,442
400,1,1119,599
400,2,1119,599
400,3,1119,599
400,4,1119,599
400,5,1119,599
400,6,1119,599
400,7,1119,599
400,8,1119,599
400,9,1119,599
400,10,1119,599
500,1,1437,752
500,2,1437,752
500,3,1437,752
500,4,1437,752
500,5,1437,752
500,6,1437,752
500,7,1437,752
500,8,1437,752
500,9,1437,752
500,10,1437,752
600,1,1714,888
600,2,1714,888
600,3,1714,888
600,4,1714,888
600,5,1714,888
600,6,1714,888
600,7,1714,888
600,8,1714,888
600,9,1714,888
600,10,1714,888
700,1,2061,1067
700,2,2061,1067
700,3,2061,1067
700,4,2061,1067
700,5,2061,1067
700,6,2061,1067
700,7,2061,1067
700,8,2061,1067
700,9,2061,1067
700,10,2061,1067
800,1,2289,1205
800,2,2289,1205
800,3,2289,1205
800,4,2289,1205
800,5,2289,1205
800,6,2289,1205
800,7,2289,1205
800,8,2289,1205
800,9,2289,1205
800,10,2289,1205
900,1,2649,1391
900,2,2649,1391
900,3,2649,1391
900,4,2649,1391
900,5,2649,1391
900,6,2649,1391
900,7,2649,1391
900,8,2649,1391
900,9,2649,1391
900,10,2649,1391
1000,1,2933,1530
1000,2,2933,1530
1000,3,2933,1530
1000,4,2933,1530
1000,5,2933,1530
1000,6,2933,1530
1000,7,2933,1530
1000,8,2933,1530
1000,9,2933,1530
1000,10,2933,1530
1100,1,3224,1655
1100,2,3224,1655
1100,3,3224,1655
1100,4,3224,1655
1100,5,3224,1655
1100,6,3224,1655
1100,7,3224,1655
1100,8,3224,1655
1100,9,3224,1655
1100,10,3224,1655
1200,1,3627,1868
1200,2,3627,1868
1200,3,3627,1868
1200,4,3627,1868
1200,5,3627,1868
1200,6,3627,1868
1200,7,3627,1868
1200,8,3627,1868
1200,9,3627,1868
1200,10,3627,1868
1300,1,3852,1974
1300,2,3852,1974
1300,3,3852,1974
1300,4,3852,1974
1300,5,3852,1974
1300,6,3852,1974
1300,7,3852,1974
1300,8,3852,1974
1300,9,3852,1974
1300,10,3852,1974
1400,1,4179,2153
1400,2,4179,2153
1400,3,4179,2153
1400,4,4179,2153
1400,5,4179,2153
1400,6,4179,2153
1400,7,4179,2153
1400,8,4179,2153
1400,9,4179,2153
1400,10,4179,2153
1500,1,4404,2267
1500,2,4404,2267
1500,3,4404,2267
1500,4,4404,2267
1500,5,4404,2267
1500,6,4404,2267
1500,7,4404,2267
1500,8,4404,2267
1500,9,4404,2267
1500,10,4404,2267
1600,1,4779,2480
1600,2,4779,2480
1600,3,4779,2480
1600,4,4779,2480
1600,5,4779,2480
1600,6,4779,2480
1600,7,4779,2480
1600,8,4779,2480
1600,9,4779,2480
1600,10,4779,2480
1700,1,5125,2639
1700,2,5125,2639
1700,3,5125,2639
1700,4,5125,2639
1700,5,5125,2639
1700,6,5125,2639
1700,7,5125,2639
1700,8,5125,2639
1700,9,5125,2639
1700,10,5125,2639
1800,1,5401,2790
1800,2,5401,2790
1800,3,5401,2790
1800,4,5401,2790
1800,5,5401,2790
1800,6,5401,2790
1800,7,5401,2790
1800,8,5401,2790
1800,9,5401,2790
1800,10,5401,2790
1900,1,5613,2881
1900,2,5613,2881
1900,3,5613,2881
1900,4,5613,2881
1900,5,5613,2881
1900,6,5613,2881
1900,7,5613,2881
1900,8,5613,2881
1900,9,5613,2881
1900,10,5613,2881
2000,1,5742,2951
2000,2,5742,2951
2000,3,5742,2951
2000,4,5742,2951
2000,5,5742,2951
2000,6,5742,2951
2000,7,5742,2951
2000,8,5742,2951
2000,9,5742,2951
2000,10,5742,2951
2100,1,6379,3269
2100,2,6379,3269
2100,3,6379,3269
2100,4,6379,3269
2100,5,6379,3269
2100,6,6379,3269
2100,7,6379,3269
2100,8,6379,3269
2100,9,6379,3269
2100,10,6379,3269
2200,1,6683,3424
2200,2,6683,3424
2200,3,6683,3424
2200,4,6683,3424
2200,5,6683,3424
2200,6,6683,3424
2200,7,6683,3424
2200,8,6683,3424
2200,9,6683,3424
2200,10,6683,3424
2300,1,6878,3507
2300,2,6878,3507
2300,3,6878,3507
2300,4,6878,3507
2300,5,6878,3507
2300,6,6878,3507
2300,7,6878,3507
2300,8,6878,3507
2300,9,6878,3507
2300,10,6878,3507
2400,1,7272,3720
2400,2,7272,3720
2400,3,7272,3720
2400,4,7272,3720
2400,5,7272,3720
2400,6,7272,3720
2400,7,7272,3720
2400,8,7272,3720
2400,9,7272,3720
2400,10,7272,3720
2500,1,7451,3799
2500,2,7451,3799
2500,3,7451,3799
2500,4,7451,3799
2500,5,7451,3799
2500,6,7451,3799
2500,7,7451,3799
2500,8,7451,3799
2500,9,7451,3799
2500,10,7451,3799
2600,1,7876,4022
2600,2,7876,4022
2600,3,7876,4022
2600,4,7876,4022
2600,5,7876,4022
2600,6,7876,4022
2600,7,7876,4022
2600,8,7876,4022
2600,9,7876,4022
2600,10,7876,4022
2700,1,8145,4138
2700,2,8145,4138
2700,3,8145,4138
2700,4,8145,4138
2700,5,8145,4138
2700,6,8145,4138
2700,7,8145,4138
2700,8,8145,4138
2700,9,8145,4138
2700,10,8145,4138
2800,1,8513,4341
2800,2,8513,4341
2800,3,8513,4341
2800,4,8513,4341
2800,5,8513,4341
2800,6,8513,4341
2800,7,8513,4341
2800,8,8513,4341
2800,9,8513,4341
2800,10,8513,4341
2900,1,8825,4525
2900,2,8825,4525
2900,3,8825,4525
2900,4,8825,4525
2900,5,8825,4525
2900,6,8825,4525
2900,7,8825,4525
2900,8,8825,4525
2900,9,8825,4525
2900,10,8825,4525
3000,1,9206,4701
3000,2,9206,4701
3000,3,9206,4701
3000,4,9206,4701
3000,5,9206,4701
3000,6,9206,4701
3000,7,9206,4701
3000,8,9206,4701
3000,9,9206,4701
3000,10,9206,4701
3100,1,9370,4770
3100,2,9370,4770
3100,3,9370,4770
3100,4,9370,4770
3100,5,9370,4770
