n,m,comparisons,swaps
100,1,601,492
100,2,601,492
100,3,601,492
100,4,601,492
100,5,601,492
100,6,601,492
100,7,601,492
100,8,601,492
100,9,601,492
100,10,601,492
200,1,1310,1072
200,2,1310,1072
200,3,1310,1072
200,4,1310,1072
200,5,1310,1072
200,6,1310,1072
200,7,1310,1072
200,8,1310,1072
200,9,1310,1072
200,10,1310,1072
300,1,2085,1686
300,2,2085,1686
300,3,2085,1686
300,4,2085,1686
300,5,2085,1686
300,6,2085,1686
300,7,2085,1686
300,8,2085,1686
300,9,2085,1686
300,10,2085,1686
400,1,2815,2284
400,2,2815,2284
400,3,2815,2284
400,4,2815,2284
400,5,2815,2284
400,6,2815,2284
400,7,2815,2284
400,8,2815,2284
400,9,2815,2284
400,10,2815,2284
500,1,3551,2872
500,2,3551,2872
500,3,3551,2872
500,4,3551,2872
500,5,3551,2872
500,6,3551,2872
500,7,3551,2872
500,8,3551,2872
500,9,3551,2872
500,10,3551,2872
600,1,4343,3503
600,2,4343,3503
600,3,4343,3503
600,4,4343,3503
600,5,4343,3503
600,6,4343,3503
600,7,4343,3503
600,8,4343,3503
600,9,4343,3503
600,10,4343,3503
700,1,5096,4103
700,2,5096,4103
700,3,5096,4103
700,4,5096,4103
700,5,5096,4103
700,6,5096,4103
700,7,5096,4103
700,8,5096,4103
700,9,5096,4103
700,10,5096,4103
800,1,5850,4731
800,2,5850,4731
800,3,5850,4731
800,4,5850,4731
800,5,5850,4731
800,6,5850,4731
800,7,5850,4731
800,8,5850,4731
800,9,5850,4731
800,10,5850,4731
900,1,6589,5311
900,2,6589,5311
900,3,6589,5311
900,4,6589,5311
900,5,6589,5311
900,6,6589,5311
900,7,6589,5311
900,8,6589,5311
900,9,6589,5311
900,10,6589,5311
1000,1,7354,5931
1000,2,7354,5931
1000,3,7354,5931
1000,4,7354,5931
1000,5,7354,5931
1000,6,7354,5931
1000,7,7354,5931
1000,8,7354,5931
1000,9,7354,5931
1000,10,7354,5931
1100,1,8170,6568
1100,2,8170,6568
1100,3,8170,6568
1100,4,8170,6568
1100,5,8170,6568
1100,6,8170,6568
1100,7,8170,6568
1100,8,8170,6568
1100,9,8170,6568
1100,10,8170,6568
1200,1,8915,7183
1200,2,8915,7183
1200,3,8915,7183
1200,4,8915,7183
1200,5,8915,7183
1200,6,8915,7183
1200,7,8915,7183
1200,8,8915,7183
1200,9,8915,7183
1200,10,8915,7183
1300,1,9735,7820
1300,2,9735,7820
1300,3,9735,7820
1300,4,9735,7820
1300,5,9735,7820
1300,6,9735,7820
1300,7,9735,7820
1300,8,9735,7820
1300,9,9735,7820
1300,10,9735,7820
1400,1,10474,8418
1400,2,10474,8418
1400,3,10474,8418
1400,4,10474,8418
1400,5,10474,8418
1400,6,10474,8418
1400,7,10474,8418
1400,8,10474,8418
1400,9,10474,8418
1400,10,10474,8418
1500,1,11253,9051
1500,2,11253,9051
1500,3,11253,9051
1500,4,11253,9051
1500,5,11253,9051
1500,6,11253,9051
1500,7,11253,9051
1500,8,11253,9051
1500,9,11253,9051
1500,10,11253,9051
1600,1,11973,9630
1600,2,11973,9630
1600,3,11973,9630
1600,4,11973,9630
1600,5,11973,9630
1600,6,11973,9630
1600,7,11973,9630
1600,8,11973,9630
1600,9,11973,9630
1600,10,11973,9630
1700,1,12779,10255
1700,2,12779,10255
1700,3,12779,10255
1700,4,12779,10255
1700,5,12779,10255
1700,6,12779,10255
1700,7,12779,10255
1700,8,12779,10255
1700,9,12779,10255
1700,10,12779,10255
1800,1,13541,10881
1800,2,13541,10881
1800,3,13541,10881
1800,4,13541,10881
1800,5,13541,10881
1800,6,13541,10881
1800,7,13541,10881
1800,8,13541,10881
1800,9,13541,10881
1800,10,13541,10881
1900,1,14218,11431
1900,2,14218,11431
1900,3,14218,11431
1900,4,14218,11431
1900,5,14218,11431
1900,6,14218,11431
1900,7,14218,11431
1900,8,14218,11431
1900,9,14218,11431
1900,10,14218,11431
2000,1,15118,12167
2000,2,15118,12167
2000,3,15118,12167
2000,4,15118,12167
2000,5,15118,12167
2000,6,15118,12167
2000,7,15118,12167
2000,8,15118,12167
2000,9,15118,12167
2000,10,15118,12167
2100,1,15996,12827
2100,2,15996,12827
2100,3,15996,12827
2100,4,15996,12827
2100,5,15996,12827
2100,6,15996,12827
2100,7,15996,12827
2100,8,15996,12827
2100,9,15996,12827
2100,10,15996,12827
2200,1,16705,13407
2200,2,16705,13407
2200,3,16705,13407
2200,4,16705,13407
2200,5,16705,13407
2200,6,16705,13407
2200,7,16705,13407
2200,8,16705,13407
2200,9,16705,13407
2200,10,16705,13407
2300,1,17458,14018
2300,2,17458,14018
2300,3,17458,14018
2300,4,17458,14018
2300,5,17458,14018
2300,6,17458,14018
2300,7,17458,14018
2300,8,17458,14018
2300,9,17458,14018
2300,10,17458,14018
2400,1,18268,14674
2400,2,18268,14674
2400,3,18268,14674
2400,4,18268,14674
2400,5,18268,14674
2400,6,18268,14674
2400,7,18268,14674
2400,8,18268,14674
2400,9,18268,14674
2400,10,18268,14674
2500,1,19046,15289
2500,2,19046,15289
2500,3,19046,15289
2500,4,19046,15289
2500,5,19046,15289
2500,6,19046,15289
2500,7,19046,15289
2500,8,19046,15289
2500,9,19046,15289
2500,10,19046,15289
2600,1,19845,15899
2600,2,19845,15899
2600,3,19845,15899
2600,4,19845,15899
2600,5,19845,15899
2600,6,19845,15899
2600,7,19845,15899
2600,8,19845,15899
2600,9,19845,15899
2600,10,19845,15899
2700,1,20558,16474
2700,2,20558,16474
2700,3,20558,16474
2700,4,20558,16474
2700,5,20558,16474
2700,6,20558,16474
2700,7,20558,16474
2700,8,20558,16474
2700,9,20558,16474
2700,10,20558,16474
2800,1,21460,17233
2800,2,21460,17233
2800,3,21460,17233
2800,4,21460,17233
2800,5,21460,17233
2800,6,21460,17233
2800,7,21460,17233
2800,8,21460,17233
2800,9,21460,17233
2800,10,21460,17233
2900,1,22110,17730
2900,2,22110,17730
2900,3,22110,17730
2900,4,22110,17730
2900,5,22110,17730
2900,6,22110,17730
2900,7,22110,17730
2900,8,22110,17730
2900,9,22110,17730
2900,10,22110,17730
3000,1,22960,18434
3000,2,22960,18434
3000,3,22960,18434
3000,4,22960,18434
3000,5,22960,18434
3000,6,22960,18434
3000,7,22960,18434
3000,8,22960,18434
3000,9,22960,18434
3000,10,22960,18434
3100,1,23652,18955
3100,2,23652,18955
3100,3,23652,18955
3100,4,23652,18955
3100,5,23652,18955
3100,6,23652,18955
3100,7,23652,18955
3100,8,23652,18955
3100,9,23652,18955
3100,10,23652,18955
3200,1,24502,19675
3200,2,24502,19675
3200,3,24502,19675
3200,4,24502,19675
3200,5,24502,19675
3200,6,24502,19675
3200,7,24502,19675
3200,8,24502,19675
3200,9,24502,19675
3200,10,24502,19675
3300,1,25329,20290
3300,2,25329,20290
3300,3,25329,20290
3300,4,25329,20290
3300,5,25329,20290
3300,6,25329,20290
3300,7,25329,20290
3300,8,25329,20290
3300,9,25329,20290
3300,10,25329,20290
3400,1,26050,20883
3400,2,26050,20883
3400,3,26050,20883
3400,4,26050,20883
3400,5,26050,20883
3400,6,26050,20883
3400,7,26050,20883
3400,8,26050,20883
3400,9,26050,20883
3400,10,26050,20883
3500,1,26825,21503
3500,2,26825,21503
3500,3,26825,21503
3500,4,26825,21503
3500,5,26825,21503
3500,6,26825,21503
3500,7,26825,21503
3500,8,26825,21503
3500,9,26825,21503
3500,10,26825,21503
3600,1,27525,22047
3600,2,27525,22047
3600,3,27525,22047
3600,4,27525,22047
3600,5,27525,22047
3600,6,27525,22047
3600,7,27525,22047
3600,8,27525,22047
3600,9,27525,22047
3600,10,27525,22047
3700,1,28330,22716
3700,2,28330,22716
3700,3,28330,22716
3700,4,28330,22716
3700,5,28330,22716
3700,6,28330,22716
3700,7,28330,22716
3700,8,28330,22716
3700,9,28330,22716
3700,10,28330,22716
3800,1,29109,23347
3800,2,29109,23347
3800,3,29109,23347
3800,4,29109,23347
3800,5,29109,23347
3800,6,29109,23347
3800,7,29109,23347
3800,8,29109,23347
3800,9,29109,23347
