n,m,comparisons,swaps
100,1,593,481
100,2,593,481
100,3,593,481
100,4,593,481
100,5,593,481
100,6,593,481
100,7,593,481
100,8,593,481
100,9,593,481
100,10,593,481
200,1,1333,1087
200,2,1333,1087
200,3,1333,1087
200,4,1333,1087
200,5,1333,1087
200,6,1333,1087
200,7,1333,1087
200,8,1333,1087
200,9,1333,1087
200,10,1333,1087
300,1,2079,1678
300,2,2079,1678
300,3,2079,1678
300,4,2079,1678
300,5,2079,1678
300,6,2079,1678
300,7,2079,1678
300,8,2079,1678
300,9,2079,1678
300,10,2079,1678
400,1,2826,2284
400,2,2826,2284
400,3,2826,2284
400,4,2826,2284
400,5,2826,2284
400,6,2826,2284
400,7,2826,2284
400,8,2826,2284
400,9,2826,2284
400,10,2826,2284
500,1,3499,2815
500,2,3499,2815
500,3,3499,2815
500,4,3499,2815
500,5,3499,2815
500,6,3499,2815
500,7,3499,2815
500,8,3499,2815
500,9,3499,2815
500,10,3499,2815
600,1,4268,3438
600,2,4268,3438
600,3,4268,3438
600,4,4268,3438
600,5,4268,3438
600,6,4268,3438
600,7,4268,3438
600,8,4268,3438
600,9,4268,3438
600,10,4268,3438
700,1,5032,4033
700,2,5032,4033
700,3,5032,4033
700,4,5032,4033
700,5,5032,4033
700,6,5032,4033
700,7,5032,4033
700,8,5032,4033
700,9,5032,4033
700,10,5032,4033
800,1,5769,4654
800,2,5769,4654
800,3,5769,4654
800,4,5769,4654
800,5,5769,4654
800,6,5769,4654
800,7,5769,4654
800,8,5769,4654
800,9,5769,4654
800,10,5769,4654
900,1,6486,5205
900,2,6486,5205
900,3,6486,5205
900,4,6486,5205
900,5,6486,5205
900,6,6486,5205
900,7,6486,5205
900,8,6486,5205
900,9,6486,5205
900,10,6486,5205
1000,1,7349,5911
1000,2,7349,5911
1000,3,7349,5911
1000,4,7349,5911
1000,5,7349,5911
1000,6,7349,5911
1000,7,7349,5911
1000,8,7349,5911
1000,9,7349,5911
1000,10,7349,5911
1100,1,8043,6437
1100,2,8043,6437
1100,3,8043,6437
1100,4,8043,6437
1100,5,8043,6437
1100,6,8043,6437
1100,7,8043,6437
1100,8,8043,6437
1100,9,8043,6437
1100,10,8043,6437
1200,1,8839,7092
1200,2,8839,7092
1200,3,8839,7092
1200,4,8839,7092
1200,5,8839,7092
1200,6,8839,7092
1200,7,8839,7092
1200,8,8839,7092
1200,9,8839,7092
1200,10,8839,7092
1300,1,9594,7681
1300,2,9594,7681
1300,3,9594,7681
1300,4,9594,7681
1300,5,9594,7681
1300,6,9594,7681
1300,7,9594,7681
1300,8,9594,7681
1300,9,9594,7681
1300,10,9594,7681
1400,1,10357,8314
1400,2,10357,8314
1400,3,10357,8314
1400,4,10357,8314
1400,5,10357,8314
1400,6,10357,8314
1400,7,10357,8314
1400,8,10357,8314
1400,9,10357,8314
1400,10,10357,8314
1500,1,11137,8922
1500,2,11137,8922
1500,3,11137,8922
1500,4,11137,8922
1500,5,11137,8922
1500,6,11137,8922
1500,7,11137,8922
1500,8,11137,8922
1500,9,11137,8922
1500,10,11137,8922
1600,1,11845,9493
1600,2,11845,9493
1600,3,11845,9493
1600,4,11845,9493
1600,5,11845,9493
1600,6,11845,9493
1600,7,11845,9493
1600,8,11845,9493
1600,9,11845,9493
1600,10,11845,9493
1700,1,12657,10137
1700,2,12657,10137
1700,3,12657,10137
1700,4,12657,10137
1700,5,12657,10137
1700,6,12657,10137
1700,7,12657,10137
1700,8,12657,10137
1700,9,12657,10137
1700,10,12657,10137
1800,1,13402,10728
1800,2,13402,10728
1800,3,13402,10728
1800,4,13402,10728
1800,5,13402,10728
1800,6,13402,10728
1800,7,13402,10728
1800,8,13402,10728
1800,9,13402,10728
1800,10,13402,10728
1900,1,14088,11282
1900,2,14088,11282
1900,3,14088,11282
1900,4,14088,11282
1900,5,14088,11282
1900,6,14088,11282
1900,7,14088,11282
1900,8,14088,11282
1900,9,14088,11282
1900,10,14088,11282
2000,1,15039,12064
2000,2,15039,12064
2000,3,15039,12064
2000,4,15039,12064
2000,5,15039,12064
2000,6,15039,12064
2000,7,15039,12064
2000,8,15039,12064
2000,9,15039,12064
2000,10,15039,12064
2100,1,15778,12611
2100,2,15778,12611
2100,3,15778,12611
2100,4,15778,12611
2100,5,15778,12611
2100,6,15778,12611
2100,7,15778,12611
2100,8,15778,12611
2100,9,15778,12611
2100,10,15778,12611
2200,1,16546,13246
2200,2,16546,13246
2200,3,16546,13246
2200,4,16546,13246
2200,5,16546,13246
2200,6,16546,13246
2200,7,16546,13246
2200,8,16546,13246
2200,9,16546,13246
2200,10,16546,13246
2300,1,17262,13804
2300,2,17262,13804
2300,3,17262,13804
2300,4,17262,13804
2300,5,17262,13804
2300,6,17262,13804
2300,7,17262,13804
2300,8,17262,13804
2300,9,17262,13804
2300,10,17262,13804
2400,1,18048,14454
2400,2,18048,14454
2400,3,18048,14454
2400,4,18048,14454
2400,5,18048,14454
2400,6,18048,14454
2400,7,18048,14454
2400,8,18048,14454
2400,9,18048,14454
2400,10,18048,14454
2500,1,18806,15037
2500,2,18806,15037
2500,3,18806,15037
2500,4,18806,15037
2500,5,18806,15037
2500,6,18806,15037
2500,7,18806,15037
2500,8,18806,15037
2500,9,18806,15037
2500,10,18806,15037
2600,1,19693,15740
2600,2,19693,15740
2600,3,19693,15740
2600,4,19693,15740
2600,5,19693,15740
2600,6,19693,15740
2600,7,19693,15740
2600,8,19693,15740
2600,9,19693,15740
2600,10,19693,15740
2700,1,20328,16245
2700,2,20328,16245
2700,3,20328,16245
2700,4,20328,16245
2700,5,20328,16245
2700,6,20328,16245
2700,7,20328,16245
2700,8,20328,16245
2700,9,20328,16245
2700,10,20328,16245
2800,1,21217,16980
2800,2,21217,16980
2800,3,21217,16980
2800,4,21217,16980
2800,5,21217,16980
2800,6,21217,16980
2800,7,21217,16980
2800,8,21217,16980
2800,9,21217,16980
2800,10,21217,16980
2900,1,21893,17489
2900,2,21893,17489
2900,3,21893,17489
2900,4,21893,17489
2900,5,21893,17489
2900,6,21893,17489
2900,7,21893,17489
2900,8,21893,17489
2900,9,21893,17489
2900,10,21893,17489
3000,1,22757,18209
3000,2,22757,18209
3000,3,22757,18209
3000,4,22757,18209
3000,5,22757,18209
3000,6,22757,18209
3000,7,22757,18209
3000,8,22757,18209
3000,9,22757,18209
3000,10,22757,18209
3100,1,23321,18609
3100,2,23321,18609
3100,3,23321,18609
3100,4,23321,18609
3100,5,23321,18609
3100,6,23321,18609
3100,7,23321,18609
3100,8,23321,18609
3100,9,23321,18609
3100,10,23321,18609
3200,1,24290,19450
3200,2,24290,19450
3200,3,24290,19450
3200,4,24290,19450
3200,5,24290,19450
3200,6,24290,19450
3200,7,24290,19450
3200,8,24290,19450
3200,9,24290,19450
3200,10,24290,19450
3300,1,25004,19965
3300,2,25004,19965
3300,3,25004,19965
3300,4,25004,19965
3300,5,25004,19965
3300,6,25004,19965
3300,7,25004,19965
3300,8,25004,19965
3300,9,25004,19965
3300,10,25004,19965
3400,1,25826,20643
3400,2,25826,20643
3400,3,25826,20643
3400,4,25826,20643
3400,5,25826,20643
3400,6,25826,20643
3400,7,25826,20643
3400,8,25826,20643
3400,9,25826,20643
3400,10,25826,20643
3500,1,26537,21188
3500,2,26537,21188
3500,3,26537,21188
3500,4,26537,21188
3500,5,26537,21188
3500,6,26537,21188
3500,7,26537,21188
3500,8,26537,21188
3500,9,26537,21188
3500,10,26537,21188
3600,1,27232,21739
3600,2,27232,21739
3600,3,27232,21739
3600,4,27232,21739
3600,5,27232,21739
3600,6,27232,21739
3600,7,27232,21739
3600,8,27232,21739
3600,9,27232,21739
3600,10,27232,21739
3700,1,27988,22364
3700,2,27988,22364
3700,3,27988,22364
3700,4,27988,22364
3700,5,27988,22364
3700,6,27988,22364
3700,7,27988,22364
3700,8,27988,22364
3700,9,27988,22364
3700,10,27988,22364
3800,1,28781,23002
3800,2,28781,23002
3800,3,28781,23002
3800,4,28781,23002
3800,5,28781,23002
3800,6,28781,23002
3800,7,28781,23002
3800,8,28781,23002
3800,9,28781,23002
3800,10,28781,23002
3900,1,29569,23613
3900,2,29569,23613
3900,3,29569,23613
3900,4,29569,23613
3900,5,29569,23613
3900,6,29569,23613
3900,7,29569,23613
3900,8,29569,23613
3900,9,29569,23613
3900,10,29569,23613
4000,1,30516,24425
4000,2,30516,24425
4000,3,30516,24425
4000,4,30516,24425
4000,5,30516,24425
4000,6,30516,24425
4000,7,30516,24425
4000,8,30516,24425
4000,9,30516,24425
4000,10,30516,24425
4100,1,31216,24904
4100,2,31216,24904
4100,3,31216,24904
4100,4,31216,24904
4100,5,31216,24904
4100,6,31216,24904
4100,7,31216,24904
4100,8,31216,24904
4100,9,31216,24904
4100,10,31216,24904
4200,1,32195,25726
4200,2,32195,25726
4200,3,32195,25726
4200,4,32195,25726
4200,5,32195,25726
4200,6,32195,25726
4200,7,32195,25726
4200,8,32195,25726
4200,9,32195,25726
4200,10,32195,25726
4300,1,32793,26168
4300,2,32793,26168
4300,3,32793,26168
4300,4,32793,26168
4300,5,32793,26168
4300,6,32793,26168
4300,7,32793,26168
4300,8,32793,26168
4300,9,32793,26168
4300,10,32793,26168
4400,1,33556,26822
4400,2,33556,26822
4400,3,33556,26822
4400,4,33556,26822
4400,5,33556,26822
4400,6,33556,26822
4400,7,33556,26822
4400,8,33556,26822
4400,9,33556,26822
4400,10,33556,26822
4500,1,34373,27463
4500,2,34373,27463
4500,3,34373,27463
4500,4,34373,27463
4500,5,34373,27463
4500,6,34373,27463
4500,7,34373,27463
4500,8,34373,27463
4500,9,34373,27463
4500,10,34373,27463
4600,1,35112,28029
4600,2,35112,28029
4600,3,35112,28029
4600,4,35112,28029
4600,5,35112,28029
4600,6,35112,28029
4600,7,35112,28029
4600,8,35112,28029
4600,9,35112,28029
4600,10,35112,28029
4700,1,35724,28520
4700,2,35724,28520
4700,3,35724,28520
4700,4,35724,28520
4700,5,35724,28520
4700,6,35724,28520
4700,7,35724,28520
4700,8,35724,28520
4700,9,35724,28520
4700,10,35724,28520
4800,1,36650,29298
4800,2,36650,29298
4800,3,36650,29298
4800,4,36650,29298
4800,5,36650,29298
4800,6,36650,29298
4800,7,36650,29298
4800,8,36650,29298
4800,9,36650,29298
4800,10,36650,29298
4900,1,37416,29881
4900,2,37416,29881
4900,3,37416,29881
4900,4,37416,29881
4900,5,37416,29881
4900,6,37416,29881
4900,7,37416,29881
4900,8,37416,29881
4900,9,37416,29881
4900,10,37416,29881
5000,1,38529,30795
5000,2,38529,30795
5000,3,38529,30795
5000,4,38529,30795
5000,5,38529,30795
5000,6,38529,30795
5000,7,38529,30795
5000,8,38529,30795
5000,9,38529,30795
5000,10,38529,30795
5100,1,39067,31162
5100,2,39067,31162
5100,3,39067,31162
5100,4,39067,31162
5100,5,39067,31162
5100,6,39067,31162
5100,7,39067,31162
5100,8,39067,31162
5100,9,39067,31162
5100,10,39067,31162
5200,1,40057,31970
5200,2,40057,31970
5200,3,40057,31970
5200,4,40057,31970
5200,5,40057,31970
5200,6,40057,31970
5200,7,40057,31970
5200,8,40057,31970
5200,9,40057,31970
5200,10,40057,31970
5300,1,40663,32444
5300,2,40663,32444
5300,3,40663,32444
5300,4,40663,32444
5300,5,40663,32444
5300,6,40663,32444
5300,7,40663,32444
5300,8,40663,32444
5300,9,40663,32444
5300,10,40663,32444
5400,1,41518,33134
5400,2,41518,33134
5400,3,41518,33134
5400,4,41518,33134
5400,5,41518,33134
5400,6,41518,33134
5400,7,41518,33134
5400,8,41518,33134
5400,9,41518,33134
5400,10,41518,33134
5500,1,42262,33737
5500,2,42262,33737
5500,3,42262,33737
5500,4,42262,33737
5500,5,42262,33737
5500,6,42262,33737
5500,7,42262,33737
5500,8,42262,33737
