n,m,comparisons,swaps
100,1,653,536
100,2,653,536
100,3,653,536
100,4,653,536
100,5,653,536
100,6,653,536
100,7,653,536
100,8,653,536
100,9,653,536
100,10,653,536
200,1,1309,1072
200,2,1309,1072
200,3,1309,1072
200,4,1309,1072
200,5,1309,1072
200,6,1309,1072
200,7,1309,1072
200,8,1309,1072
200,9,1309,1072
200,10,1309,1072
300,1,2106,1701
300,2,2106,1701
300,3,2106,1701
300,4,2106,1701
300,5,2106,1701
300,6,2106,1701
300,7,2106,1701
300,8,2106,1701
300,9,2106,1701
300,10,2106,1701
400,1,2856,2309
400,2,2856,2309
400,3,2856,2309
400,4,2856,2309
400,5,2856,2309
400,6,2856,2309
400,7,2856,2309
400,8,2856,2309
400,9,2856,2309
400,10,2856,2309
500,1,3584,2882
500,2,3584,2882
500,3,3584,2882
500,4,3584,2882
500,5,3584,2882
500,6,3584,2882
500,7,3584,2882
500,8,3584,2882
500,9,3584,2882
500,10,3584,2882
600,1,4431,3591
600,2,4431,3591
600,3,4431,3591
600,4,4431,3591
600,5,4431,3591
600,6,4431,3591
600,7,4431,3591
600,8,4431,3591
600,9,4431,3591
600,10,4431,3591
700,1,5161,4159
700,2,5161,4159
700,3,5161,4159
700,4,5161,4159
700,5,5161,4159
700,6,5161,4159
700,7,5161,4159
700,8,5161,4159
700,9,5161,4159
700,10,5161,4159
800,1,5860,4742
800,2,5860,4742
800,3,5860,4742
800,4,5860,4742
800,5,5860,4742
800,6,5860,4742
800,7,5860,4742
800,8,5860,4742
800,9,5860,4742
800,10,5860,4742
900,1,6738,5446
900,2,6738,5446
900,3,6738,5446
900,4,6738,5446
900,5,6738,5446
900,6,6738,5446
900,7,6738,5446
900,8,6738,5446
900,9,6738,5446
900,10,6738,5446
1000,1,7400,5938
1000,2,7400,5938
1000,3,7400,5938
1000,4,7400,5938
1000,5,7400,5938
1000,6,7400,5938
1000,7,7400,5938
1000,8,7400,5938
1000,9,7400,5938
1000,10,7400,5938
1100,1,8244,6616
1100,2,8244,6616
1100,3,8244,6616
1100,4,8244,6616
1100,5,8244,6616
1100,6,8244,6616
1100,7,8244,6616
1100,8,8244,6616
1100,9,8244,6616
1100,10,8244,6616
1200,1,9089,7324
1200,2,9089,7324
1200,3,9089,7324
1200,4,9089,7324
1200,5,9089,7324
1200,6,9089,7324
1200,7,9089,7324
1200,8,9089,7324
1200,9,9089,7324
1200,10,9089,7324
1300,1,9629,7698
1300,2,9629,7698
1300,3,9629,7698
1300,4,9629,7698
1300,5,9629,7698
1300,6,9629,7698
1300,7,9629,7698
1300,8,9629,7698
1300,9,9629,7698
1300,10,9629,7698
1400,1,10621,8558
1400,2,10621,8558
1400,3,10621,8558
1400,4,10621,8558
1400,5,10621,8558
1400,6,10621,8558
1400,7,10621,8558
