n,m,comparisons,swaps
100,1,463,372
100,2,463,372
100,3,463,372
100,4,463,372
100,5,463,372
100,6,463,372
100,7,463,372
100,8,463,372
100,9,463,372
100,10,463,372
200,1,942,731
200,2,942,731
200,3,942,731
200,4,942,731
200,5,942,731
200,6,942,731
200,7,942,731
200,8,942,731
200,9,942,731
200,10,942,731
300,1,1594,1217
300,2,1594,1217
300,3,1594,1217
300,4,1594,1217
300,5,1594,1217
300,6,1594,1217
300,7,1594,1217
300,8,1594,1217
300,9,1594,1217
300,10,1594,1217
400,1,2038,1544
400,2,2038,1544
400,3,2038,1544
400,4,2038,1544
400,5,2038,1544
400,6,2038,1544
400,7,2038,1544
400,8,2038,1544
400,9,2038,1544
400,10,2038,1544
500,1,2657,2021
500,2,2657,2021
500,3,2657,2021
500,4,2657,2021
500,5,2657,2021
500,6,2657,2021
500,7,2657,2021
500,8,2657,2021
500,9,2657,2021
500,10,2657,2021
600,1,3300,2482
600,2,3300,2482
600,3,3300,2482
600,4,3300,2482
600,5,3300,2482
600,6,3300,2482
600,7,3300,2482
600,8,3300,2482
600,9,3300,2482
600,10,3300,2482
700,1,3581,2698
700,2,3581,2698
700,3,3581,2698
700,4,3581,2698
700,5,3581,2698
700,6,3581,2698
700,7,3581,2698
700,8,3581,2698
700,9,3581,2698
700,10,3581,2698
800,1,4404,3314
800,2,4404,3314
800,3,4404,3314
800,4,4404,3314
800,5,4404,3314
800,6,4404,3314
800,7,4404,3314
800,8,4404,3314
800,9,4404,3314
800,10,4404,3314
900,1,5025,3780
900,2,5025,3780
900,3,5025,3780
900,4,5025,3780
900,5,5025,3780
900,6,5025,3780
900,7,5025,3780
900,8,5025,3780
900,9,5025,3780
900,10,5025,3780
1000,1,5068,3806
1000,2,5068,3806
1000,3,5068,3806
1000,4,5068,3806
1000,5,5068,3806
1000,6,5068,3806
1000,7,5068,3806
1000,8,5068,3806
1000,9,5068,3806
1000,10,5068,3806
1100,1,6497,4943
1100,2,6497,4943
1100,3,6497,4943
1100,4,6497,4943
1100,5,6497,4943
1100,6,6497,4943
1100,7,6497,4943
1100,8,6497,4943
1100,9,6497,4943
1100,10,6497,4943
1200,1,6628,4989
1200,2,6628,4989
1200,3,6628,4989
1200,4,6628,4989
1200,5,6628,4989
1200,6,6628,4989
1200,7,6628,4989
1200,8,6628,4989
1200,9,6628,4989
1200,10,6628,4989
1300,1,7598,5720
1300,2,7598,5720
1300,3,7598,5720
1300,4,7598,5720
1300,5,7598,5720
1300,6,7598,5720
1300,7,7598,5720
1300,8,7598,5720
1300,9,7598,5720
1300,10,7598,5720
1400,1,8145,6127
1400,2,8145,6127
1400,3,8145,6127
1400,4,8145,6127
1400,5,8145,6127
1400,6,8145,6127
1400,7,8145,6127
1400,8,8145,6127
1400,9,8145,6127
1400,10,8145,6127
1500,1,8743,6542
1500,2,8743,6542
1500,3,8743,6542
1500,4,8743,6542
1500,5,8743,6542
1500,6,8743,6542
1500,7,8743,6542
1500,8,8743,6542
1500,9,8743,6542
1500,10,8743,6542
1600,1,9404,7098
1600,2,9404,7098
1600,3,9404,7098
1600,4,9404,7098
1600,5,9404,7098
1600,6,9404,7098
1600,7,9404,7098
1600,8,9404,7098
1600,9,9404,7098
1600,10,9404,7098
1700,1,9620,7206
1700,2,9620,7206
1700,3,9620,7206
1700,4,9620,7206
1700,5,9620,7206
1700,6,9620,7206
1700,7,9620,7206
1700,8,9620,7206
1700,9,9620,7206
1700,10,9620,7206
1800,1,10840,8232
1800,2,10840,8232
1800,3,10840,8232
1800,4,10840,8232
1800,5,10840,8232
1800,6,10840,8232
1800,7,10840,8232
1800,8,10840,8232
1800,9,10840,8232
1800,10,10840,8232
1900,1,10591,7880
1900,2,10591,7880
1900,3,10591,7880
1900,4,10591,7880
1900,5,10591,7880
1900,6,10591,7880
1900,7,10591,7880
1900,8,10591,7880
1900,9,10591,7880
1900,10,10591,7880
2000,1,10633,7985
2000,2,10633,7985
2000,3,10633,7985
2000,4,10633,7985
2000,5,10633,7985
2000,6,10633,7985
2000,7,10633,7985
2000,8,10633,7985
2000,9,10633,7985
2000,10,10633,7985
2100,1,12227,9169
2100,2,12227,9169
2100,3,12227,9169
2100,4,12227,9169
2100,5,12227,9169
2100,6,12227,9169
2100,7,12227,9169
2100,8,12227,9169
2100,9,12227,9169
2100,10,12227,9169
2200,1,12390,9271
2200,2,12390,9271
2200,3,12390,9271
2200,4,12390,9271
2200,5,12390,9271
2200,6,12390,9271
2200,7,12390,9271
2200,8,12390,9271
2200,9,12390,9271
2200,10,12390,9271
2300,1,13573,10170
2300,2,13573,10170
2300,3,13573,10170
2300,4,13573,10170
2300,5,13573,10170
2300,6,13573,10170
2300,7,13573,10170
2300,8,13573,10170
2300,9,13573,10170
2300,10,13573,10170
2400,1,14280,10736
2400,2,14280,10736
2400,3,14280,10736
2400,4,14280,10736
2400,5,14280,10736
2400,6,14280,10736
2400,7,14280,10736
2400,8,14280,10736
2400,9,14280,10736
2400,10,14280,10736
2500,1,14690,11039
2500,2,14690,11039
2500,3,14690,11039
2500,4,14690,11039
2500,5,14690,11039
2500,6,14690,11039
2500,7,14690,11039
2500,8,14690,11039
2500,9,14690,11039
2500,10,14690,11039
2600,1,15432,11565
2600,2,15432,11565
2600,3,15432,11565
2600,4,15432,11565
2600,5,15432,11565
2600,6,15432,11565
2600,7,15432,11565
2600,8,15432,11565
2600,9,15432,11565
2600,10,15432,11565
2700,1,15817,11842
2700,2,15817,11842
2700,3,15817,11842
2700,4,15817,11842
2700,5,15817,11842
2700,6,15817,11842
2700,7,15817,11842
2700,8,15817,11842
2700,9,15817,11842
2700,10,15817,11842
2800,1,16763,12596
2800,2,16763,12596
2800,3,16763,12596
2800,4,16763,12596
2800,5,16763,12596
2800,6,16763,12596
2800,7,16763,12596
2800,8,16763,12596
2800,9,16763,12596
2800,10,16763,12596
2900,1,16987,12702
2900,2,16987,12702
2900,3,16987,12702
2900,4,16987,12702
2900,5,16987,12702
2900,6,16987,12702
2900,7,16987,12702
2900,8,16987,12702
2900,9,16987,12702
2900,10,16987,12702
3000,1,17807,13343
3000,2,17807,13343
3000,3,17807,13343
3000,4,17807,13343
3000,5,17807,13343
3000,6,17807,13343
3000,7,17807,13343
3000,8,17807,13343
3000,9,17807,13343
3000,10,17807,13343
3100,1,18635,14015
3100,2,18635,14015
3100,3,18635,14015
3100,4,18635,14015
3100,5,18635,14015
3100,6,18635,14015
3100,7,18635,14015
3100,8,18635,14015
3100,9,18635,14015
3100,10,18635,14015
3200,1,19049,14280
3200,2,19049,14280
3200,3,19049,14280
3200,4,19049,14280
3200,5,19049,14280
3200,6,19049,14280
3200,7,19049,14280
3200,8,19049,14280
3200,9,19049,14280
3200,10,19049,14280
3300,1,19601,14679
3300,2,19601,14679
3300,3,19601,14679
3300,4,19601,14679
3300,5,19601,14679
3300,6,19601,14679
3300,7,19601,14679
3300,8,19601,14679
3300,9,19601,14679
3300,10,19601,14679
3400,1,20226,15107
3400,2,20226,15107
3400,3,20226,15107
3400,4,20226,15107
3400,5,20226,15107
3400,6,20226,15107
3400,7,20226,15107
3400,8,20226,15107
3400,9,20226,15107
3400,10,20226,15107
3500,1,20301,15213
3500,2,20301,15213
3500,3,20301,15213
3500,4,20301,15213
3500,5,20301,15213
3500,6,20301,15213
3500,7,20301,15213
3500,8,20301,15213
3500,9,20301,15213
3500,10,20301,15213
3600,1,21271,15875
3600,2,21271,15875
3600,3,21271,15875
3600,4,21271,15875
3600,5,21271,15875
3600,6,21271,15875
3600,7,21271,15875
3600,8,21271,15875
3600,9,21271,15875
3600,10,21271,15875
3700,1,22051,16551
3700,2,22051,16551
3700,3,22051,16551
3700,4,22051,16551
3700,5,22051,16551
3700,6,22051,16551
3700,7,22051,16551
3700,8,22051,16551
3700,9,22051,16551
3700,10,22051,16551
3800,1,22136,16471
3800,2,22136,16471
3800,3,22136,16471
3800,4,22136,16471
3800,5,22136,16471
3800,6,22136,16471
3800,7,22136,16471
3800,8,22136,16471
3800,9,22136,16471
3800,10,22136,16471
3900,1,23116,17372
3900,2,23116,17372
3900,3,23116,17372
3900,4,23116,17372
3900,5,23116,17372
3900,6,23116,17372
3900,7,23116,17372
3900,8,23116,17372
3900,9,23116,17372
3900,10,23116,17372
4000,1,24358,18333
4000,2,24358,18333
4000,3,24358,18333
4000,4,24358,18333
4000,5,24358,18333
4000,6,24358,18333
4000,7,24358,18333
4000,8,24358,18333
4000,9,24358,18333
4000,10,24358,18333
4100,1,24131,18037
4100,2,24131,18037
4100,3,24131,18037
4100,4,24131,18037
4100,5,24131,18037
4100,6,24131,18037
4100,7,24131,18037
4100,8,24131,18037
4100,9,24131,18037
4100,10,24131,18037
4200,1,24786,18493
4200,2,24786,18493
4200,3,24786,18493
4200,4,24786,18493
4200,5,24786,18493
4200,6,24786,18493
4200,7,24786,18493
4200,8,24786,18493
4200,9,24786,18493
4200,10,24786,18493
4300,1,25337,18900
4300,2,25337,18900
4300,3,25337,18900
4300,4,25337,18900
4300,5,25337,18900
4300,6,25337,18900
4300,7,25337,18900
4300,8,25337,18900
4300,9,25337,18900
4300,10,25337,18900
4400,1,26582,19873
4400,2,26582,19873
4400,3,26582,19873
4400,4,26582,19873
4400,5,26582,19873
4400,6,26582,19873
4400,7,26582,19873
4400,8,26582,19873
4400,9,26582,19873
4400,10,26582,19873
4500,1,27379,20529
4500,2,27379,20529
4500,3,27379,20529
4500,4,27379,20529
4500,5,27379,20529
4500,6,27379,20529
4500,7,27379,20529
4500,8,27379,20529
4500,9,27379,20529
4500,10,27379,20529
4600,1,26881,20036
4600,2,26881,20036
4600,3,26881,20036
4600,4,26881,20036
4600,5,26881,20036
4600,6,26881,20036
4600,7,26881,20036
4600,8,26881,20036
4600,9,26881,20036
4600,10,26881,20036
4700,1,28116,20996
4700,2,28116,20996
4700,3,28116,20996
4700,4,28116,20996
4700,5,28116,20996
4700,6,28116,20996
4700,7,28116,20996
4700,8,28116,20996
4700,9,28116,20996
4700,10,28116,20996
4800,1,29058,21754
4800,2,29058,21754
4800,3,29058,21754
4800,4,29058,21754
4800,5,29058,21754
4800,6,29058,21754
4800,7,29058,21754
4800,8,29058,21754
4800,9,29058,21754
4800,10,29058,21754
4900,1,29548,22119
4900,2,29548,22119
4900,3,29548,22119
4900,4,29548,22119
