n,m,comparisons,swaps
100,1,497,391
100,2,497,391
100,3,497,391
100,4,497,391
100,5,497,391
100,6,497,391
100,7,497,391
100,8,497,391
100,9,497,391
100,10,497,391
200,1,1034,791
200,2,1034,791
200,3,1034,791
200,4,1034,791
200,5,1034,791
200,6,1034,791
200,7,1034,791
200,8,1034,791
200,9,1034,791
200,10,1034,791
300,1,900,697
300,2,900,697
300,3,900,697
300,4,900,697
300,5,900,697
300,6,900,697
300,7,900,697
300,8,900,697
300,9,900,697
300,10,900,697
400,1,1140,853
400,2,1140,853
400,3,1140,853
400,4,1140,853
400,5,1140,853
400,6,1140,853
400,7,1140,853
400,8,1140,853
400,9,1140,853
400,10,1140,853
500,1,2892,2205
500,2,2892,2205
500,3,2892,2205
500,4,2892,2205
500,5,2892,2205
500,6,2892,2205
500,7,2892,2205
500,8,2892,2205
500,9,2892,2205
500,10,2892,2205
600,1,3335,2518
600,2,3335,2518
600,3,3335,2518
600,4,3335,2518
600,5,3335,2518
600,6,3335,2518
600,7,3335,2518
600,8,3335,2518
600,9,3335,2518
600,10,3335,2518
700,1,3805,2876
700,2,3805,2876
700,3,3805,2876
700,4,3805,2876
700,5,3805,2876
700,6,3805,2876
700,7,3805,2876
700,8,3805,2876
700,9,3805,2876
700,10,3805,2876
800,1,4623,3523
800,2,4623,3523
800,3,4623,3523
800,4,4623,3523
800,5,4623,3523
800,6,4623,3523
800,7,4623,3523
800,8,4623,3523
800,9,4623,3523
800,10,4623,3523
900,1,2670,2019
900,2,2670,2019
900,3,2670,2019
900,4,2670,2019
900,5,2670,2019
900,6,2670,2019
900,7,2670,2019
900,8,2670,2019
900,9,2670,2019
900,10,2670,2019
1000,1,5990,4552
1000,2,5990,4552
1000,3,5990,4552
1000,4,5990,4552
1000,5,5990,4552
1000,6,5990,4552
1000,7,5990,4552
1000,8,5990,4552
1000,9,5990,4552
1000,10,5990,4552
1100,1,6209,4659
1100,2,6209,4659
1100,3,6209,4659
1100,4,6209,4659
1100,5,6209,4659
1100,6,6209,4659
1100,7,6209,4659
1100,8,6209,4659
1100,9,6209,4659
1100,10,6209,4659
1200,1,7238,5508
1200,2,7238,5508
1200,3,7238,5508
1200,4,7238,5508
1200,5,7238,5508
1200,6,7238,5508
1200,7,7238,5508
1200,8,7238,5508
1200,9,7238,5508
1200,10,7238,5508
1300,1,7177,5437
1300,2,7177,5437
1300,3,7177,5437
1300,4,7177,5437
1300,5,7177,5437
1300,6,7177,5437
1300,7,7177,5437
1300,8,7177,5437
1300,9,7177,5437
1300,10,7177,5437
1400,1,8181,6196
1400,2,8181,6196
1400,3,8181,6196
1400,4,8181,6196
1400,5,8181,6196
1400,6,8181,6196
1400,7,8181,6196
1400,8,8181,6196
1400,9,8181,6196
1400,10,8181,6196
1500,1,8856,6614
1500,2,8856,6614
1500,3,8856,6614
1500,4,8856,6614
1500,5,8856,6614
1500,6,8856,6614
1500,7,8856,6614
1500,8,8856,6614
1500,9,8856,6614
1500,10,8856,6614
1600,1,9377,7021
1600,2,9377,7021
1600,3,9377,7021
1600,4,9377,7021
1600,5,9377,7021
1600,6,9377,7021
1600,7,9377,7021
1600,8,9377,7021
1600,9,9377,7021
1600,10,9377,7021
1700,1,10388,7874
1700,2,10388,7874
1700,3,10388,7874
1700,4,10388,7874
1700,5,10388,7874
1700,6,10388,7874
1700,7,10388,7874
1700,8,10388,7874
1700,9,10388,7874
1700,10,10388,7874
1800,1,10039,7549
1800,2,10039,7549
1800,3,10039,7549
1800,4,10039,7549
1800,5,10039,7549
1800,6,10039,7549
1800,7,10039,7549
1800,8,10039,7549
1800,9,10039,7549
1800,10,10039,7549
1900,1,11440,8639
1900,2,11440,8639
1900,3,11440,8639
1900,4,11440,8639
1900,5,11440,8639
1900,6,11440,8639
1900,7,11440,8639
1900,8,11440,8639
1900,9,11440,8639
1900,10,11440,8639
2000,1,12242,9243
2000,2,12242,9243
2000,3,12242,9243
2000,4,12242,9243
2000,5,12242,9243
2000,6,12242,9243
2000,7,12242,9243
2000,8,12242,9243
2000,9,12242,9243
2000,10,12242,9243
2100,1,12534,9421
2100,2,12534,9421
2100,3,12534,9421
2100,4,12534,9421
2100,5,12534,9421
2100,6,12534,9421
2100,7,12534,9421
2100,8,12534,9421
2100,9,12534,9421
2100,10,12534,9421
2200,1,13108,9820
2200,2,13108,9820
2200,3,13108,9820
2200,4,13108,9820
2200,5,13108,9820
2200,6,13108,9820
2200,7,13108,9820
2200,8,13108,9820
2200,9,13108,9820
2200,10,13108,9820
2300,1,13985,10486
2300,2,13985,10486
2300,3,13985,10486
2300,4,13985,10486
2300,5,13985,10486
2300,6,13985,10486
2300,7,13985,10486
2300,8,13985,10486
2300,9,13985,10486
2300,10,13985,10486
2400,1,14232,10710
2400,2,14232,10710
2400,3,14232,10710
2400,4,14232,10710
2400,5,14232,10710
2400,6,14232,10710
2400,7,14232,10710
2400,8,14232,10710
2400,9,14232,10710
2400,10,14232,10710
2500,1,14559,10929
2500,2,14559,10929
