n,m,comparisons,swaps
100,1,492,378
100,2,492,378
100,3,492,378
100,4,492,378
100,5,492,378
100,6,492,378
100,7,492,378
100,8,492,378
100,9,492,378
100,10,492,378
200,1,1015,768
200,2,1015,768
200,3,1015,768
200,4,1015,768
200,5,1015,768
200,6,1015,768
200,7,1015,768
200,8,1015,768
200,9,1015,768
200,10,1015,768
300,1,1672,1278
300,2,1672,1278
300,3,1672,1278
300,4,1672,1278
300,5,1672,1278
300,6,1672,1278
300,7,1672,1278
300,8,1672,1278
300,9,1672,1278
300,10,1672,1278
400,1,2222,1686
400,2,2222,1686
400,3,2222,1686
400,4,2222,1686
400,5,2222,1686
400,6,2222,1686
400,7,2222,1686
400,8,2222,1686
400,9,2222,1686
400,10,2222,1686
500,1,2733,2090
500,2,2733,2090
500,3,2733,2090
500,4,2733,2090
500,5,2733,2090
500,6,2733,2090
500,7,2733,2090
500,8,2733,2090
500,9,2733,2090
500,10,2733,2090
600,1,3368,2553
600,2,3368,2553
600,3,3368,2553
600,4,3368,2553
600,5,3368,2553
600,6,3368,2553
600,7,3368,2553
600,8,3368,2553
600,9,3368,2553
600,10,3368,2553
700,1,3975,2988
700,2,3975,2988
700,3,3975,2988
700,4,3975,2988
700,5,3975,2988
700,6,3975,2988
700,7,3975,2988
700,8,3975,2988
700,9,3975,2988
700,10,3975,2988
800,1,4462,3389
800,2,4462,3389
800,3,4462,3389
800,4,4462,3389
800,5,4462,3389
800,6,4462,3389
800,7,4462,3389
800,8,4462,3389
800,9,4462,3389
800,10,4462,3389
900,1,5199,3941
900,2,5199,3941
900,3,5199,3941
900,4,5199,3941
900,5,5199,3941
900,6,5199,3941
900,7,5199,3941
900,8,5199,3941
900,9,5199,3941
900,10,5199,3941
1000,1,5767,4334
1000,2,5767,4334
1000,3,5767,4334
1000,4,5767,4334
1000,5,5767,4334
1000,6,5767,4334
1000,7,5767,4334
1000,8,5767,4334
1000,9,5767,4334
1000,10,5767,4334
1100,1,6362,4766
1100,2,6362,4766
1100,3,6362,4766
1100,4,6362,4766
1100,5,6362,4766
1100,6,6362,4766
1100,7,6362,4766
1100,8,6362,4766
1100,9,6362,4766
1100,10,6362,4766
1200,1,7002,5261
1200,2,7002,5261
1200,3,7002,5261
1200,4,7002,5261
1200,5,7002,5261
1200,6,7002,5261
1200,7,7002,5261
1200,8,7002,5261
1200,9,7002,5261
1200,10,7002,5261
1300,1,7648,5731
1300,2,7648,5731
1300,3,7648,5731
1300,4,7648,5731
1300,5,7648,5731
1300,6,7648,5731
1300,7,7648,5731
1300,8,7648,5731
1300,9,7648,5731
1300,10,7648,5731
1400,1,8287,6233
1400,2,8287,6233
1400,3,8287,6233
1400,4,8287,6233
1400,5,8287,6233
1400,6,8287,6233
1400,7,8287,6233
1400,8,8287,6233
1400,9,8287,6233
1400,10,8287,6233
1500,1,8465,6329
1500,2,8465,6329
1500,3,8465,6329
1500,4,8465,6329
1500,5,8465,6329
1500,6,8465,6329
1500,7,8465,6329
1500,8,8465,6329
1500,9,8465,6329
1500,10,8465,6329
1600,1,9471,7150
1600,2,9471,7150
1600,3,9471,7150
