n,m,comparisons,swaps
1000,1,3103,1622
1000,2,3103,1622
1000,3,3103,1622
1000,4,3103,1622
1000,5,3103,1622
1000,6,3103,1622
1000,7,3103,1622
1000,8,3103,1622
1000,9,3103,1622
1000,10,3103,1622
2000,1,8443,4453
2000,2,8443,4453
2000,3,8443,4453
2000,4,8443,4453
2000,5,8443,4453
2000,6,8443,4453
2000,7,8443,4453
2000,8,8443,4453
2000,9,8443,4453
2000,10,8443,4453
3000,1,10290,5331
3000,2,10290,5331
3000,3,10290,5331
3000,4,10290,5331
3000,5,10290,5331
3000,6,10290,5331
3000,7,10290,5331
3000,8,10290,5331
3000,9,10290,5331
3000,10,10290,5331
4000,1,18133,9495
4000,2,18133,9495
4000,3,18133,9495
4000,4,18133,9495
4000,5,18133,9495
4000,6,18133,9495
4000,7,18133,9495
4000,8,18133,9495
4000,9,18133,9495
4000,10,18133,9495
5000,1,16939,8726
5000,2,16939,8726
5000,3,16939,8726
5000,4,16939,8726
5000,5,16939,8726
5000,6,16939,8726
5000,7,16939,8726
5000,8,16939,8726
5000,9,16939,8726
5000,10,16939,8726
6000,1,24009,12364
6000,2,24009,12364
6000,3,24009,12364
6000,4,24009,12364
6000,5,24009,12364
6000,6,24009,12364
6000,7,24009,12364
6000,8,24009,12364
6000,9,24009,12364
6000,10,24009,12364
7000,1,30890,16077
7000,2,30890,16077
7000,3,30890,16077
7000,4,30890,16077
7000,5,30890,16077
7000,6,30890,16077
7000,7,30890,16077
7000,8,30890,16077
7000,9,30890,16077
7000,10,30890,16077
8000,1,38049,19796
8000,2,38049,19796
8000,3,38049,19796
8000,4,38049,19796
8000,5,38049,19796
8000,6,38049,19796
8000,7,38049,19796
8000,8,38049,19796
8000,9,38049,19796
8000,10,38049,19796
9000,1,39009,20134
9000,2,39009,20134
9000,3,39009,20134
9000,4,39009,20134
9000,5,39009,20134
9000,6,39009,20134
9000,7,39009,20134
9000,8,39009,20134
9000,9,39009,20134
9000,10,39009,20134
10000,1,34162,17463
10000,2,34162,17463
10000,3,34162,17463
10000,4,34162,17463
10000,5,34162,17463
10000,6,34162,17463
10000,7,34162,17463
10000,8,34162,17463
10000,9,34162,17463
10000,10,34162,17463
11000,1,48196,24883
11000,2,48196,24883
11000,3,48196,24883
11000,4,48196,24883
11000,5,48196,24883
11000,6,48196,24883
11000,7,48196,24883
11000,8,48196,24883
11000,9,48196,24883
11000,10,48196,24883
12000,1,45697,23406
12000,2,45697,23406
12000,3,45697,23406
12000,4,45697,23406
12000,5,45697,23406
12000,6,45697,23406
12000,7,45697,23406
12000,8,45697,23406
12000,9,45697,23406
12000,10,45697,23406
13000,1,61441,31876
13000,2,61441,31876
13000,3,61441,31876
13000,4,61441,31876
13000,5,61441,31876
13000,6,61441,31876
13000,7,61441,31876
13000,8,61441,31876
13000,9,61441,31876
13000,10,61441,31876
14000,1,51132,26217
14000,2,51132,26217
14000,3,51132,26217
14000,4,51132,26217
14000,5,51132,26217
14000,6,51132,26217
14000,7,51132,26217
14000,8,51132,26217
14000,9,51132,26217
14000,10,51132,26217
15000,1,63039,32358
15000,2,63039,32358
15000,3,63039,32358
15000,4,63039,32358
15000,5,63039,32358
15000,6,63039,32358
15000,7,63039,32358
15000,8,63039,32358
15000,9,63039,32358
15000,10,63039,32358
16000,1,77916,40270
16000,2,77916,40270
16000,3,77916,40270
16000,4,77916,40270
16000,5,77916,40270
16000,6,77916,40270
16000,7,77916,40270
16000,8,77916,40270
16000,9,77916,40270
16000,10,77916,40270
17000,1,74652,38214
17000,2,74652,38214
17000,3,74652,38214
17000,4,74652,38214
17000,5,74652,38214
17000,6,74652,38214
17000,7,74652,38214
17000,8,74652,38214
17000,9,74652,38214
17000,10,74652,38214
18000,1,81019,41498
18000,2,81019,41498
18000,3,81019,41498
18000,4,81019,41498
18000,5,81019,41498
18000,6,81019,41498
18000,7,81019,41498
18000,8,81019,41498
18000,9,81019,41498
18000,10,81019,41498
19000,1,66155,33642
19000,2,66155,33642
19000,3,66155,33642
19000,4,66155,33642
19000,5,66155,33642
19000,6,66155,33642
19000,7,66155,33642
19000,8,66155,33642
19000,9,66155,33642
19000,10,66155,33642
20000,1,90023,46156
20000,2,90023,46156
20000,3,90023,46156
20000,4,90023,46156
20000,5,90023,46156
20000,6,90023,46156
20000,7,90023,46156
20000,8,90023,46156
20000,9,90023,46156
20000,10,90023,46156
21000,1,80239,41020
21000,2,80239,41020
21000,3,80239,41020
21000,4,80239,41020
21000,5,80239,41020
21000,6,80239,41020
21000,7,80239,41020
21000,8,80239,41020
21000,9,80239,41020
21000,10,80239,41020
22000,1,99228,50837
22000,2,99228,50837
22000,3,99228,50837
22000,4,99228,50837
22000,5,99228,50837
22000,6,99228,50837
22000,7,99228,50837
22000,8,99228,50837
22000,9,99228,50837
22000,10,99228,50837
23000,1,85015,43371
23000,2,85015,43371
23000,3,85015,43371
23000,4,85015,43371
23000,5,85015,43371
23000,6,85015,43371
23000,7,85015,43371
23000,8,85015,43371
23000,9,85015,43371
23000,10,85015,43371
24000,1,107767,55209
24000,2,107767,55209
24000,3,107767,55209
24000,4,107767,55209
24000,5,107767,55209
24000,6,107767,55209
24000,7,107767,55209
24000,8,107767,55209
24000,9,107767,55209
24000,10,107767,55209
25000,1,116201,59535
25000,2,116201,59535
25000,3,116201,59535
25000,4,116201,59535
25000,5,116201,59535
25000,6,116201,59535
25000,7,116201,59535
25000,8,116201,59535
25000,9,116201,59535
25000,10,116201,59535
26000,1,128975,66522
26000,2,128975,66522
26000,3,128975,66522
26000,4,128975,66522
26000,5,128975,66522
26000,6,128975,66522
26000,7,128975,66522
26000,8,128975,66522
26000,9,128975,66522
26000,10,128975,66522
27000,1,128406,65798
27000,2,128406,65798
27000,3,128406,65798
27000,4,128406,65798
27000,5,128406,65798
27000,6,128406,65798
27000,7,128406,65798
27000,8,128406,65798
27000,9,128406,65798
27000,10,128406,65798
28000,1,95379,48496
28000,2,95379,48496
28000,3,95379,48496
28000,4,95379,48496
28000,5,95379,48496
28000,6,95379,48496
28000,7,95379,48496
28000,8,95379,48496
28000,9,95379,48496
28000,10,95379,48496
29000,1,133219,68256
29000,2,133219,68256
29000,3,133219,68256
29000,4,133219,68256
29000,5,133219,68256
29000,6,133219,68256
29000,7,133219,68256
29000,8,133219,68256
29000,9,133219,68256
29000,10,133219,68256
30000,1,110260,56095
30000,2,110260,56095
30000,3,110260,56095
30000,4,110260,56095
30000,5,110260,56095
30000,6,110260,56095
30000,7,110260,56095
30000,8,110260,56095
30000,9,110260,56095
30000,10,110260,56095
31000,1,148100,75980
31000,2,148100,75980
