n,m,comparisons,swaps
1000,1,7439,5516
1000,2,7439,5516
1000,3,7439,5516
1000,4,7439,5516
1000,5,7439,5516
1000,6,7439,5516
1000,7,7439,5516
1000,8,7439,5516
1000,9,7439,5516
1000,10,7439,5516
2000,1,16052,11733
2000,2,16052,11733
2000,3,16052,11733
2000,4,16052,11733
2000,5,16052,11733
2000,6,16052,11733
2000,7,16052,11733
2000,8,16052,11733
2000,9,16052,11733
2000,10,16052,11733
3000,1,24648,18207
3000,2,24648,18207
3000,3,24648,18207
3000,4,24648,18207
3000,5,24648,18207
3000,6,24648,18207
3000,7,24648,18207
3000,8,24648,18207
3000,9,24648,18207
3000,10,24648,18207
4000,1,34017,24928
4000,2,34017,24928
4000,3,34017,24928
4000,4,34017,24928
4000,5,34017,24928
4000,6,34017,24928
4000,7,34017,24928
4000,8,34017,24928
4000,9,34017,24928
4000,10,34017,24928
5000,1,40085,28819
5000,2,40085,28819
5000,3,40085,28819
5000,4,40085,28819
5000,5,40085,28819
5000,6,40085,28819
5000,7,40085,28819
5000,8,40085,28819
5000,9,40085,28819
5000,10,40085,28819
6000,1,50823,37203
6000,2,50823,37203
6000,3,50823,37203
6000,4,50823,37203
6000,5,50823,37203
6000,6,50823,37203
6000,7,50823,37203
6000,8,50823,37203
6000,9,50823,37203
6000,10,50823,37203
7000,1,60755,44598
7000,2,60755,44598
7000,3,60755,44598
7000,4,60755,44598
7000,5,60755,44598
7000,6,60755,44598
7000,7,60755,44598
7000,8,60755,44598
7000,9,60755,44598
7000,10,60755,44598
8000,1,67897,49161
8000,2,67897,49161
8000,3,67897,49161
8000,4,67897,49161
8000,5,67897,49161
8000,6,67897,49161
8000,7,67897,49161
8000,8,67897,49161
8000,9,67897,49161
8000,10,67897,49161
9000,1,77134,56683
9000,2,77134,56683
9000,3,77134,56683
9000,4,77134,56683
9000,5,77134,56683
9000,6,77134,56683
9000,7,77134,56683
9000,8,77134,56683
9000,9,77134,56683
9000,10,77134,56683
10000,1,81175,59518
10000,2,81175,59518
10000,3,81175,59518
10000,4,81175,59518
10000,5,81175,59518
10000,6,81175,59518
10000,7,81175,59518
10000,8,81175,59518
10000,9,81175,59518
10000,10,81175,59518
11000,1,91197,65792
11000,2,91197,65792
11000,3,91197,65792
11000,4,91197,65792
11000,5,91197,65792
11000,6,91197,65792
11000,7,91197,65792
11000,8,91197,65792
11000,9,91197,65792
11000,10,91197,65792
12000,1,106901,78380
12000,2,106901,78380
12000,3,106901,78380
12000,4,106901,78380
