n,m,comparisons,swaps
1000,1,7354,5931
1000,2,7354,5931
1000,3,7354,5931
1000,4,7354,5931
1000,5,7354,5931
1000,6,7354,5931
1000,7,7354,5931
1000,8,7354,5931
1000,9,7354,5931
1000,10,7354,5931
2000,1,15118,12167
2000,2,15118,12167
2000,3,15118,12167
2000,4,15118,12167
2000,5,15118,12167
2000,6,15118,12167
2000,7,15118,12167
2000,8,15118,12167
2000,9,15118,12167
2000,10,15118,12167
3000,1,22960,18434
3000,2,22960,18434
3000,3,22960,18434
3000,4,22960,18434
3000,5,22960,18434
3000,6,22960,18434
3000,7,22960,18434
3000,8,22960,18434
3000,9,22960,18434
3000,10,22960,18434
4000,1,30862,24794
4000,2,30862,24794
4000,3,30862,24794
4000,4,30862,24794
4000,5,30862,24794
4000,6,30862,24794
4000,7,30862,24794
4000,8,30862,24794
4000,9,30862,24794
4000,10,30862,24794
5000,1,38796,31123
5000,2,38796,31123
5000,3,38796,31123
5000,4,38796,31123
5000,5,38796,31123
5000,6,38796,31123
5000,7,38796,31123
5000,8,38796,31123
5000,9,38796,31123
5000,10,38796,31123
6000,1,46783,37510
6000,2,46783,37510
6000,3,46783,37510
6000,4,46783,37510
6000,5,46783,37510
6000,6,46783,37510
6000,7,46783,37510
6000,8,46783,37510
6000,9,46783,37510
6000,10,46783,37510
7000,1,54615,43754
7000,2,54615,43754
7000,3,54615,43754
7000,4,54615,43754
7000,5,54615,43754
7000,6,54615,43754
7000,7,54615,43754
7000,8,54615,43754
7000,9,54615,43754
7000,10,54615,43754
8000,1,62658,50252
8000,2,62658,50252
8000,3,62658,50252
8000,4,62658,50252
8000,5,62658,50252
8000,6,62658,50252
8000,7,62658,50252
8000,8,62658,50252
8000,9,62658,50252
8000,10,62658,50252
9000,1,70604,56538
9000,2,70604,56538
9000,3,70604,56538
9000,4,70604,56538
9000,5,70604,56538
9000,6,70604,56538
9000,7,70604,56538
9000,8,70604,56538
9000,9,70604,56538
9000,10,70604,56538
10000,1,78792,63158
10000,2,78792,63158
10000,3,78792,63158
10000,4,78792,63158
10000,5,78792,63158
10000,6,78792,63158
10000,7,78792,63158
10000,8,78792,63158
10000,9,78792,63158
10000,10,78792,63158
11000,1,86668,69379
11000,2,86668,69379
11000,3,86668,69379
11000,4,86668,69379
11000,5,86668,69379
11000,6,86668,69379
11000,7,86668,69379
11000,8,86668,69379
11000,9,86668,69379
11000,10,86668,69379
12000,1,94788,75920
12000,2,94788,75920
12000,3,94788,75920
12000,4,94788,75920
12000,5,94788,75920
12000,6,94788,75920
12000,7,94788,75920
12000,8,94788,75920
12000,9,94788,75920
12000,10,94788,75920
13000,1,102811,82270
13000,2,102811,82270
13000,3,102811,82270
13000,4,102811,82270
13000,5,102811,82270
13000,6,102811,82270
13000,7,102811,82270
13000,8,102811,82270
13000,9,102811,82270
13000,10,102811,82270
14000,1,110829,88733
14000,2,110829,88733
14000,3,110829,88733
14000,4,110829,88733
14000,5,110829,88733
14000,6,110829,88733
14000,7,110829,88733
14000,8,110829,88733
14000,9,110829,88733
14000,10,110829,88733
15000,1,118659,94978
15000,2,118659,94978
15000,3,118659,94978
15000,4,118659,94978
15000,5,118659,94978
15000,6,118659,94978
15000,7,118659,94978
15000,8,118659,94978
15000,9,118659,94978
15000,10,118659,94978
16000,1,126876,101630
16000,2,126876,101630
16000,3,126876,101630
16000,4,126876,101630
16000,5,126876,101630
16000,6,126876,101630
16000,7,126876,101630
