n,m,comparisons,swaps
1000,1,5856,4450
1000,2,5856,4450
1000,3,5856,4450
1000,4,5856,4450
1000,5,5856,4450
1000,6,5856,4450
1000,7,5856,4450
1000,8,5856,4450
1000,9,5856,4450
1000,10,5856,4450
2000,1,11965,9067
2000,2,11965,9067
2000,3,11965,9067
2000,4,11965,9067
2000,5,11965,9067
2000,6,11965,9067
2000,7,11965,9067
2000,8,11965,9067
2000,9,11965,9067
2000,10,11965,9067
3000,1,18121,13644
3000,2,18121,13644
3000,3,18121,13644
3000,4,18121,13644
3000,5,18121,13644
3000,6,18121,13644
3000,7,18121,13644
3000,8,18121,13644
3000,9,18121,13644
3000,10,18121,13644
4000,1,24627,18510
4000,2,24627,18510
4000,3,24627,18510
4000,4,24627,18510
4000,5,24627,18510
4000,6,24627,18510
4000,7,24627,18510
4000,8,24627,18510
4000,9,24627,18510
4000,10,24627,18510
5000,1,30910,23266
5000,2,30910,23266
5000,3,30910,23266
5000,4,30910,23266
5000,5,30910,23266
5000,6,30910,23266
5000,7,30910,23266
5000,8,30910,23266
5000,9,30910,23266
5000,10,30910,23266
6000,1,36254,26920
6000,2,36254,26920
6000,3,36254,26920
6000,4,36254,26920
6000,5,36254,26920
6000,6,36254,26920
6000,7,36254,26920
6000,8,36254,26920
6000,9,36254,26920
6000,10,36254,26920
7000,1,41657,30845
7000,2,41657,30845
7000,3,41657,30845
7000,4,41657,30845
7000,5,41657,30845
7000,6,41657,30845
7000,7,41657,30845
7000,8,41657,30845
7000,9,41657,30845
7000,10,41657,30845
8000,1,49873,37348
8000,2,49873,37348
8000,3,49873,37348
8000,4,49873,37348
8000,5,49873,37348
8000,6,49873,37348
8000,7,49873,37348
8000,8,49873,37348
8000,9,49873,37348
8000,10,49873,37348
9000,1,56017,41960
9000,2,56017,41960
9000,3,56017,41960
9000,4,56017,41960
9000,5,56017,41960
9000,6,56017,41960
9000,7,56017,41960
9000,8,56017,41960
9000,9,56017,41960
9000,10,56017,41960
10000,1,62756,47188
10000,2,62756,47188
10000,3,62756,47188
10000,4,62756,47188
10000,5,62756,47188
10000,6,62756,47188
10000,7,62756,47188
10000,8,62756,47188
10000,9,62756,47188
10000,10,62756,47188
11000,1,69465,52064
11000,2,69465,52064
11000,3,69465,52064
11000,4,69465,52064
11000,5,69465,52064
11000,6,69465,52064
11000,7,69465,52064
11000,8,69465,52064
11000,9,69465,52064
11000,10,69465,52064
12000,1,74415,55536
12000,2,74415,55536
12000,3,74415,55536
12000,4,74415,55536
12000,5,74415,55536
12000,6,74415,55536
12000,7,74415,55536
12000,8,74415,55536
12000,9,74415,55536
12000,10,74415,55536
13000,1,81796,61379
13000,2,81796,61379
13000,3,81796,61379
13000,4,81796,61379
13000,5,81796,61379
13000,6,81796,61379
13000,7,81796,61379
13000,8,81796,61379
13000,9,81796,61379
13000,10,81796,61379
14000,1,85683,63523
14000,2,85683,63523
14000,3,85683,63523
14000,4,85683,63523
14000,5,85683,63523
14000,6,85683,63523
14000,7,85683,63523
14000,8,85683,63523
14000,9,85683,63523
