n,m,comparisons,swaps
1000,1,5875,4635
1000,2,5875,4635
1000,3,5875,4635
1000,4,5875,4635
1000,5,5875,4635
1000,6,5875,4635
1000,7,5875,4635
1000,8,5875,4635
1000,9,5875,4635
1000,10,5875,4635
2000,1,12557,10014
2000,2,12557,10014
2000,3,12557,10014
2000,4,12557,10014
2000,5,12557,10014
2000,6,12557,10014
2000,7,12557,10014
2000,8,12557,10014
2000,9,12557,10014
2000,10,12557,10014
3000,1,18958,15032
3000,2,18958,15032
3000,3,18958,15032
3000,4,18958,15032
3000,5,18958,15032
3000,6,18958,15032
3000,7,18958,15032
3000,8,18958,15032
3000,9,18958,15032
3000,10,18958,15032
4000,1,25475,20197
4000,2,25475,20197
4000,3,25475,20197
4000,4,25475,20197
4000,5,25475,20197
4000,6,25475,20197
4000,7,25475,20197
4000,8,25475,20197
4000,9,25475,20197
4000,10,25475,20197
5000,1,31051,24647
5000,2,31051,24647
5000,3,31051,24647
5000,4,31051,24647
5000,5,31051,24647
5000,6,31051,24647
5000,7,31051,24647
5000,8,31051,24647
5000,9,31051,24647
5000,10,31051,24647
6000,1,38585,30694
6000,2,38585,30694
6000,3,38585,30694
6000,4,38585,30694
6000,5,38585,30694
6000,6,38585,30694
6000,7,38585,30694
6000,8,38585,30694
6000,9,38585,30694
6000,10,38585,30694
7000,1,45187,35865
7000,2,45187,35865
7000,3,45187,35865
7000,4,45187,35865
7000,5,45187,35865
7000,6,45187,35865
7000,7,45187,35865
7000,8,45187,35865
7000,9,45187,35865
7000,10,45187,35865
8000,1,50229,39727
8000,2,50229,39727
8000,3,50229,39727
8000,4,50229,39727
8000,5,50229,39727
8000,6,50229,39727
8000,7,50229,39727
8000,8,50229,39727
8000,9,50229,39727
8000,10,50229,39727
9000,1,58223,46131
9000,2,58223,46131
9000,3,58223,46131
9000,4,58223,46131
9000,5,58223,46131
9000,6,58223,46131
9000,7,58223,46131
9000,8,58223,46131
9000,9,58223,46131
9000,10,58223,46131
10000,1,60481,47884
10000,2,60481,47884
10000,3,60481,47884
10000,4,60481,47884
10000,5,60481,47884
10000,6,60481,47884
10000,7,60481,47884
10000,8,60481,47884
10000,9,60481,47884
10000,10,60481,47884
11000,1,70707,55920
11000,2,70707,55920
11000,3,70707,55920
11000,4,70707,55920
11000,5,70707,55920
11000,6,70707,55920
11000,7,70707,55920
11000,8,70707,55920
11000,9,70707,55920
11000,10,70707,55920
12000,1,78135,61830
12000,2,78135,61830
12000,3,78135,61830
12000,4,78135,61830
12000,5,78135,61830
12000,6,78135,61830
12000,7,78135,61830
12000,8,78135,61830
12000,9,78135,61830
12000,10,78135,61830
13000,1,84595,67066
13000,2,84595,67066
13000,3,84595,67066
13000,4,84595,67066
13000,5,84595,67066
13000,6,84595,67066
13000,7,84595,67066
13000,8,84595,67066
13000,9,84595,67066
13000,10,84595,67066
14000,1,91010,72089
14000,2,91010,72089
14000,3,91010,72089
14000,4,91010,72089
14000,5,91010,72089
14000,6,91010,72089
14000,7,91010,72089
14000,8,91010,72089
14000,9,91010,72089
14000,10,91010,72089
15000,1,97868,77557
15000,2,97868,77557
15000,3,97868,77557
15000,4,97868,77557
15000,5,97868,77557
15000,6,97868,77557
15000,7,97868,77557
15000,8,97868,77557
15000,9,97868,77557
15000,10,97868,77557
16000,1,104302,82701
16000,2,104302,82701
16000,3,104302,82701
16000,4,104302,82701
16000,5,104302,82701
16000,6,104302,82701
16000,7,104302,82701
16000,8,104302,82701
16000,9,104302,82701
16000,10,104302,82701
17000,1,110614,87633
17000,2,110614,87633
17000,3,110614,87633
17000,4,110614,87633
17000,5,110614,87633
17000,6,110614,87633
17000,7,110614,87633
17000,8,110614,87633
17000,9,110614,87633
17000,10,110614,87633
18000,1,117882,93476
18000,2,117882,93476
18000,3,117882,93476
18000,4,117882,93476
18000,5,117882,93476
18000,6,117882,93476
18000,7,117882,93476
18000,8,117882,93476
18000,9,117882,93476
18000,10,117882,93476
19000,1,123716,97974
19000,2,123716,97974
19000,3,123716,97974
19000,4,123716,97974
19000,5,123716,97974
19000,6,123716,97974
19000,7,123716,97974
19000,8,123716,97974
19000,9,123716,97974
19000,10,123716,97974
20000,1,130641,103665
20000,2,130641,103665
20000,3,130641,103665
20000,4,130641,103665
20000,5,130641,103665
20000,6,130641,103665
20000,7,130641,103665
20000,8,130641,103665
20000,9,130641,103665
20000,10,130641,103665
21000,1,136888,108478
21000,2,136888,108478
21000,3,136888,108478
21000,4,136888,108478
21000,5,136888,108478
21000,6,136888,108478
21000,7,136888,108478
21000,8,136888,108478
21000,9,136888,108478
21000,10,136888,108478
22000,1,145375,115247
22000,2,145375,115247
22000,3,145375,115247
22000,4,145375,115247
22000,5,145375,115247
22000,6,145375,115247
22000,7,145375,115247
22000,8,145375,115247
22000,9,145375,115247
22000,10,145375,115247
23000,1,150581,119251
23000,2,150581,119251
23000,3,150581,119251
23000,4,150581,119251
23000,5,150581,119251
23000,6,150581,119251
23000,7,150581,119251
23000,8,150581,119251
23000,9,150581,119251
23000,10,150581,119251
24000,1,152118,120643
24000,2,152118,120643
24000,3,152118,120643
24000,4,152118,120643
24000,5,152118,120643
24000,6,152118,120643
24000,7,152118,120643
24000,8,152118,120643
24000,9,152118,120643
24000,10,152118,120643
25000,1,162814,128897
25000,2,162814,128897
25000,3,162814,128897
25000,4,162814,128897
25000,5,162814,128897
25000,6,162814,128897
25000,7,162814,128897
25000,8,162814,128897
25000,9,162814,128897
25000,10,162814,128897
26000,1,170578,135077
26000,2,170578,135077
26000,3,170578,135077
26000,4,170578,135077
26000,5,170578,135077
26000,6,170578,135077
26000,7,170578,135077
26000,8,170578,135077
26000,9,170578,135077
26000,10,170578,135077
27000,1,177476,140591
27000,2,177476,140591
27000,3,177476,140591
27000,4,177476,140591
27000,5,177476,140591
27000,6,177476,140591
27000,7,177476,140591
27000,8,177476,140591
27000,9,177476,140591
27000,10,177476,140591
28000,1,185176,146849
28000,2,185176,146849
28000,3,185176,146849
28000,4,185176,146849
28000,5,185176,146849
28000,6,185176,146849
28000,7,185176,146849
28000,8,185176,146849
28000,9,185176,146849
28000,10,185176,146849
29000,1,190185,150684
29000,2,190185,150684
29000,3,190185,150684
29000,4,190185,150684
29000,5,190185,150684
29000,6,190185,150684
29000,7,190185,150684
29000,8,190185,150684
29000,9,190185,150684
29000,10,190185,150684
30000,1,195629,154768
30000,2,195629,154768
30000,3,195629,154768
30000,4,195629,154768
30000,5,195629,154768
30000,6,195629,154768
30000,7,195629,154768
30000,8,195629,154768
30000,9,195629,154768
30000,10,195629,154768
31000,1,203373,161024
31000,2,203373,161024
31000,3,203373,161024
31000,4,203373,161024
31000,5,203373,161024
31000,6,203373,161024
31000,7,203373,161024
31000,8,203373,161024
31000,9,203373,161024
31000,10,203373,161024
32000,1,210685,166903
32000,2,210685,166903
32000,3,210685,166903
32000,4,210685,166903
32000,5,210685,166903
32000,6,210685,166903
32000,7,210685,166903
32000,8,210685,166903
32000,9,210685,166903
32000,10,210685,166903
33000,1,216603,171465
33000,2,216603,171465
33000,3,216603,171465
33000,4,216603,171465
33000,5,216603,171465
33000,6,216603,171465
33000,7,216603,171465
33000,8,216603,171465
33000,9,216603,171465
33000,10,216603,171465
34000,1,224893,178265
34000,2,224893,178265
34000,3,224893,178265
34000,4,224893,178265
34000,5,224893,178265
34000,6,224893,178265
34000,7,224893,178265
34000,8,224893,178265
34000,9,224893,178265
34000,10,224893,178265
35000,1,229426,181659
35000,2,229426,181659
35000,3,229426,181659
35000,4,229426,181659
35000,5,229426,181659
35000,6,229426,181659
35000,7,229426,181659
35000,8,229426,181659
35000,9,229426,181659
35000,10,229426,181659
36000,1,237553,188454
36000,2,237553,188454
36000,3,237553,188454
36000,4,237553,188454
36000,5,237553,188454
36000,6,237553,188454
36000,7,237553,188454
36000,8,237553,188454
36000,9,237553,188454
36000,10,237553,188454
37000,1,243934,193256
37000,2,243934,193256
37000,3,243934,193256
37000,4,243934,193256
37000,5,243934,193256
37000,6,243934,193256
37000,7,243934,193256
37000,8,243934,193256
37000,9,243934,193256
37000,10,243934,193256
38000,1,242237,191904
38000,2,242237,191904
38000,3,242237,191904
38000,4,242237,191904
38000,5,242237,191904
38000,6,242237,191904
38000,7,242237,191904
38000,8,242237,191904
38000,9,242237,191904
38000,10,242237,191904
39000,1,254528,201051
39000,2,254528,201051
39000,3,254528,201051
39000,4,254528,201051
39000,5,254528,201051
39000,6,254528,201051
39000,7,254528,201051
39000,8,254528,201051
39000,9,254528,201051
39000,10,254528,201051
40000,1,264268,209496
40000,2,264268,209496
40000,3,264268,209496
40000,4,264268,209496
40000,5,264268,209496
40000,6,264268,209496
40000,7,264268,209496
40000,8,264268,209496
40000,9,264268,209496
40000,10,264268,209496
41000,1,268068,211929
41000,2,268068,211929
41000,3,268068,211929
41000,4,268068,211929
41000,5,268068,211929
41000,6,268068,211929
41000,7,268068,211929
41000,8,268068,211929
41000,9,268068,211929
41000,10,268068,211929
42000,1,278497,220840
42000,2,278497,220840
42000,3,278497,220840
42000,4,278497,220840
42000,5,278497,220840
42000,6,278497,220840
42000,7,278497,220840
42000,8,278497,220840
42000,9,278497,220840
42000,10,278497,220840
43000,1,280168,221462
43000,2,280168,221462
43000,3,280168,221462
43000,4,280168,221462
43000,5,280168,221462
43000,6,280168,221462
43000,7,280168,221462
43000,8,280168,221462
43000,9,280168,221462
43000,10,280168,221462
44000,1,289211,228960
44000,2,289211,228960
44000,3,289211,228960
44000,4,289211,228960
44000,5,289211,228960
44000,6,289211,228960
44000,7,289211,228960
44000,8,289211,228960
44000,9,289211,228960
44000,10,289211,228960
