n,m,comparisons,swaps
1000,1,1244,620
1000,2,1244,620
1000,3,1244,620
1000,4,1244,620
1000,5,1244,620
1000,6,1244,620
1000,7,1244,620
1000,8,1244,620
1000,9,1244,620
1000,10,1244,620
2000,1,4904,2445
2000,2,4904,2445
2000,3,4904,2445
2000,4,4904,2445
2000,5,4904,2445
2000,6,4904,2445
2000,7,4904,2445
2000,8,4904,2445
2000,9,4904,2445
2000,10,4904,2445
3000,1,6927,3450
3000,2,6927,3450
3000,3,6927,3450
3000,4,6927,3450
3000,5,6927,3450
3000,6,6927,3450
3000,7,6927,3450
3000,8,6927,3450
3000,9,6927,3450
3000,10,6927,3450
4000,1,9916,4920
4000,2,9916,4920
4000,3,9916,4920
4000,4,9916,4920
4000,5,9916,4920
4000,6,9916,4920
4000,7,9916,4920
4000,8,9916,4920
4000,9,9916,4920
4000,10,9916,4920
5000,1,12403,6231
5000,2,12403,6231
5000,3,12403,6231
5000,4,12403,6231
5000,5,12403,6231
5000,6,12403,6231
5000,7,12403,6231
5000,8,12403,6231
5000,9,12403,6231
5000,10,12403,6231
6000,1,14493,7225
6000,2,14493,7225
6000,3,14493,7225
6000,4,14493,7225
6000,5,14493,7225
6000,6,14493,7225
6000,7,14493,7225
6000,8,14493,7225
6000,9,14493,7225
6000,10,14493,7225
7000,1,17525,8769
7000,2,17525,8769
7000,3,17525,8769
7000,4,17525,8769
7000,5,17525,8769
7000,6,17525,8769
7000,7,17525,8769
7000,8,17525,8769
7000,9,17525,8769
7000,10,17525,8769
8000,1,20082,9994
8000,2,20082,9994
8000,3,20082,9994
8000,4,20082,9994
8000,5,20082,9994
8000,6,20082,9994
8000,7,20082,9994
8000,8,20082,9994
8000,9,20082,9994
8000,10,20082,9994
9000,1,21297,10653
9000,2,21297,10653
9000,3,21297,10653
9000,4,21297,10653
9000,5,21297,10653
9000,6,21297,10653
9000,7,21297,10653
9000,8,21297,10653
9000,9,21297,10653
9000,10,21297,10653
10000,1,12644,6331
10000,2,12644,6331
10000,3,12644,6331
10000,4,12644,6331
10000,5,12644,6331
10000,6,12644,6331
10000,7,12644,6331
10000,8,12644,6331
10000,9,12644,6331
10000,10,12644,6331
11000,1,27447,13747
11000,2,27447,13747
11000,3,27447,13747
11000,4,27447,13747
11000,5,27447,13747
11000,6,27447,13747
11000,7,27447,13747
11000,8,27447,13747
11000,9,27447,13747
11000,10,27447,13747
12000,1,30029,14995
12000,2,30029,14995
12000,3,30029,14995
12000,4,30029,14995
12000,5,30029,14995
12000,6,30029,14995
12000,7,30029,14995
12000,8,30029,14995
12000,9,30029,14995
12000,10,30029,14995
13000,1,32747,16329
13000,2,32747,16329
13000,3,32747,16329
13000,4,32747,16329
13000,5,32747,16329
13000,6,32747,16329
13000,7,32747,16329
13000,8,32747,16329
13000,9,32747,16329
13000,10,32747,16329
14000,1,34696,17347
14000,2,34696,17347
14000,3,34696,17347
14000,4,34696,17347
14000,5,34696,17347
14000,6,34696,17347
14000,7,34696,17347
14000,8,34696,17347
14000,9,34696,17347
14000,10,34696,17347
15000,1,35671,17825
15000,2,35671,17825
15000,3,35671,17825
15000,4,35671,17825
15000,5,35671,17825
15000,6,35671,17825
15000,7,35671,17825
15000,8,35671,17825
15000,9,35671,17825
15000,10,35671,17825
16000,1,40379,20143
16000,2,40379,20143
16000,3,40379,20143
16000,4,40379,20143
16000,5,40379,20143
16000,6,40379,20143
16000,7,40379,20143
16000,8,40379,20143
16000,9,40379,20143
16000,10,40379,20143
17000,1,41699,20842
17000,2,41699,20842
17000,3,41699,20842
17000,4,41699,20842
17000,5,41699,20842
17000,6,41699,20842
17000,7,41699,20842
17000,8,41699,20842
17000,9,41699,20842
17000,10,41699,20842
18000,1,44193,22095
18000,2,44193,22095
18000,3,44193,22095
18000,4,44193,22095
18000,5,44193,22095
18000,6,44193,22095
18000,7,44193,22095
18000,8,44193,22095
18000,9,44193,22095
18000,10,44193,22095
19000,1,24049,12018
19000,2,24049,12018
19000,3,24049,12018
19000,4,24049,12018
19000,5,24049,12018
19000,6,24049,12018
19000,7,24049,12018
19000,8,24049,12018
19000,9,24049,12018
19000,10,24049,12018
20000,1,50448,25261
20000,2,50448,25261
20000,3,50448,25261
20000,4,50448,25261
20000,5,50448,25261
20000,6,50448,25261
20000,7,50448,25261
20000,8,50448,25261
