n,k,comparisons, execution_time
1000,1,9,0.04655979998642579
1000,2,10,0.03755730000557378
1000,3,9,0.03726720000850037
1000,4,10,0.039267799991648644
1000,5,4,0.038274799997452646
1000,6,10,0.040276699990499765
1000,7,8,0.03925500001059845
1000,8,9,0.03979589999653399
1000,9,9,0.038002099958248436
1000,10,10,0.038211199978832155
2000,1,9,0.03907870000693947
2000,2,9,0.039931599982082844
2000,3,10,0.038448099978268147
2000,4,10,0.03857190004782751
2000,5,10,0.03872060001594946
2000,6,11,0.03825199999846518
2000,7,10,0.05582489998778328
2000,8,10,0.03860649996204302
2000,9,11,0.042887500021606684
2000,10,7,0.03342669998528436
3000,1,11,0.03259779996005818
3000,2,9,0.03280599997378886
3000,3,10,0.03967179998289794
3000,4,11,0.03461950004566461
3000,5,11,0.03485459997318685
3000,6,9,0.032539599982555956
3000,7,12,0.03280290000839159
3000,8,10,0.032070000015664846
3000,9,9,0.0323785999789834
3000,10,9,0.033388699986971915
4000,1,12,0.034159000031650066
4000,2,12,0.03304459998616949
4000,3,10,0.032607899978756905
4000,4,10,0.034827299998141825
4000,5,12,0.033649299992248416
4000,6,10,0.033538300020154566
4000,7,9,0.033566400001291186
4000,8,12,0.0359912000130862
4000,9,12,0.03429949999554083
4000,10,12,0.037045200006105006
5000,1,12,0.03868729999521747
5000,2,11,0.035966499999631196
5000,3,12,0.03480299998773262
5000,4,10,0.03457519999938086
5000,5,11,0.03588849998777732
5000,6,12,0.03509600000688806
5000,7,13,0.03425139997852966
5000,8,10,0.034954499977175146
5000,9,12,0.034227400028612465
5000,10,13,0.03412759996717796
6000,1,12,0.034737100009806454
6000,2,11,0.03651960002025589
6000,3,13,0.03562100004637614
6000,4,12,0.03595729998778552
6000,5,12,0.03908449999289587
6000,6,12,0.03698839998105541
6000,7,12,0.03476619999855757
6000,8,10,0.03500249999342486
6000,9,12,0.034359299985226244
6000,10,12,0.03514650004217401
7000,1,13,0.03765050001675263
7000,2,8,0.0367913999943994
7000,3,13,0.03574960003606975
7000,4,11,0.03548700001556426
7000,5,11,0.03645160002633929
7000,6,13,0.0381436999887228
7000,7,12,0.03701949998503551
7000,8,13,0.037002300028689206
7000,9,11,0.03615600004559383
7000,10,12,0.03577279997989535
8000,1,13,0.03696439997293055
8000,2,13,0.04402849997859448
8000,3,13,0.03685830003814772
8000,4,11,0.03553890000330284
8000,5,13,0.03783390001626685
8000,6,12,0.038740300049539655
8000,7,10,0.03890240000328049
8000,8,11,0.038524100033100694
8000,9,13,0.03795140003785491
8000,10,12,0.037556299997959286
9000,1,13,0.03747569996630773
9000,2,13,0.03754689998459071
9000,3,13,0.03876790002686903
9000,4,11,0.03813699999591336
9000,5,11,0.0391111999633722
9000,6,13,0.037138499959837645
9000,7,10,0.037200999970082194
9000,8,8,0.03765620000194758
9000,9,8,0.03829970001243055
9000,10,11,0.0372192999930121
10000,1,12,0.04646899999352172
10000,2,12,0.05466039996827021
10000,3,12,0.055388799984939396
10000,4,13,0.042409999994561076
10000,5,9,0.03868810000130907
10000,6,10,0.041382099967449903
10000,7,13,0.04186310002114624
10000,8,13,0.040749099978711456
10000,9,12,0.038100100005976856
10000,10,12,0.03864450001856312
11000,1,9,0.03876070003025234
11000,2,12,0.04045560001395643
11000,3,14,0.03856350004207343
11000,4,12,0.04008439998142421
11000,5,13,0.03953899996122345
11000,6,11,0.04048309999052435
11000,7,12,0.0398194000008516
11000,8,13,0.03904130001319572
11000,9,12,0.03817959997104481
11000,10,11,0.03936970001086593
12000,1,11,0.04058139998232946
12000,2,13,0.041065099998377264
12000,3,13,0.03973019996192306
12000,4,13,0.04208309995010495
12000,5,13,0.04056659998605028
12000,6,14,0.04070370004046708
12000,7,10,0.04087710002204403
12000,8,12,0.04518320003990084
12000,9,12,0.046829700004309416
12000,10,14,0.03991600003791973
13000,1,13,0.04074590001255274
13000,2,12,0.04068100004224107
13000,3,14,0.04839080001693219
13000,4,12,0.040409000008367
13000,5,13,0.039808499976061285
13000,6,14,0.04042829998070374
13000,7,13,0.04481250001117587
13000,8,9,0.04773989995010197
13000,9,14,0.04363369999919087
13000,10,12,0.04590719996485859
14000,1,13,0.05291110003599897
14000,2,12,0.04609599994728342
14000,3,12,0.05128969997167587
14000,4,13,0.05577350000385195
14000,5,12,0.06151349999709055
14000,6,12,0.057899000006727874
14000,7,14,0.054613700020127
14000,8,14,0.05091649998212233
14000,9,13,0.04419280000729486
14000,10,12,0.04898160003358498
15000,1,12,0.043284300016239285
15000,2,14,0.045157200016546994
15000,3,13,0.04293820000020787
15000,4,14,0.04238589998567477
15000,5,12,0.04250239999964833
15000,6,13,0.043060500000137836
15000,7,12,0.042910900025162846
15000,8,12,0.04287499998463318
15000,9,1,0.04440409998642281
15000,10,12,0.04320779995759949
16000,1,13,0.04213789995992556
16000,2,11,0.04273240000475198
16000,3,14,0.04278879996854812
16000,4,13,0.043125700030941516
16000,5,14,0.043565699947066605
16000,6,14,0.04178739996859804
16000,7,14,0.04363059997558594
16000,8,14,0.04381230002036318
16000,9,14,0.04619630001252517
16000,10,10,0.05054039997048676
17000,1,13,0.04437869996763766
17000,2,13,0.045137099979911
17000,3,14,0.044634100049734116
17000,4,11,0.044226900034118444
17000,5,12,0.04860229999758303
17000,6,7,0.04474139999365434
17000,7,14,0.04347039997810498
17000,8,13,0.04338439996354282
17000,9,10,0.043987799959722906
17000,10,14,0.05059950001304969
18000,1,13,0.07048140000551939
18000,2,13,0.055285500013269484
18000,3,15,0.05341940000653267
18000,4,11,0.05719850002788007
18000,5,14,0.06562990002566949
18000,6,13,0.06010420003440231
18000,7,13,0.05974589998368174
18000,8,11,0.06231930002104491
18000,9,14,0.06442059995606542
18000,10,14,0.07144270004937425
19000,1,12,0.1070727999904193
19000,2,15,0.10315289994468912
19000,3,15,0.1038952000089921
19000,4,14,0.08437470003264025
19000,5,13,0.061283299990464
19000,6,13,0.05038390000117943
19000,7,13,0.049218100029975176
19000,8,10,0.046646300004795194
19000,9,11,0.05156089999945834
19000,10,14,0.04596399998990819
20000,1,14,0.048625700001139194
20000,2,12,0.06082610000157729
20000,3,11,0.05776579998200759
20000,4,13,0.04888680001022294
20000,5,12,0.04688290000194684
20000,6,14,0.04646130005130544
20000,7,13,0.05046529998071492
20000,8,14,0.04785719997016713
20000,9,14,0.0504499000380747
20000,10,14,0.04554590000770986
21000,1,13,0.04745600000023842
21000,2,14,0.04773459996795282
21000,3,14,0.04759099998045713
21000,4,11,0.048339499975554645
21000,5,13,0.04658039996866137
21000,6,15,0.04713570000603795
21000,7,14,0.047410700004547834
21000,8,11,0.047456700005568564
21000,9,14,0.04881599999498576
21000,10,14,0.04764130001422018
22000,1,12,0.048012299987021834
22000,2,15,0.04841030004899949
22000,3,14,0.04829160001827404
22000,4,15,0.04735470004379749
22000,5,11,0.05555470002582297
22000,6,13,0.04791670001577586
22000,7,13,0.04842160001862794
22000,8,13,0.04806780000217259
22000,9,14,0.05685079999966547
22000,10,8,0.053170999977737665
23000,1,14,0.052787200023885816
23000,2,13,0.05037930002436042
23000,3,13,0.049050600035116076
23000,4,15,0.04920100001618266
23000,5,12,0.051489700039383024
23000,6,14,0.049891100032255054
23000,7,15,0.049656699993647635
23000,8,13,0.050170900009106845
