n,k,comparisons, execution_time
1000,1,7,0.03892520000226796
1000,2,4,0.03681000001961365
1000,3,8,0.041365500015672296
1000,4,9,0.03654960001586005
1000,5,9,0.035735599987674505
1000,6,10,0.03749519999837503
1000,7,5,0.037612799962516874
1000,8,9,0.037439300038386136
1000,9,9,0.03899919998366386
1000,10,9,0.040542100032325834
2000,1,11,0.04155849997187033
2000,2,9,0.03919879999011755
2000,3,11,0.038589200004935265
2000,4,11,0.046638700005132705
2000,5,11,0.0425130000221543
2000,6,10,0.047901200014166534
2000,7,8,0.05181340000126511
2000,8,11,0.04871960001764819
2000,9,9,0.050391800003126264
2000,10,11,0.047490399971138686
3000,1,10,0.04615670000202954
3000,2,7,0.04394729994237423
3000,3,12,0.04553860001033172
3000,4,8,0.043233699980191886
3000,5,8,0.044088799972087145
3000,6,11,0.043736400024499744
3000,7,10,0.056855999981053174
3000,8,9,0.0573928999947384
3000,9,12,0.07014320004964247
3000,10,10,0.06431719998363405
4000,1,12,0.05527549999533221
4000,2,11,0.06218700000317767
4000,3,10,0.04697290004696697
4000,4,11,0.04816720000235364
4000,5,10,0.04576050001196563
4000,6,12,0.04410110000753775
4000,7,10,0.04891319997841492
4000,8,5,0.048416600038763136
4000,9,11,0.04853420000290498
4000,10,12,0.04705550003563985
5000,1,11,0.04718029999639839
5000,2,12,0.0468375000054948
5000,3,12,0.04521660000318661
5000,4,10,0.04335059999721125
5000,5,11,0.043211800046265125
5000,6,13,0.04396959999576211
5000,7,13,0.04978000000119209
5000,8,12,0.044161600002553314
5000,9,12,0.04337650001980364
5000,10,11,0.049257899983786047
6000,1,11,0.04601140000158921
6000,2,11,0.046689099981449544
6000,3,12,0.055369600013364106
6000,4,9,0.044054800004232675
6000,5,9,0.04470699996454641
6000,6,12,0.04461850004736334
6000,7,12,0.05000449996441603
6000,8,9,0.04259609995642677
6000,9,12,0.04447820002678782
6000,10,12,0.05197460000636056
7000,1,11,0.044769000029191375
7000,2,12,0.045954199973493814
7000,3,12,0.05387599999085069
7000,4,10,0.04286089999368414
7000,5,11,0.04368770000291988
7000,6,9,0.043466700008139014
7000,7,11,0.053150099993217736
7000,8,11,0.04568529996322468
7000,9,12,0.04576700000325218
7000,10,10,0.04636570002185181
8000,1,12,0.047219500003848225
8000,2,13,0.047024100029375404
8000,3,11,0.04843259998597205
8000,4,13,0.04786019999301061
8000,5,12,0.05511120002483949
8000,6,12,0.05228289996739477
8000,7,10,0.050950300006661564
8000,8,13,0.04936810000799596
8000,9,13,0.04973039997275919
8000,10,10,0.05022170004667714
9000,1,13,0.050041800015605986
9000,2,12,0.04921110003488138
9000,3,12,0.04881859995657578
9000,4,12,0.04951089998940006
9000,5,11,0.04851630004122853
9000,6,13,0.04718170000705868
9000,7,12,0.04704939998919144
9000,8,11,0.04561430000467226
9000,9,12,0.04626329999882728
9000,10,11,0.04674060002434999
10000,1,9,0.048023999959696084
10000,2,13,0.048401699983514845
10000,3,13,0.05002690001856536
10000,4,12,0.049298199999611825
10000,5,14,0.051543000037781894
10000,6,13,0.04708049999317154
10000,7,13,0.048983899992890656
10000,8,10,0.04903819999890402
10000,9,11,0.047216400038450956
10000,10,13,0.047718900023028255
11000,1,5,0.04987990000518039
11000,2,10,0.049674300011247396
11000,3,13,0.04866430000402033
11000,4,12,0.049084800004493445
11000,5,14,0.04972740000812337
11000,6,13,0.04970910004340112
11000,7,10,0.0508652999997139
11000,8,13,0.050496899988502264
11000,9,12,0.04995179997058585
11000,10,10,0.049418400041759014
12000,1,11,0.051052199967671186
12000,2,8,0.050671499979216605
12000,3,13,0.050299900001846254
12000,4,12,0.05022930004633963
12000,5,13,0.051371100009419024
12000,6,12,0.05215509998379275
12000,7,14,0.05206359998555854
12000,8,9,0.05347740004071966
12000,9,10,0.05273350002244115
12000,10,12,0.05137300002388656
13000,1,13,0.052599199989344925
13000,2,12,0.053139899973757565
13000,3,13,0.05236700002569705
13000,4,14,0.06135949998861179
13000,5,12,0.05172980000497773
13000,6,12,0.05426030000671744
13000,7,12,0.05051359999924898
13000,8,13,0.05345030000898987
13000,9,13,0.052960500004701316
13000,10,13,0.053519400011282414
14000,1,14,0.054557700001168996
14000,2,14,0.0529687000089325
14000,3,13,0.0525774999987334
14000,4,13,0.058641000010538846
14000,5,14,0.05420459999004379
14000,6,14,0.05373530002543703
14000,7,11,0.052825899969320744
14000,8,11,0.052582799980882555
14000,9,14,0.055645300017204136
14000,10,12,0.055208200006745756
15000,1,14,0.053778700006660074
15000,2,13,0.05383260000962764
15000,3,14,0.055567000003065914
15000,4,13,0.053470399987418205
15000,5,11,0.054872000007890165
15000,6,14,0.06151520001003519
15000,7,14,0.07543880003504455
15000,8,12,0.07061910000629723
15000,9,14,0.06960869999602437
15000,10,13,0.06748629995854571
16000,1,12,0.07863920001545921
16000,2,13,0.07289979996858165
16000,3,13,0.16446910001104698
16000,4,12,0.15899540000827983
16000,5,13,0.12097099999664351
16000,6,12,0.1361659000394866
16000,7,14,0.138111200009007
16000,8,13,0.10976510000182316
16000,9,13,0.08451779995812103
16000,10,12,0.08247590000974014
17000,1,12,0.07319580001058057
17000,2,13,0.07088720001047477
17000,3,14,0.08081319998018444
17000,4,14,0.08026680001057684
17000,5,14,0.06117100000847131
17000,6,14,0.06124800001271069
17000,7,12,0.06477999995695427
17000,8,12,0.057113499962724745
17000,9,12,0.06754379998892546
17000,10,14,0.05615720001515001
18000,1,12,0.06293170002754778
18000,2,9,0.05788500001654029
18000,3,13,0.05707119998987764
18000,4,11,0.058501899999100715
18000,5,15,0.058202499989420176
18000,6,14,0.057054099976085126
18000,7,10,0.05651429999852553
18000,8,14,0.056356399960350245
18000,9,12,0.056921100011095405
18000,10,12,0.05850250000366941
19000,1,13,0.06055140000535175
19000,2,11,0.05955569999059662
19000,3,15,0.05844629998318851
19000,4,13,0.059531600039917976
19000,5,14,0.05786559998523444
19000,6,12,0.058288700005505234
19000,7,14,0.05831760005094111
19000,8,14,0.06320530001539737
19000,9,13,0.058336200017947704
19000,10,14,0.057463400007691234
20000,1,14,0.062116999994032085
20000,2,11,0.0678990000160411
20000,3,13,0.06749310001032427
20000,4,13,0.059754000045359135
20000,5,14,0.06550470000365749
20000,6,13,0.05825699999695644
20000,7,14,0.058491500036325306
20000,8,11,0.058867800049483776
20000,9,13,0.06266470003174618
20000,10,13,0.06377189996419474
21000,1,14,0.06271389999892563
21000,2,14,0.06283070001518354
21000,3,10,0.061620599997695535
21000,4,13,0.062380700022913516
21000,5,13,0.062420599977485836
21000,6,10,0.061973100004252046
21000,7,13,0.06277070002397522
21000,8,13,0.06026299996301532
21000,9,14,0.06098980002570897
21000,10,14,0.06217509997077286
22000,1,15,0.06177750002825633
22000,2,10,0.06145999999716878
22000,3,12,0.0625570000265725
22000,4,10,0.06153400003677234
22000,5,13,0.06331140000838786
22000,6,11,0.061946699977852404
22000,7,15,0.06211170001188293
22000,8,11,0.06168189999880269
22000,9,12,0.06398679997073486
22000,10,11,0.060912500019185245
23000,1,15,0.06735379999736324
23000,2,13,0.06109959998866543
23000,3,14,0.06385910004610196
23000,4,14,0.06224529998144135
23000,5,11,0.06305260001681745
23000,6,14,0.06377989996690303
23000,7,15,0.06264590000500903
23000,8,13,0.06849900004453957
23000,9,14,0.0637651999713853
23000,10,9,0.061358299979474396
24000,1,15,0.07247439998900518
24000,2,14,0.06335750001017004
24000,3,15,0.07095129997469485
