n,k,comparisons, execution_time
1000,1,10,0.04367609997279942
1000,2,10,0.03945620002923533
1000,3,9,0.04162900004303083
1000,4,10,0.03549810004187748
1000,5,10,0.03463740000734106
1000,6,10,0.040144699974916875
1000,7,10,0.03523360000690445
1000,8,10,0.03711100004147738
1000,9,10,0.04400469997199252
1000,10,10,0.04756840004120022
2000,1,11,0.040661800012458116
2000,2,11,0.044408800022210926
2000,3,11,0.03819110000040382
2000,4,11,0.03846349997911602
2000,5,11,0.043956900015473366
2000,6,11,0.04905020003207028
2000,7,11,0.04216389998327941
2000,8,11,0.04019480000715703
2000,9,11,0.04557249997742474
2000,10,11,0.03933180001331493
3000,1,12,0.04199310002150014
3000,2,11,0.0406444999971427
3000,3,12,0.040928800008259714
3000,4,12,0.04050979996100068
3000,5,12,0.04210399999283254
3000,6,12,0.038791899976786226
3000,7,12,0.042700499994680285
3000,8,11,0.05226019996916875
3000,9,12,0.051921900012530386
3000,10,11,0.057331299991346896
4000,1,12,0.04615780001040548
4000,2,12,0.04573959996923804
4000,3,12,0.049163600022438914
4000,4,12,0.0463978000334464
4000,5,12,0.04450409999117255
4000,6,12,0.04396340000675991
4000,7,12,0.04762470000423491
4000,8,12,0.05246520001674071
4000,9,12,0.05455549998441711
4000,10,12,0.05886889999965206
5000,1,13,0.051517700019758195
5000,2,12,0.05289009999250993
5000,3,12,0.053943200036883354
5000,4,12,0.056747600028757006
5000,5,12,0.05407830001786351
5000,6,13,0.05261909996625036
5000,7,12,0.05291129997931421
5000,8,12,0.04684710002038628
5000,9,12,0.05156969995005056
5000,10,12,0.05825409997487441
6000,1,12,0.06304699997417629
6000,2,13,0.04974599997512996
6000,3,12,0.04828669998096302
6000,4,12,0.04745870002079755
6000,5,12,0.0505183000350371
6000,6,13,0.052156200050376356
6000,7,13,0.05153480003355071
6000,8,12,0.0516337999724783
6000,9,13,0.046566199976950884
6000,10,13,0.049373599991668016
7000,1,13,0.04881609999574721
7000,2,12,0.04579050000756979
7000,3,13,0.047327800013590604
7000,4,13,0.04465729999355972
7000,5,13,0.04576390003785491
7000,6,13,0.04778810002608225
7000,7,13,0.04564700002083555
7000,8,13,0.046084600035101175
7000,9,13,0.047998800000641495
7000,10,13,0.04595069994684309
8000,1,13,0.04838659998495132
8000,2,13,0.04658359999302775
8000,3,13,0.04474899999331683
8000,4,13,0.047434100008103997
8000,5,13,0.04682889999821782
8000,6,13,0.04595339996740222
8000,7,13,0.04729729995597154
8000,8,13,0.04587760003050789
8000,9,13,0.045534799981396645
8000,10,13,0.049101300013717264
9000,1,13,0.04729439999209717
9000,2,13,0.04674319998594001
9000,3,13,0.054848100000526756
9000,4,13,0.04993909999029711
9000,5,13,0.04872389999218285
9000,6,14,0.04622000001836568
9000,7,13,0.047597299970220774
9000,8,14,0.046263900003395975
9000,9,13,0.04712979996111244
9000,10,13,0.04754960001446307
10000,1,13,0.048769199987873435
10000,2,14,0.049298099998850375
10000,3,14,0.04760240000905469
10000,4,14,0.04883570002857596
10000,5,14,0.04805119999218732
10000,6,13,0.04815620003500953
10000,7,14,0.047153999970760196
10000,8,14,0.04866619996028021
10000,9,13,0.049373699992429465
10000,10,13,0.04908079997403547
11000,1,14,0.050004999968223274
11000,2,13,0.04771040001651272
11000,3,13,0.04823489999398589
11000,4,13,0.04921170003945008
11000,5,13,0.05637910001678392
11000,6,14,0.050905399955809116
11000,7,13,0.0557369000161998
11000,8,13,0.05513029999565333
11000,9,13,0.04989449999993667
11000,10,13,0.04868369997711852
12000,1,14,0.05728660000022501
12000,2,13,0.04939699999522418
12000,3,14,0.07198289997177199
12000,4,14,0.05658430000767112
12000,5,13,0.058656100009102374
12000,6,13,0.05872349999845028
12000,7,14,0.057955299969762564
12000,8,14,0.062031100038439035
12000,9,14,0.05634830001508817
12000,10,14,0.06109430000651628
13000,1,13,0.054725399997550994
13000,2,14,0.05809219996444881
13000,3,14,0.05288860003929585
13000,4,14,0.05347959999926388
13000,5,14,0.05340430000796914
13000,6,13,0.05494400003226474
13000,7,14,0.05102969997096807
13000,8,14,0.05318470002384856
13000,9,14,0.051944100006949157
13000,10,14,0.05244539998238906
14000,1,14,0.0582122000050731
14000,2,14,0.05341890000272542
14000,3,14,0.05135820002760738
14000,4,14,0.053833200014196336
14000,5,14,0.055420100048650056
14000,6,14,0.05238660000031814
14000,7,14,0.051253900048322976
14000,8,14,0.052747400011867285
14000,9,14,0.05260539997834712
14000,10,14,0.052040500042494386
15000,1,14,0.05904069996904582
15000,2,14,0.05239580001216382
15000,3,14,0.053541500004939735
15000,4,14,0.06092680001165718
15000,5,14,0.055894299992360175
15000,6,14,0.05466360005084425
15000,7,14,0.05439209996256977
15000,8,14,0.05319290002807975
15000,9,14,0.05436470004497096
15000,10,14,0.05290959996636957
16000,1,14,0.05437470000470057
16000,2,14,0.05426190001890063
16000,3,14,0.056008099985774606
16000,4,14,0.05545990000246093
