n,k,comparisons, execution_time
1000,1,9,0.07497710001189262
1000,2,9,0.062475700047798455
1000,3,10,0.05851900001289323
1000,4,9,0.0607816000119783
1000,5,9,0.07148260000394657
1000,6,7,0.0632261999999173
1000,7,4,0.07184960000449792
1000,8,10,0.0687412999686785
1000,9,9,0.06571850000182167
1000,10,10,0.08437399996910244
2000,1,9,0.08193420001771301
2000,2,10,0.07431580004049465
2000,3,10,0.07462889997987077
2000,4,11,0.07122929999604821
2000,5,8,0.07795740000437945
2000,6,10,0.10388760000932962
2000,7,9,0.1004199999733828
2000,8,11,0.09232019999762997
2000,9,10,0.09064429998397827
2000,10,10,0.060697700013406575
3000,1,10,0.07391949999146163
3000,2,11,0.06064669997431338
3000,3,9,0.06146110000554472
3000,4,11,0.0952631999971345
3000,5,10,0.06250550004187971
3000,6,10,0.06476750003639609
3000,7,11,0.055750500003341585
3000,8,11,0.05623570003081113
3000,9,9,0.057500399998389184
3000,10,10,0.05857489997288212
4000,1,10,0.061853099963627756
4000,2,12,0.058850200031884015
4000,3,12,0.057126999949105084
4000,4,10,0.05799639999167994
4000,5,11,0.06225109996739775
4000,6,11,0.054526599997188896
4000,7,11,0.06195230002049357
4000,8,11,0.053872000018600374
4000,9,12,0.055007100047077984
4000,10,11,0.05918869999004528
5000,1,12,0.056011200009379536
5000,2,13,0.06320099998265505
5000,3,11,0.06613329995889217
5000,4,12,0.055630500020924956
5000,5,8,0.057841199974063784
5000,6,11,0.05700739996973425
5000,7,11,0.05911289999494329
5000,8,11,0.06047329999273643
5000,9,12,0.06019469996681437
5000,10,10,0.0810854000155814
6000,1,12,0.061906600021757185
6000,2,11,0.07603100000414997
6000,3,11,0.08797980000963435
6000,4,12,0.07642130000749603
6000,5,11,0.08467239997116849
6000,6,13,0.07821729994611815
6000,7,12,0.08009699999820441
6000,8,10,0.08446879999246448
6000,9,11,0.08232240000506863
6000,10,11,0.08157950005261227
7000,1,11,0.08437389996834099
7000,2,13,0.08006559999193996
7000,3,10,0.0969642999698408
7000,4,11,0.0902502000099048
7000,5,11,0.07673909998266026
7000,6,11,0.060222200001589954
7000,7,12,0.0689915000111796
7000,8,12,0.0616806999896653
7000,9,11,0.05993839999428019
7000,10,13,0.06360569997923449
8000,1,12,0.06353439996019006
8000,2,11,0.06893040001159534
8000,3,11,0.06851230002939701
8000,4,13,0.07882880000397563
8000,5,12,0.07264939998276532
8000,6,12,0.07203509996179491
8000,7,13,0.07045860000653192
8000,8,13,0.06965610000770539
8000,9,13,0.09113249997608364
8000,10,11,0.065447699977085
9000,1,12,0.07021790003636852
9000,2,13,0.06684210000094026
9000,3,11,0.06431089999387041
9000,4,12,0.06741860002512112
9000,5,11,0.06691610004054382
9000,6,12,0.06858569994801655
9000,7,12,0.06909970002016053
9000,8,10,0.07029000000329688
9000,9,13,0.06624070001998916
9000,10,13,0.06558739999309182
10000,1,13,0.09274819999700412
10000,2,13,0.07285789999878034
10000,3,12,0.07782570004928857
10000,4,14,0.07848650001687929
10000,5,12,0.10216470004525036
10000,6,11,0.06916090002050623
10000,7,12,0.07571249996544793
10000,8,10,0.10019999998621643
10000,9,12,0.10499839996919036
10000,10,12,0.08582659997045994
11000,1,8,0.0794966000248678
11000,2,11,0.07444830000167713
11000,3,10,0.06966710003325716
11000,4,12,0.07356340001570061
11000,5,12,0.08681750000687316
11000,6,13,0.08729170000879094
11000,7,13,0.09407509997254238
11000,8,11,0.0813699999707751
11000,9,9,0.09395589999621734
11000,10,14,0.08358420000877231
12000,1,12,0.08175940002547577
12000,2,13,0.08831659995485097
12000,3,9,0.0829840999795124
12000,4,11,0.07633670000359416
12000,5,12,0.08140229998389259
12000,6,13,0.06617819995153695
12000,7,11,0.06988009996712208
12000,8,14,0.09027469996362925
12000,9,14,0.0865025999955833
12000,10,12,0.07699989998945966
13000,1,12,0.08906910003861412
13000,2,12,0.07736060000024736
13000,3,14,0.08112139999866486
13000,4,12,0.08869689999846742
13000,5,9,0.07960840000305325
13000,6,14,0.07582470000488684
13000,7,9,0.08767099998658523
13000,8,9,0.06931140000233427
13000,9,6,0.06853629997931421
13000,10,14,0.07328009995399043
14000,1,13,0.08794599998509511
14000,2,14,0.07417099998565391
14000,3,12,0.07686329999705777
14000,4,12,0.08250599994789809
14000,5,10,0.097894600010477
14000,6,14,0.07215909997466952
14000,7,11,0.07460160000482574
14000,8,14,0.07193490001372993
14000,9,14,0.07306730002164841
14000,10,14,0.08273949997965246
15000,1,13,0.07327720004832372
15000,2,8,0.07104720000643283
15000,3,13,0.07817380002234131
15000,4,14,0.08023660001344979
15000,5,11,0.1120181999867782
15000,6,14,0.09223290003137663
15000,7,14,0.0902508000144735
15000,8,13,0.07977839995874092
15000,9,14,0.08047390001593158
15000,10,13,0.08864020003238693
16000,1,14,0.0910823000012897
16000,2,14,0.09013419999973848
16000,3,14,0.08588929998222739
16000,4,14,0.08835580002050847
16000,5,12,0.08332819998031482
16000,6,8,0.07711950002703816
16000,7,14,0.07127839996246621
16000,8,11,0.08857649995479733
16000,9,12,0.07732979999855161
16000,10,13,0.09970749996136874
17000,1,14,0.07649240002501756
17000,2,13,0.08376200002385303
17000,3,14,0.07791150000412017
17000,4,14,0.08145100000547245
17000,5,13,0.07389379997039214
17000,6,14,0.07748739997623488
17000,7,13,0.08668730000499636
17000,8,14,0.0787955000414513
17000,9,12,0.08659210003679618
17000,10,14,0.07843699998920783
18000,1,14,0.07576009997865185
18000,2,12,0.08026399998925626
18000,3,13,0.08212439995259047
18000,4,15,0.0822889999835752
18000,5,13,0.07425459998194128
18000,6,12,0.07564660004572943
18000,7,13,0.07440509996376932
18000,8,14,0.07402649999130517
18000,9,11,0.07513509999262169
18000,10,11,0.08120479999342933
19000,1,13,0.07198679994326085
19000,2,10,0.09518539998680353
19000,3,11,0.10701540001900867
19000,4,14,0.13531049998709932
19000,5,14,0.12418969999998808
19000,6,14,0.15013919997727498
19000,7,13,0.12991680001141503
19000,8,13,0.1426899000070989
19000,9,8,0.15422249998664483
19000,10,11,0.1175113000208512
20000,1,13,0.09415659995283931
20000,2,11,0.08758410002337769
20000,3,14,0.08875009999610484
20000,4,13,0.09395260002929717
20000,5,15,0.09504370001377538
20000,6,13,0.11102229997050017
20000,7,13,0.09045309998327866
20000,8,13,0.0801911999587901
20000,9,13,0.08137149998219684
20000,10,15,0.09359380003297701
21000,1,12,0.0995141000021249
21000,2,13,0.08567359996959567
21000,3,14,0.08053460001247004
21000,4,12,0.0856447999831289
21000,5,14,0.08491599996341392
21000,6,11,0.08345109998481348
21000,7,14,0.08634829998482019
21000,8,13,0.08713619998889044
21000,9,11,0.07895310001913458
21000,10,12,0.08815760002471507
22000,1,15,0.09229420003248379
22000,2,12,0.08570459997281432
22000,3,15,0.0845473000081256
22000,4,12,0.08100579999154434
22000,5,11,0.08342119998997077
22000,6,13,0.08781589998397976
22000,7,12,0.08305959997233003
22000,8,12,0.07962400000542402
22000,9,12,0.07923160004429519
22000,10,14,0.1013840000377968
23000,1,10,0.09656879998510703
23000,2,11,0.0797249999595806
23000,3,13,0.08943480002926663
23000,4,14,0.08065920002991334
23000,5,14,0.08486040000570938
23000,6,13,0.08034480002243072
23000,7,14,0.08232649997808039
23000,8,13,0.08440079999854788
23000,9,11,0.08303340000566095
23000,10,13,0.07968319999054074
24000,1,11,0.08505769999464974
24000,2,9,0.08500200003618374
24000,3,13,0.09097249998012558
24000,4,15,0.17245790001470596
24000,5,10,0.13855099998181686
24000,6,8,0.10672219999833032
24000,7,11,0.09518240002216771
24000,8,12,0.08717319997958839
24000,9,13,0.12017849995754659
24000,10,12,0.11554989998694509
25000,1,14,0.11157760000787675
25000,2,14,0.09868019999703392
25000,3,15,0.11082350002834573
25000,4,13,0.12023709999630228
25000,5,8,0.14138919999822974
25000,6,13,0.1181316000293009
25000,7,15,0.11718320002546534
25000,8,13,0.13149739999789745
25000,9,14,0.10302019998198375
25000,10,15,0.1204520000028424
26000,1,10,0.1139608999947086
26000,2,13,0.11615660000825301
26000,3,13,0.08413599996129051
26000,4,12,0.09803090000059456
26000,5,14,0.0876816000090912
26000,6,13,0.10493309999583289
26000,7,13,0.09686940000392497
26000,8,14,0.09751250001136214
26000,9,15,0.0947862000321038
26000,10,13,0.11899180000182241
27000,1,14,0.12912639998830855
27000,2,10,0.09425500000361353
27000,3,15,0.1476754000177607
27000,4,13,0.14742880000267178
27000,5,14,0.13200260000303388
27000,6,14,0.11386240000138059
27000,7,14,0.11736700002802536
27000,8,15,0.11705100000835955
27000,9,13,0.11780999996699393
27000,10,13,0.10523350001312792
28000,1,15,0.11419930000556633
28000,2,13,0.09858009999152273
28000,3,13,0.09660950000397861
