n,m,comparisons,swaps,execution_time
100,1,4950,100,0.02374259999487549
100,2,4950,100,0.01830250001512468
100,3,4950,100,0.019639599951915443
100,4,4950,100,0.018990200012922287
100,5,4950,100,0.019098500022664666
100,6,4950,100,0.019076300086453557
100,7,4950,100,0.017838099971413612
100,8,4950,100,0.020446799928322434
100,9,4950,100,0.018932899925857782
100,10,4950,100,0.019403600017540157
200,1,19900,200,0.01874079997651279
200,2,19900,200,0.018456900026649237
200,3,19900,200,0.01862400001846254
200,4,19900,200,0.020643900032155216
200,5,19900,200,0.019719399977475405
200,6,19900,200,0.018659100052900612
200,7,19900,200,0.017854099976830184
200,8,19900,200,0.018863500095903873
200,9,19900,200,0.019178399932570755
200,10,19900,200,0.017747399979270995
300,1,44850,300,0.01901459996588528
300,2,44850,300,0.022119399975053966
300,3,44850,300,0.020021799951791763
300,4,44850,300,0.0191941000521183
300,5,44850,300,0.023088300018571317
300,6,44850,300,0.0223589000524953
300,7,44850,300,0.02191310003399849
300,8,44850,300,0.022297199931927025
300,9,44850,300,0.021048099966719747
300,10,44850,300,0.025095000048168004
400,1,79800,400,0.019038300029933453
400,2,79800,400,0.02054820000194013
400,3,79800,400,0.020760799990966916
400,4,79800,400,0.018934700055979192
400,5,79800,400,0.021396500058472157
400,6,79800,400,0.0191597999073565
400,7,79800,400,0.01983859995380044
400,8,79800,400,0.02057349996175617
400,9,79800,400,0.01801909995265305
400,10,79800,400,0.01882540003862232
500,1,124750,500,0.019307399983517826
500,2,124750,500,0.019946199958212674
500,3,124750,500,0.018446700065396726
500,4,124750,500,0.01922410004772246
500,5,124750,500,0.0183617000002414
500,6,124750,500,0.020384900039061904
500,7,124750,500,0.020660399924963713
500,8,124750,500,0.019285099930129945
500,9,124750,500,0.018934499938040972
500,10,124750,500,0.018340099952183664
600,1,179700,600,0.019384499988518655
600,2,179700,600,0.02025800000410527
600,3,179700,600,0.020293900044634938
600,4,179700,600,0.02097909990698099
600,5,179700,600,0.020481400075368583
600,6,179700,600,0.02053919993340969
600,7,179700,600,0.01985499996226281
600,8,179700,600,0.022197300102561712
600,9,179700,600,0.018496899981983006
600,10,179700,600,0.019292799988761544
700,1,244650,700,0.02044170000590384
700,2,244650,700,0.020648099947720766
700,3,244650,700,0.024020699900574982
700,4,244650,700,0.020492600044235587
700,5,244650,700,0.020305599900893867
700,6,244650,700,0.01973939989693463
700,7,244650,700,0.020094199921004474
700,8,244650,700,0.02185970009304583
700,9,244650,700,0.02293939993251115
700,10,244650,700,0.024245299980975688
800,1,319600,800,0.024693600018508732
800,2,319600,800,0.01717660005670041
800,3,319600,800,0.01687560009304434
800,4,319600,800,0.019112300011329353
800,5,319600,800,0.016884999931789935
800,6,319600,800,0.017341600032523274
800,7,319600,800,0.01834820001386106
800,8,319600,800,0.022083700052462518
800,9,319600,800,0.018680600100196898
800,10,319600,800,0.018152300035580993
900,1,404550,900,0.017358999932184815
900,2,404550,900,0.01757350005209446
900,3,404550,900,0.016422599903307855
900,4,404550,900,0.016563300043344498
900,5,404550,900,0.01799850002862513
900,6,404550,900,0.018990100012160838
900,7,404550,900,0.017743999953381717
900,8,404550,900,0.018500300007872283
900,9,404550,900,0.017225399962626398
900,10,404550,900,0.017683699959889054
1000,1,499500,1000,0.019045599969103932
1000,2,499500,1000,0.018267599982209504
1000,3,499500,1000,0.017306900001130998
1000,4,499500,1000,0.018962200032547116
1000,5,499500,1000,0.01981919992249459
1000,6,499500,1000,0.018531300011090934
1000,7,499500,1000,0.017889600014314055
1000,8,499500,1000,0.018535699928179383
1000,9,499500,1000,0.018543099984526634
1000,10,499500,1000,0.01991120004095137
1100,1,604450,1100,0.017685399972833693
1100,2,604450,1100,0.01979559997562319
1100,3,604450,1100,0.019407899933867157
1100,4,604450,1100,0.01836910005658865
1100,5,604450,1100,0.018024499993771315
1100,6,604450,1100,0.018177399993874133
1100,7,604450,1100,0.017418300034478307
1100,8,604450,1100,0.01768119994085282
1100,9,604450,1100,0.016870800056494772
1100,10,604450,1100,0.017163099953904748
1200,1,719400,1200,0.016985700000077486
1200,2,719400,1200,0.018741299980320036
1200,3,719400,1200,0.018258799915201962
1200,4,719400,1200,0.01814220007508993
1200,5,719400,1200,0.01781490002758801
1200,6,719400,1200,0.016698599909432232
1200,7,719400,1200,0.01940770004875958
1200,8,719400,1200,0.019418200012296438
1200,9,719400,1200,0.020258300006389618
1200,10,719400,1200,0.019999500014819205
1300,1,844350,1300,0.0190892000682652
1300,2,844350,1300,0.022942199953831732
1300,3,844350,1300,0.025582300033420324
1300,4,844350,1300,0.023965700063854456
1300,5,844350,1300,0.024278700002469122
1300,6,844350,1300,0.02458430000115186
1300,7,844350,1300,0.022741899942047894
1300,8,844350,1300,0.02331469999626279
1300,9,844350,1300,0.026289999950677156
1300,10,844350,1300,0.023831999977119267
1400,1,979300,1400,0.024487099959515035
1400,2,979300,1400,0.023078399943187833
1400,3,979300,1400,0.02385799994226545
1400,4,979300,1400,0.02297970000654459
1400,5,979300,1400,0.02420800004620105
1400,6,979300,1400,0.026856399956159294
1400,7,979300,1400,0.024583699996583164
1400,8,979300,1400,0.02284820005297661
1400,9,979300,1400,0.02279719989746809
1400,10,979300,1400,0.02560819999780506
1500,1,1124250,1500,0.025666699977591634
1500,2,1124250,1500,0.02510010008700192
1500,3,1124250,1500,0.02453689998947084
1500,4,1124250,1500,0.02597229997627437
1500,5,1124250,1500,0.025681500090286136
1500,6,1124250,1500,0.040104800020344555
1500,7,1124250,1500,0.05227519990876317
1500,8,1124250,1500,0.03266949998214841
1500,9,1124250,1500,0.02294539997819811
1500,10,1124250,1500,0.023366999928839505
1600,1,1279200,1600,0.02434559992980212
1600,2,1279200,1600,0.02546259993687272
1600,3,1279200,1600,0.025098899961449206
1600,4,1279200,1600,0.0258585000410676
1600,5,1279200,1600,0.02939669997431338
1600,6,1279200,1600,0.028407100006006658
1600,7,1279200,1600,0.027542199939489365
1600,8,1279200,1600,0.024250299902632833
1600,9,1279200,1600,0.01959160005208105
1600,10,1279200,1600,0.018445299938321114
1700,1,1444150,1700,0.019363299943506718
1700,2,1444150,1700,0.01906280010007322
1700,3,1444150,1700,0.019475300097838044
1700,4,1444150,1700,0.02040459995623678
1700,5,1444150,1700,0.02386129996739328
1700,6,1444150,1700,0.020171400043182075
1700,7,1444150,1700,0.021864600013941526
1700,8,1444150,1700,0.020921000046655536
1700,9,1444150,1700,0.019904399989172816
1700,10,1444150,1700,0.0199381000129506
1800,1,1619100,1800,0.021438600029796362
1800,2,1619100,1800,0.020849899970926344
1800,3,1619100,1800,0.020531199988909066
1800,4,1619100,1800,0.019454000052064657
1800,5,1619100,1800,0.01946969993878156
1800,6,1619100,1800,0.02147559996228665
1800,7,1619100,1800,0.020158099941909313
1800,8,1619100,1800,0.019814600003883243
1800,9,1619100,1800,0.020756600075401366
1800,10,1619100,1800,0.020488100009970367
1900,1,1804050,1900,0.0204282000195235
1900,2,1804050,1900,0.02085939992684871
1900,3,1804050,1900,0.02128879993688315
1900,4,1804050,1900,0.02152619999833405
1900,5,1804050,1900,0.02144320006482303
1900,6,1804050,1900,0.021141399978660047
1900,7,1804050,1900,0.02171000000089407
1900,8,1804050,1900,0.02151409990619868
1900,9,1804050,1900,0.020318299997597933
1900,10,1804050,1900,0.0210788999684155
2000,1,1999000,2000,0.021652399911545217
2000,2,1999000,2000,0.021635100012645125
2000,3,1999000,2000,0.021735699963755906
2000,4,1999000,2000,0.02213530009612441
2000,5,1999000,2000,0.02137970004696399
2000,6,1999000,2000,0.02163889992516488
2000,7,1999000,2000,0.021034000092186034
2000,8,1999000,2000,0.02149960002861917
2000,9,1999000,2000,0.020611500018276274
2000,10,1999000,2000,0.022064700024202466
2100,1,2203950,2100,0.024125500000081956
2100,2,2203950,2100,0.026782299974001944
2100,3,2203950,2100,0.03344000002834946
2100,4,2203950,2100,0.03155529999639839
2100,5,2203950,2100,0.02837269997689873
2100,6,2203950,2100,0.02947800001129508
2100,7,2203950,2100,0.031223000027239323
2100,8,2203950,2100,0.028715600026771426
2100,9,2203950,2100,0.030884700012393296
2100,10,2203950,2100,0.03063940000720322
2200,1,2418900,2200,0.030240699998103082
2200,2,2418900,2200,0.02918149996548891
2200,3,2418900,2200,0.031213299953378737
2200,4,2418900,2200,0.035162600106559694
2200,5,2418900,2200,0.03050610003992915
2200,6,2418900,2200,0.03215069998987019
2200,7,2418900,2200,0.031308399979025126
2200,8,2418900,2200,0.03054780000820756
2200,9,2418900,2200,0.03089459997136146
2200,10,2418900,2200,0.02988369995728135
2300,1,2643850,2300,0.030374899972230196
2300,2,2643850,2300,0.030053799971938133
2300,3,2643850,2300,0.030696399975568056
2300,4,2643850,2300,0.031320199952460825
2300,5,2643850,2300,0.03305420000106096
2300,6,2643850,2300,0.033311499981209636
2300,7,2643850,2300,0.0314252000534907
2300,8,2643850,2300,0.03209880006033927
2300,9,2643850,2300,0.03176439995877445
2300,10,2643850,2300,0.030911199981346726
2400,1,2878800,2400,0.034604899934493005
2400,2,2878800,2400,0.03334209998138249
2400,3,2878800,2400,0.03146379999816418
2400,4,2878800,2400,0.03170279995538294
2400,5,2878800,2400,0.031643299967981875
2400,6,2878800,2400,0.03222319995984435
2400,7,2878800,2400,0.0329119999660179
2400,8,2878800,2400,0.031068300013430417
2400,9,2878800,2400,0.031388500006869435
2400,10,2878800,2400,0.031440600054338574
2500,1,3123750,2500,0.035197599907405674
2500,2,3123750,2500,0.03643540001939982
2500,3,3123750,2500,0.033600599970668554
2500,4,3123750,2500,0.03360600001178682
2500,5,3123750,2500,0.034190200036391616
2500,6,3123750,2500,0.035129699972458184
2500,7,3123750,2500,0.03384500008542091
2500,8,3123750,2500,0.03245349996723235
2500,9,3123750,2500,0.032849299954250455
2500,10,3123750,2500,0.03210519999265671
2600,1,3378700,2600,0.03311269998084754
2600,2,3378700,2600,0.0340483000036329
2600,3,3378700,2600,0.03389439999591559
2600,4,3378700,2600,0.03241739992517978
2600,5,3378700,2600,0.035242200014181435
2600,6,3378700,2600,0.03384379995986819
2600,7,3378700,2600,0.035422999993897974
2600,8,3378700,2600,0.03310149989556521
2600,9,3378700,2600,0.03494959999807179
2600,10,3378700,2600,0.035431800060905516
2700,1,3643650,2700,0.0360269999364391
2700,2,3643650,2700,0.03621789999306202
2700,3,3643650,2700,0.03466550004668534
2700,4,3643650,2700,0.03614599991124123
2700,5,3643650,2700,0.03491349995601922
2700,6,3643650,2700,0.035077499924227595
2700,7,3643650,2700,0.0360536000225693
2700,8,3643650,2700,0.034763700095936656
2700,9,3643650,2700,0.0355003000004217
2700,10,3643650,2700,0.03575130004901439
2800,1,3918600,2800,0.038768499973230064
2800,2,3918600,2800,0.040774299995973706
2800,3,3918600,2800,0.03948530007619411
2800,4,3918600,2800,0.03736570000182837
2800,5,3918600,2800,0.03785530000459403
2800,6,3918600,2800,0.036563699948601425
2800,7,3918600,2800,0.03591809992212802
2800,8,3918600,2800,0.03468559996690601
2800,9,3918600,2800,0.03482169995550066
2800,10,3918600,2800,0.03680760005954653
2900,1,4203550,2900,0.04193049995228648
2900,2,4203550,2900,0.03828169999178499
2900,3,4203550,2900,0.03770979994442314
2900,4,4203550,2900,0.03669450001325458
2900,5,4203550,2900,0.03877049998845905
2900,6,4203550,2900,0.03796670003794134
2900,7,4203550,2900,0.039662000024691224
2900,8,4203550,2900,0.03734150005038828
2900,9,4203550,2900,0.03670810000039637
2900,10,4203550,2900,0.03752070001792163
3000,1,4498500,3000,0.03828590002376586
3000,2,4498500,3000,0.037811300018802285
3000,3,4498500,3000,0.037560699973255396
3000,4,4498500,3000,0.03928579995408654
3000,5,4498500,3000,0.03927870001643896
3000,6,4498500,3000,0.03728170006070286
3000,7,4498500,3000,0.03713780001271516
3000,8,4498500,3000,0.038031899952329695
3000,9,4498500,3000,0.042438099975697696
3000,10,4498500,3000,0.0418729999801144
3100,1,4803450,3100,0.03921399998944253
3100,2,4803450,3100,0.03903669991996139
3100,3,4803450,3100,0.0398136000148952
3100,4,4803450,3100,0.0402152999304235
3100,5,4803450,3100,0.04088139999657869
3100,6,4803450,3100,0.04041639994829893
3100,7,4803450,3100,0.040378800011239946
3100,8,4803450,3100,0.03901519998908043
3100,9,4803450,3100,0.03872609999962151
3100,10,4803450,3100,0.03966509993188083
3200,1,5118400,3200,0.04197250003926456
3200,2,5118400,3200,0.044099500053562224
3200,3,5118400,3200,0.04244180000387132
3200,4,5118400,3200,0.041212799958884716
3200,5,5118400,3200,0.04134850006084889
3200,6,5118400,3200,0.03994409996084869
3200,7,5118400,3200,0.038897300022654235
3200,8,5118400,3200,0.04049710009712726
3200,9,5118400,3200,0.04041260003577918
3200,10,5118400,3200,0.04107559996191412
3300,1,5443350,3300,0.042775999987497926
3300,2,5443350,3300,0.04149670002516359
3300,3,5443350,3300,0.041207000031135976
3300,4,5443350,3300,0.04546920000575483
3300,5,5443350,3300,0.04627210006583482
3300,6,5443350,3300,0.042438399977982044
3300,7,5443350,3300,0.04247879993636161
3300,8,5443350,3300,0.043472199933603406
3300,9,5443350,3300,0.0452357999747619
3300,10,5443350,3300,0.043733200058341026
3400,1,5778300,3400,0.044127300032414496
3400,2,5778300,3400,0.04179869999643415
3400,3,5778300,3400,0.0432278000516817
3400,4,5778300,3400,0.04602170002181083
3400,5,5778300,3400,0.06715770007576793
3400,6,5778300,3400,0.04339200002141297
3400,7,5778300,3400,0.04212769994046539
3400,8,5778300,3400,0.04236459999810904
3400,9,5778300,3400,0.04198300000280142
3400,10,5778300,3400,0.04401740001048893
3500,1,6123250,3500,0.04562009999062866
3500,2,6123250,3500,0.04527830006554723
3500,3,6123250,3500,0.0443330000853166
3500,4,6123250,3500,0.046514400048181415
3500,5,6123250,3500,0.04350200004409999
3500,6,6123250,3500,0.04308850003872067
3500,7,6123250,3500,0.048751399968750775
3500,8,6123250,3500,0.05010370002128184
3500,9,6123250,3500,0.044469900080002844
3500,10,6123250,3500,0.047499499982222915
3600,1,6478200,3600,0.04775939998216927
3600,2,6478200,3600,0.045056500006467104
3600,3,6478200,3600,0.045881800004281104
3600,4,6478200,3600,0.04594430001452565
3600,5,6478200,3600,0.047127299942076206
3600,6,6478200,3600,0.04668659996241331
3600,7,6478200,3600,0.04575189994648099
3600,8,6478200,3600,0.0456409000325948
3600,9,6478200,3600,0.04719319997821003
3600,10,6478200,3600,0.0454699998954311
3700,1,6843150,3700,0.0475250999443233
3700,2,6843150,3700,0.047466599964536726
3700,3,6843150,3700,0.04871040000580251
3700,4,6843150,3700,0.04749849997460842
3700,5,6843150,3700,0.04692230001091957
3700,6,6843150,3700,0.04797420010436326
3700,7,6843150,3700,0.04992999997921288
3700,8,6843150,3700,0.04692660004366189
3700,9,6843150,3700,0.052533699898049235
