n,m,comparisons,swaps,execution_time
100,1,4950,150,0.021583000081591308
100,2,4950,150,0.020022999960929155
100,3,4950,150,0.021574900019913912
100,4,4950,150,0.020592399989254773
100,5,4950,150,0.01969949994236231
100,6,4950,150,0.02128200000151992
100,7,4950,150,0.019146400038152933
100,8,4950,150,0.01729460002388805
100,9,4950,150,0.01726390002295375
100,10,4950,150,0.019773300038650632
200,1,19900,300,0.017324000014923513
200,2,19900,300,0.019151000073179603
200,3,19900,300,0.01883570000063628
200,4,19900,300,0.020091100013814867
200,5,19900,300,0.017480899929068983
200,6,19900,300,0.01743420003913343
200,7,19900,300,0.019500400056131184
200,8,19900,300,0.01884879998397082
200,9,19900,300,0.017182999989017844
200,10,19900,300,0.01771849999204278
300,1,44850,450,0.020263500045984983
300,2,44850,450,0.02157990005798638
300,3,44850,450,0.020749500021338463
300,4,44850,450,0.01922489993739873
300,5,44850,450,0.020193599979393184
300,6,44850,450,0.01990239997394383
300,7,44850,450,0.019528199918568134
300,8,44850,450,0.024629199993796647
300,9,44850,450,0.021201100083999336
300,10,44850,450,0.021980100078508258
400,1,79800,600,0.02074239996727556
400,2,79800,600,0.018542699981480837
400,3,79800,600,0.019636400043964386
400,4,79800,600,0.019886299967765808
400,5,79800,600,0.0200433999998495
400,6,79800,600,0.019866500049829483
400,7,79800,600,0.019218400004319847
400,8,79800,600,0.020710999961011112
400,9,79800,600,0.01895539998076856
400,10,79800,600,0.019042099942453206
500,1,124750,750,0.018386299954727292
500,2,124750,750,0.01880610000807792
500,3,124750,750,0.018388699973002076
500,4,124750,750,0.018802599981427193
500,5,124750,750,0.01833470002748072
500,6,124750,750,0.018842900055460632
500,7,124750,750,0.02314300008583814
500,8,124750,750,0.02238550002221018
500,9,124750,750,0.020623599993996322
500,10,124750,750,0.02324340003542602
600,1,179700,900,0.026314500020816922
600,2,179700,900,0.031581400078721344
600,3,179700,900,0.020058599999174476
600,4,179700,900,0.01848279999103397
600,5,179700,900,0.018767899950034916
600,6,179700,900,0.022136899991892278
600,7,179700,900,0.01861830009147525
600,8,179700,900,0.016189000103622675
600,9,179700,900,0.017232000012882054
600,10,179700,900,0.016625799937173724
700,1,244650,1050,0.017709100036881864
700,2,244650,1050,0.01664269994944334
700,3,244650,1050,0.016345900017768145
700,4,244650,1050,0.017174100037664175
700,5,244650,1050,0.016947599942795932
700,6,244650,1050,0.01625340001191944
700,7,244650,1050,0.016344100004062057
700,8,244650,1050,0.01726510003209114
700,9,244650,1050,0.017144499928690493
700,10,244650,1050,0.016419599996879697
800,1,319600,1200,0.017539399908855557
800,2,319600,1200,0.01703099999576807
800,3,319600,1200,0.016169399954378605
800,4,319600,1200,0.016473299940116704
800,5,319600,1200,0.01643570000305772
800,6,319600,1200,0.017198799992911518
800,7,319600,1200,0.01660149998497218
800,8,319600,1200,0.016109200078062713
800,9,319600,1200,0.015519500011578202
800,10,319600,1200,0.015114199952222407
900,1,404550,1350,0.015526100061833858
900,2,404550,1350,0.016788600012660027
900,3,404550,1350,0.016003199969418347
900,4,404550,1350,0.01656109991017729
900,5,404550,1350,0.016371299978345633
900,6,404550,1350,0.0154768000356853
900,7,404550,1350,0.01776030007749796
900,8,404550,1350,0.015955000068061054
900,9,404550,1350,0.017102699959650636
900,10,404550,1350,0.016947900061495602
1000,1,499500,1500,0.015491300029680133
1000,2,499500,1500,0.016069800010882318
1000,3,499500,1500,0.017824400099925697
1000,4,499500,1500,0.01787969993893057
1000,5,499500,1500,0.015565100009553134
1000,6,499500,1500,0.01646349998190999
1000,7,499500,1500,0.016402299981564283
1000,8,499500,1500,0.01716879999730736
1000,9,499500,1500,0.015834600082598627
1000,10,499500,1500,0.017296399921178818
