n,m,comparisons,swaps,execution_time
100,1,622,261,0.02089359995443374
100,2,622,261,0.018814100068993866
100,3,622,261,0.018799500074237585
100,4,622,261,0.020333799999207258
100,5,622,261,0.019426300073973835
100,6,622,261,0.020510700065642595
100,7,622,261,0.019367899978533387
100,8,622,261,0.02028619998600334
100,9,622,261,0.018954999977722764
100,10,622,261,0.019010000047273934
200,1,1453,606,0.017284699948504567
200,2,1453,606,0.017178800073452294
200,3,1453,606,0.017544399946928024
200,4,1453,606,0.016660199966281652
200,5,1453,606,0.0180267000105232
200,6,1453,606,0.01722049992531538
200,7,1453,606,0.016855499939993024
200,8,1453,606,0.01760149991605431
200,9,1453,606,0.017799700028263032
200,10,1453,606,0.01658950001001358
300,1,2559,1175,0.01702080003451556
300,2,2559,1175,0.01863539998885244
300,3,2559,1175,0.0171081000007689
300,4,2559,1175,0.01931290002539754
300,5,2559,1175,0.02082700002938509
300,6,2559,1175,0.02067310002166778
300,7,2559,1175,0.01952610001899302
300,8,2559,1175,0.02178980002645403
300,9,2559,1175,0.019670599955134094
300,10,2559,1175,0.018066999968141317
400,1,3416,1482,0.018782000057399273
400,2,3416,1482,0.01976159994956106
400,3,3416,1482,0.021808200050145388
400,4,3416,1482,0.02260800008662045
400,5,3416,1482,0.023608900024555624
400,6,3416,1482,0.021016899961978197
400,7,3416,1482,0.018940399982966483
400,8,3416,1482,0.02020599995739758
400,9,3416,1482,0.02372800000011921
400,10,3416,1482,0.022130899946205318
500,1,4555,1981,0.01926380000077188
500,2,4555,1981,0.01837649999652058
500,3,4555,1981,0.01849009993020445
500,4,4555,1981,0.018466000095941126
500,5,4555,1981,0.019402700010687113
500,6,4555,1981,0.018285099999047816
500,7,4555,1981,0.020125900045968592
500,8,4555,1981,0.023092699935659766
500,9,4555,1981,0.022216300014406443
500,10,4555,1981,0.027256299974396825
600,1,5559,2155,0.016923499992117286
600,2,5559,2155,0.014054499915800989
600,3,5559,2155,0.015013399999588728
600,4,5559,2155,0.014563800068572164
600,5,5559,2155,0.01517010002862662
600,6,5559,2155,0.016339699970558286
600,7,5559,2155,0.01733149995561689
600,8,5559,2155,0.01651240000501275
600,9,5559,2155,0.018231600057333708
600,10,5559,2155,0.017459900001995265
700,1,6648,2761,0.016923600109294057
700,2,6648,2761,0.01494670007377863
700,3,6648,2761,0.017699599964544177
700,4,6648,2761,0.018347100005485117
700,5,6648,2761,0.01632399996742606
700,6,6648,2761,0.015670299995690584
700,7,6648,2761,0.015148699982091784
700,8,6648,2761,0.014723200001753867
700,9,6648,2761,0.014968100003898144
700,10,6648,2761,0.016286200028844178
800,1,7784,3387,0.015222000074572861
800,2,7784,3387,0.014878699905239046
800,3,7784,3387,0.01548870000988245
800,4,7784,3387,0.01505780010484159
800,5,7784,3387,0.013896299991756678
800,6,7784,3387,0.014954100013710558
800,7,7784,3387,0.015022800071164966
800,8,7784,3387,0.015193900093436241
800,9,7784,3387,0.014942700043320656
800,10,7784,3387,0.015819499967619777
900,1,8876,3850,0.01601129991468042
900,2,8876,3850,0.015655199997127056
900,3,8876,3850,0.017013200093060732
900,4,8876,3850,0.01534510008059442
900,5,8876,3850,0.0173302999464795
900,6,8876,3850,0.016513300011865795
900,7,8876,3850,0.018088500015437603
900,8,8876,3850,0.015894199954345822
900,9,8876,3850,0.01660900004208088
900,10,8876,3850,0.01694500003941357
1000,1,10457,4526,0.015500500099733472
1000,2,10457,4526,0.01582670002244413
1000,3,10457,4526,0.017598200007341802
1000,4,10457,4526,0.016850000014528632
1000,5,10457,4526,0.01789639994967729
1000,6,10457,4526,0.015338300028815866
1000,7,10457,4526,0.01506510004401207
1000,8,10457,4526,0.018195200012996793
1000,9,10457,4526,0.015686599886976182
1000,10,10457,4526,0.017052499926649034
1100,1,11409,4536,0.01606940000783652
1100,2,11409,4536,0.01668300002347678
1100,3,11409,4536,0.017746099969372153
1100,4,11409,4536,0.017995000001974404
1100,5,11409,4536,0.017920599901117384
1100,6,11409,4536,0.01722799998242408
1100,7,11409,4536,0.015987800084985793
1100,8,11409,4536,0.015936499927192926
1100,9,11409,4536,0.016296499990858138
1100,10,11409,4536,0.014964399975724518
1200,1,12785,5781,0.0158975999802351
1200,2,12785,5781,0.016357900109142065
1200,3,12785,5781,0.017916399985551834
1200,4,12785,5781,0.016183099942281842
1200,5,12785,5781,0.01651420001871884
1200,6,12785,5781,0.02028030005749315
1200,7,12785,5781,0.017689500004053116
1200,8,12785,5781,0.01880040008109063
1200,9,12785,5781,0.018848700099624693
