n,m,comparisons,swaps,execution_time
100,1,1963,1244,0.018768099951557815
100,2,1963,1244,0.01672010007314384
100,3,1963,1244,0.014495199895463884
100,4,1963,1244,0.017136200098320842
100,5,1963,1244,0.015469999983906746
100,6,1963,1244,0.01422459993045777
100,7,1963,1244,0.016907500103116035
100,8,1963,1244,0.016104300040751696
100,9,1963,1244,0.018901299918070436
100,10,1963,1244,0.019693800015375018
200,1,4673,2815,0.018895599991083145
200,2,4673,2815,0.023553299950435758
200,3,4673,2815,0.022900399984791875
200,4,4673,2815,0.015357299940660596
200,5,4673,2815,0.018075300031341612
200,6,4673,2815,0.019184299977496266
200,7,4673,2815,0.01928729994688183
200,8,4673,2815,0.01921370008494705
200,9,4673,2815,0.01745629997458309
200,10,4673,2815,0.017684200080111623
300,1,8018,4704,0.015977000002749264
300,2,8018,4704,0.01979709998704493
300,3,8018,4704,0.016397400060668588
300,4,8018,4704,0.01616310002282262
300,5,8018,4704,0.016016899957321584
300,6,8018,4704,0.015694899950176477
300,7,8018,4704,0.01755250000860542
300,8,8018,4704,0.014835700043477118
300,9,8018,4704,0.016331100021488965
300,10,8018,4704,0.017337099998258054
400,1,11465,6380,0.01565009995829314
400,2,11465,6380,0.014471299946308136
400,3,11465,6380,0.018076200038194656
400,4,11465,6380,0.016572499996982515
400,5,11465,6380,0.017204499919898808
400,6,11465,6380,0.01479669997934252
400,7,11465,6380,0.015252599958330393
400,8,11465,6380,0.016654100036248565
400,9,11465,6380,0.015078200027346611
400,10,11465,6380,0.017965700011700392
500,1,14361,8021,0.016298000002279878
500,2,14361,8021,0.016910300008021295
500,3,14361,8021,0.019233700004406273
500,4,14361,8021,0.017323900014162064
500,5,14361,8021,0.023451699991710484
500,6,14361,8021,0.01633739995304495
500,7,14361,8021,0.016337999957613647
500,8,14361,8021,0.016157399979420006
500,9,14361,8021,0.01669070008210838
500,10,14361,8021,0.015876299934461713
600,1,18428,10417,0.01632399996742606
600,2,18428,10417,0.01780299993697554
600,3,18428,10417,0.01710080006159842
600,4,18428,10417,0.0169525999808684
600,5,18428,10417,0.018361000111326575
600,6,18428,10417,0.01814240007661283
600,7,18428,10417,0.019116300041787326
600,8,18428,10417,0.01637910003773868
600,9,18428,10417,0.017974200076423585
600,10,18428,10417,0.01601929997559637
700,1,21747,12414,0.016134100034832954
700,2,21747,12414,0.017719199997372925
700,3,21747,12414,0.018446799949742854
700,4,21747,12414,0.02060040005017072
700,5,21747,12414,0.018561200005933642
700,6,21747,12414,0.016809800057671964
700,7,21747,12414,0.019845200004056096
700,8,21747,12414,0.01688729994930327
700,9,21747,12414,0.016894200001843274
700,10,21747,12414,0.019320799969136715
800,1,26616,15554,0.017709000036120415
800,2,26616,15554,0.018169799936003983
800,3,26616,15554,0.01842059998307377
800,4,26616,15554,0.022100700065493584
800,5,26616,15554,0.020528599969111383
800,6,26616,15554,0.01707559998612851
800,7,26616,15554,0.016576600028201938
800,8,26616,15554,0.016717099933885038
800,9,26616,15554,0.01635709998663515
800,10,26616,15554,0.017059599980711937
900,1,30728,17111,0.016386200091801584
900,2,30728,17111,0.018551799934357405
900,3,30728,17111,0.01813009998295456
900,4,30728,17111,0.01808010006789118
900,5,30728,17111,0.020101599977351725
900,6,30728,17111,0.01627839996945113
900,7,30728,17111,0.016791500034742057
900,8,30728,17111,0.01690819999203086
900,9,30728,17111,0.01863279996905476
900,10,30728,17111,0.016760800033807755
1000,1,34600,19311,0.016958200023509562
1000,2,34600,19311,0.016932800062932074
1000,3,34600,19311,0.016316600027494133
1000,4,34600,19311,0.018167000031098723
1000,5,34600,19311,0.016473300056532025
1000,6,34600,19311,0.017508500022813678
