n,m,comparisons,swaps,execution_time
100,1,2822,2100,0.02309080003760755
100,2,2822,2100,0.018926399992778897
100,3,2822,2100,0.019648800021968782
100,4,2822,2100,0.0203932001022622
100,5,2822,2100,0.021093099960125983
100,6,2822,2100,0.019937600009143353
100,7,2822,2100,0.022979000001214445
100,8,2822,2100,0.020480599952861667
100,9,2822,2100,0.019433200010098517
100,10,2822,2100,0.018646600074134767
200,1,6769,4929,0.02081830007955432
200,2,6769,4929,0.0198561999714002
200,3,6769,4929,0.019977200077846646
200,4,6769,4929,0.01995430001989007
200,5,6769,4929,0.020939999958500266
200,6,6769,4929,0.02101209992542863
200,7,6769,4929,0.01863880001474172
200,8,6769,4929,0.018301600008271635
200,9,6769,4929,0.017752100015059114
200,10,6769,4929,0.018364699906669557
300,1,11592,8227,0.01929520000703633
300,2,11592,8227,0.018931200029328465
300,3,11592,8227,0.01874830003362149
300,4,11592,8227,0.02198249998036772
300,5,11592,8227,0.02296490001026541
300,6,11592,8227,0.01991699996870011
300,7,11592,8227,0.02193950000219047
300,8,11592,8227,0.021761300042271614
300,9,11592,8227,0.023144599981606007
300,10,11592,8227,0.024573299917392433
400,1,16670,11531,0.020937800058163702
400,2,16670,11531,0.020064600044861436
400,3,16670,11531,0.022651499952189624
400,4,16670,11531,0.020697699976153672
400,5,16670,11531,0.02103119995445013
400,6,16670,11531,0.019876400008797646
400,7,16670,11531,0.02319480001460761
400,8,16670,11531,0.020266399951651692
400,9,16670,11531,0.020833399961702526
400,10,16670,11531,0.02136609994340688
500,1,21167,14697,0.019977599964477122
500,2,21167,14697,0.02029080002103001
500,3,21167,14697,0.019996099988929927
500,4,21167,14697,0.020663499948568642
500,5,21167,14697,0.02267549990210682
500,6,21167,14697,0.02024450001772493
500,7,21167,14697,0.02025810000486672
500,8,21167,14697,0.020594800007529557
500,9,21167,14697,0.019258900079876184
500,10,21167,14697,0.020127100055105984
600,1,27070,18985,0.025999699952080846
600,2,27070,18985,0.022460300009697676
600,3,27070,18985,0.0236627000849694
600,4,27070,18985,0.02574730000924319
600,5,27070,18985,0.02008500008378178
600,6,27070,18985,0.023394300020299852
600,7,27070,18985,0.022463800036348403
600,8,27070,18985,0.022776200086809695
600,9,27070,18985,0.020954800071194768
600,10,27070,18985,0.022176500060595572
700,1,32484,22888,0.023366699926555157
700,2,32484,22888,0.021667800028808415
700,3,32484,22888,0.02211109991185367
700,4,32484,22888,0.023411099915392697
700,5,32484,22888,0.02250389999244362
700,6,32484,22888,0.021205199998803437
700,7,32484,22888,0.024056299938820302
700,8,32484,22888,0.021879500010982156
700,9,32484,22888,0.02363619999960065
700,10,32484,22888,0.023213299922645092
800,1,38570,27431,0.021011400036513805
800,2,38570,27431,0.02022970002144575
800,3,38570,27431,0.016739599988795817
800,4,38570,27431,0.016384299960918725
