n,m,comparisons,swaps,execution_time
100,1,2518,1852,0.025838200002908707
100,2,2518,1852,0.019692300003953278
100,3,2518,1852,0.01901530008763075
100,4,2518,1852,0.018936000065878034
100,5,2518,1852,0.019360500038601458
100,6,2518,1852,0.019602099899202585
100,7,2518,1852,0.01898649998474866
100,8,2518,1852,0.018557999981567264
100,9,2518,1852,0.018218899960629642
100,10,2518,1852,0.019098499906249344
200,1,5964,4256,0.021019200095906854
200,2,5964,4256,0.018470500013791025
200,3,5964,4256,0.01856160000897944
200,4,5964,4256,0.018978599924594164
200,5,5964,4256,0.021476899972185493
200,6,5964,4256,0.02076650003436953
200,7,5964,4256,0.01873340003658086
200,8,5964,4256,0.019091299967840314
200,9,5964,4256,0.01921649998985231
200,10,5964,4256,0.018293200060725212
300,1,10262,7200,0.018603999982587993
300,2,10262,7200,0.019565400085411966
300,3,10262,7200,0.020043800002895296
300,4,10262,7200,0.020469200098887086
300,5,10262,7200,0.023326899972744286
300,6,10262,7200,0.021612999960780144
300,7,10262,7200,0.020139000029303133
300,8,10262,7200,0.022395600099116564
300,9,10262,7200,0.025929900002665818
300,10,10262,7200,0.03046030004043132
400,1,14864,10071,0.022080900031141937
400,2,14864,10071,0.020959399989806116
400,3,14864,10071,0.02524959994480014
400,4,14864,10071,0.021737199975177646
400,5,14864,10071,0.019813899998553097
400,6,14864,10071,0.01703380001708865
400,7,14864,10071,0.01708170003257692
400,8,14864,10071,0.015836099977605045
400,9,14864,10071,0.01650660007726401
400,10,14864,10071,0.01587679993826896
500,1,18993,13077,0.015431700041517615
500,2,18993,13077,0.01612429996021092
500,3,18993,13077,0.015944499988108873
500,4,18993,13077,0.016797799966298044
500,5,18993,13077,0.015264900051988661
500,6,18993,13077,0.017213699989952147
500,7,18993,13077,0.016199299949221313
500,8,18993,13077,0.022802599938586354
500,9,18993,13077,0.019557900028303266
500,10,18993,13077,0.01661769999191165
600,1,24761,17225,0.016812599962577224
600,2,24761,17225,0.017172300023958087
600,3,24761,17225,0.01635229995008558
600,4,24761,17225,0.017589199938811362
600,5,24761,17225,0.01859989995136857
600,6,24761,17225,0.018044100026600063
600,7,24761,17225,0.01684579998254776
600,8,24761,17225,0.01825049996841699
600,9,24761,17225,0.018397399922832847
600,10,24761,17225,0.018644000054337084
700,1,29856,20805,0.01825470000039786
700,2,29856,20805,0.018932400038465858
700,3,29856,20805,0.017370000015944242
