n,m,comparisons,swaps,execution_time
100,1,4950,5049,0.02089359995443374
100,2,4950,5049,0.01837619999423623
100,3,4950,5049,0.018605599994771183
100,4,4950,5049,0.01815590006299317
100,5,4950,5049,0.020163699984550476
100,6,4950,5049,0.018813899951055646
100,7,4950,5049,0.017994699999690056
100,8,4950,5049,0.01818090002052486
100,9,4950,5049,0.018412600038573146
100,10,4950,5049,0.01732889993581921
200,1,19900,20099,0.01702070003375411
200,2,19900,20099,0.01727850001771003
200,3,19900,20099,0.01725449995137751
200,4,19900,20099,0.018145899986848235
200,5,19900,20099,0.01852310006506741
200,6,19900,20099,0.021699699922464788
200,7,19900,20099,0.017878999933600426
200,8,19900,20099,0.01963140000589192
200,9,19900,20099,0.019459899980574846
200,10,19900,20099,0.019418799900449812
300,1,44850,45149,0.018019699957221746
300,2,44850,45149,0.0185094999615103
300,3,44850,45149,0.021193299908190966
300,4,44850,45149,0.02173179993405938
300,5,44850,45149,0.02173949999269098
300,6,44850,45149,0.020867199986241758
300,7,44850,45149,0.018813100061379373
300,8,44850,45149,0.021246399963274598
300,9,44850,45149,0.023383199935778975
300,10,44850,45149,0.023215599940158427
400,1,79800,80199,0.020129599957726896
400,2,79800,80199,0.020947600016370416
400,3,79800,80199,0.019797899993136525
400,4,79800,80199,0.023636600002646446
400,5,79800,80199,0.01968640007544309
400,6,79800,80199,0.020932700019329786
400,7,79800,80199,0.02106369996909052
400,8,79800,80199,0.024147800053469837
400,9,79800,80199,0.019662800012156367
400,10,79800,80199,0.019375800038687885
500,1,124750,125249,0.02153499994892627
500,2,124750,125249,0.020434699952602386
500,3,124750,125249,0.022369000012986362
500,4,124750,125249,0.025093600037507713
500,5,124750,125249,0.023517900030128658
500,6,124750,125249,0.02437530003953725
500,7,124750,125249,0.021445299964398146
500,8,124750,125249,0.020456800004467368
500,9,124750,125249,0.020959099987521768
500,10,124750,125249,0.02207309997174889
600,1,179700,180299,0.022916499990969896
600,2,179700,180299,0.025794400018639863
600,3,179700,180299,0.022731399978511035
600,4,179700,180299,0.024994099978357553
600,5,179700,180299,0.023191099986433983
600,6,179700,180299,0.022826700005680323
600,7,179700,180299,0.0240139999659732
600,8,179700,180299,0.023183800047263503
600,9,179700,180299,0.025263499934226274
600,10,179700,180299,0.047545399982482195
700,1,244650,245349,0.022539400029927492
700,2,244650,245349,0.022652000072412193
700,3,244650,245349,0.01789469993673265
700,4,244650,245349,0.019279300002381206
700,5,244650,245349,0.020088499994017184
700,6,244650,245349,0.019388800021260977
700,7,244650,245349,0.018571299966424704
700,8,244650,245349,0.018801199970766902
700,9,244650,245349,0.01898079994134605
700,10,244650,245349,0.020212799892760813
800,1,319600,320399,0.020199200022034347
800,2,319600,320399,0.020346299977973104
800,3,319600,320399,0.020603499957360327
800,4,319600,320399,0.01968299993313849
800,5,319600,320399,0.020805699983611703
800,6,319600,320399,0.02053970005363226
800,7,319600,320399,0.02005199994891882
800,8,319600,320399,0.021405300009064376
800,9,319600,320399,0.02097069995943457
800,10,319600,320399,0.020675600040704012
900,1,404550,405449,0.021672000060789287
900,2,404550,405449,0.021824399940669537
900,3,404550,405449,0.0215378999710083
900,4,404550,405449,0.021236800006590784
900,5,404550,405449,0.0220285999821499
900,6,404550,405449,0.023957900004461408
900,7,404550,405449,0.021555399987846613
900,8,404550,405449,0.020811100024729967
900,9,404550,405449,0.022379999980330467
900,10,404550,405449,0.02123129996471107
1000,1,499500,500499,0.022638700087554753
1000,2,499500,500499,0.022845500032417476
1000,3,499500,500499,0.022447300027124584
1000,4,499500,500499,0.02339470002334565
1000,5,499500,500499,0.022220600047148764
1000,6,499500,500499,0.024503299966454506
1000,7,499500,500499,0.02316179999615997
1000,8,499500,500499,0.02395169995725155
1000,9,499500,500499,0.023402400081977248
1000,10,499500,500499,0.024074999964796007
1100,1,604450,605549,0.025780300027690828
1100,2,604450,605549,0.024930300074629486
1100,3,604450,605549,0.025156000046990812
1100,4,604450,605549,0.024058900075033307
1100,5,604450,605549,0.02649419999215752
1100,6,604450,605549,0.025826800032518804
1100,7,604450,605549,0.027029799995943904
1100,8,604450,605549,0.02637410000897944
1100,9,604450,605549,0.026420700014568865
1100,10,604450,605549,0.025063800043426454
1200,1,719400,720599,0.026381200063042343
1200,2,719400,720599,0.028252099989913404
1200,3,719400,720599,0.025851499987766147
1200,4,719400,720599,0.026546500041149557
1200,5,719400,720599,0.027360399952158332
1200,6,719400,720599,0.028745199902914464
1200,7,719400,720599,0.02775210002437234
1200,8,719400,720599,0.02684039995074272
1200,9,719400,720599,0.02808690001256764
1200,10,719400,720599,0.027041699970141053
1300,1,844350,845649,0.028490199940279126
1300,2,844350,845649,0.0310749999480322
1300,3,844350,845649,0.029732000082731247
1300,4,844350,845649,0.02923629991710186
1300,5,844350,845649,0.029129999922588468
1300,6,844350,845649,0.02777580008842051
1300,7,844350,845649,0.02912829990964383
1300,8,844350,845649,0.028333800029940903
1300,9,844350,845649,0.02928730007261038
1300,10,844350,845649,0.029893200029619038
1400,1,979300,980699,0.031067500007338822
1400,2,979300,980699,0.03157860005740076
1400,3,979300,980699,0.032461200025863945
1400,4,979300,980699,0.031835899921134114
1400,5,979300,980699,0.030861700070090592
1400,6,979300,980699,0.03195480001159012
1400,7,979300,980699,0.032386300037615
1400,8,979300,980699,0.035018400056287646
1400,9,979300,980699,0.043540399987250566
1400,10,979300,980699,0.03912069997750223
1500,1,1124250,1125749,0.04601729998830706
1500,2,1124250,1125749,0.04454479995183647
1500,3,1124250,1125749,0.040756799979135394
1500,4,1124250,1125749,0.040842800051905215
1500,5,1124250,1125749,0.04055469995364547
1500,6,1124250,1125749,0.04008760000579059
1500,7,1124250,1125749,0.04078739997930825
1500,8,1124250,1125749,0.040481099975295365
1500,9,1124250,1125749,0.042274000006727874
1500,10,1124250,1125749,0.04486759996507317
1600,1,1279200,1280799,0.04481410002335906
1600,2,1279200,1280799,0.04420370003208518
1600,3,1279200,1280799,0.04398089996539056
1600,4,1279200,1280799,0.044718299992382526
1600,5,1279200,1280799,0.04590270004700869
1600,6,1279200,1280799,0.04382030002307147
1600,7,1279200,1280799,0.04445529996883124
1600,8,1279200,1280799,0.045764500042423606
1600,9,1279200,1280799,0.045237199985422194
1600,10,1279200,1280799,0.0500635999487713
1700,1,1444150,1445849,0.05422539997380227
1700,2,1444150,1445849,0.04998230002820492
1700,3,1444150,1445849,0.048124499968253076
1700,4,1444150,1445849,0.055139799951575696
1700,5,1444150,1445849,0.05269889999181032
1700,6,1444150,1445849,0.048099500010721385
1700,7,1444150,1445849,0.04824659996666014
1700,8,1444150,1445849,0.05109329998958856
1700,9,1444150,1445849,0.048456499935127795
1700,10,1444150,1445849,0.04872740001883358
1800,1,1619100,1620899,0.05346029996871948
1800,2,1619100,1620899,0.05292249994818121
1800,3,1619100,1620899,0.05184400000143796
1800,4,1619100,1620899,0.051751499995589256
1800,5,1619100,1620899,0.05205889989156276
1800,6,1619100,1620899,0.05050680006388575
1800,7,1619100,1620899,0.050550100044347346
1800,8,1619100,1620899,0.05020069994498044
1800,9,1619100,1620899,0.055439300020225346
1800,10,1619100,1620899,0.053185699973255396
1900,1,1804050,1805949,0.05643610004335642
1900,2,1804050,1805949,0.05522530002053827
1900,3,1804050,1805949,0.05781080003362149
1900,4,1804050,1805949,0.060486899921670556
1900,5,1804050,1805949,0.06052039994392544
1900,6,1804050,1805949,0.05558059993200004
1900,7,1804050,1805949,0.05388160003349185
1900,8,1804050,1805949,0.058206699904985726
1900,9,1804050,1805949,0.059450100059621036
1900,10,1804050,1805949,0.057487200014293194
2000,1,1999000,2000999,0.05913940002210438
2000,2,1999000,2000999,0.06021259992849082
2000,3,1999000,2000999,0.05991339997854084
2000,4,1999000,2000999,0.05452110001351684
2000,5,1999000,2000999,0.05692919995635748
2000,6,1999000,2000999,0.0632636999944225
2000,7,1999000,2000999,0.06000340008176863
2000,8,1999000,2000999,0.05729370005428791
2000,9,1999000,2000999,0.05978849995881319
2000,10,1999000,2000999,0.06008799991104752
2100,1,2203950,2206049,0.06464429991319776
2100,2,2203950,2206049,0.07090739998966455
2100,3,2203950,2206049,0.06479319999925792
2100,4,2203950,2206049,0.06227290001697838
2100,5,2203950,2206049,0.06228399998508394
2100,6,2203950,2206049,0.06183510005939752
2100,7,2203950,2206049,0.06135490001179278
2100,8,2203950,2206049,0.06457559997215867
2100,9,2203950,2206049,0.06463100004475564
2100,10,2203950,2206049,0.06263509998098016
2200,1,2418900,2421099,0.0708233000477776
2200,2,2418900,2421099,0.07313289993908256
2200,3,2418900,2421099,0.06896910001523793
2200,4,2418900,2421099,0.06701770005747676
2200,5,2418900,2421099,0.06570379994809628
2200,6,2418900,2421099,0.06938560004346073
2200,7,2418900,2421099,0.06878740002866834
2200,8,2418900,2421099,0.0767085999250412
2200,9,2418900,2421099,0.069931999896653
2200,10,2418900,2421099,0.06659409997519106
2300,1,2643850,2646149,0.07061900000553578
2300,2,2643850,2646149,0.07334550004452467
2300,3,2643850,2646149,0.07346699992194772
2300,4,2643850,2646149,0.0708584999665618
2300,5,2643850,2646149,0.07113409996964037
2300,6,2643850,2646149,0.07380629994440824
2300,7,2643850,2646149,0.06861029996071011
2300,8,2643850,2646149,0.07066510000731796
2300,9,2643850,2646149,0.06966000003740191
2300,10,2643850,2646149,0.07039110001642257
2400,1,2878800,2881199,0.07829680002760142
2400,2,2878800,2881199,0.08152579993475229
2400,3,2878800,2881199,0.07777289999648929
2400,4,2878800,2881199,0.0755053999600932
2400,5,2878800,2881199,0.0760507999220863
2400,6,2878800,2881199,0.07502019999083132
2400,7,2878800,2881199,0.07601269998122007
2400,8,2878800,2881199,0.07699860003776848
