n,m,comparisons,swaps,execution_time
100,1,4950,2549,0.022559599950909615
100,2,4950,2549,0.0181240999372676
100,3,4950,2549,0.018759800004772842
100,4,4950,2549,0.020730299991555512
100,5,4950,2549,0.019994799979031086
100,6,4950,2549,0.020033500040881336
100,7,4950,2549,0.018954700091853738
100,8,4950,2549,0.018706500064581633
100,9,4950,2549,0.01842520001810044
100,10,4950,2549,0.01977640006225556
200,1,19900,10099,0.018746200017631054
200,2,19900,10099,0.01773469999898225
200,3,19900,10099,0.018240400007925928
200,4,19900,10099,0.018111299956217408
200,5,19900,10099,0.0184001000598073
200,6,19900,10099,0.02250519988592714
200,7,19900,10099,0.021826000069268048
200,8,19900,10099,0.019489899976179004
200,9,19900,10099,0.01783839997369796
200,10,19900,10099,0.022473399993032217
300,1,44850,22649,0.019544899929314852
300,2,44850,22649,0.021614499972201884
300,3,44850,22649,0.02157370001077652
300,4,44850,22649,0.023131199995987117
300,5,44850,22649,0.02097499999217689
300,6,44850,22649,0.021661299979314208
300,7,44850,22649,0.02505219995509833
300,8,44850,22649,0.023514200001955032
300,9,44850,22649,0.025329200085252523
300,10,44850,22649,0.021871200064197183
400,1,79800,40199,0.022739400039426982
400,2,79800,40199,0.019416800001636147
400,3,79800,40199,0.021963699953630567
400,4,79800,40199,0.019710500026121736
400,5,79800,40199,0.019854499958455563
400,6,79800,40199,0.01950090005993843
400,7,79800,40199,0.022087100078351796
400,8,79800,40199,0.02057960000820458
400,9,79800,40199,0.022452000062912703
400,10,79800,40199,0.018197900033555925
500,1,124750,62749,0.021349199931137264
500,2,124750,62749,0.020730099990032613
500,3,124750,62749,0.020725400070659816
500,4,124750,62749,0.01977340003941208
500,5,124750,62749,0.02466870006173849
500,6,124750,62749,0.022102500079199672
500,7,124750,62749,0.02107470005284995
500,8,124750,62749,0.02037530008237809
500,9,124750,62749,0.020858600037172437
500,10,124750,62749,0.022217800025828183
600,1,179700,90299,0.022435600054450333
600,2,179700,90299,0.024589400039985776
600,3,179700,90299,0.025656299898400903
600,4,179700,90299,0.022260400000959635
600,5,179700,90299,0.023037799983285367
600,6,179700,90299,0.027318299980834126
600,7,179700,90299,0.025860400055535138
600,8,179700,90299,0.021840599947609007
600,9,179700,90299,0.015121900010854006
600,10,179700,90299,0.017988600069656968
700,1,244650,122849,0.017914399970322847
700,2,244650,122849,0.01781909994315356
700,3,244650,122849,0.01685329992324114
700,4,244650,122849,0.017127100029028952
