n,m,comparisons,swaps,execution_time
100,1,785,509,0.022107800003141165
100,2,785,509,0.020039599970914423
100,3,785,509,0.01907910010777414
100,4,785,509,0.019733099965378642
100,5,785,509,0.017918900004588068
100,6,785,509,0.018544099992141128
100,7,785,509,0.018650899990461767
100,8,785,509,0.017917399993166327
100,9,785,509,0.017218100023455918
100,10,785,509,0.01749200001358986
200,1,1629,825,0.01681030006147921
200,2,1629,825,0.017990300082601607
200,3,1629,825,0.016770699992775917
200,4,1629,825,0.020921400049701333
200,5,1629,825,0.02074280008673668
200,6,1629,825,0.017690000007860363
200,7,1629,825,0.01890250004362315
200,8,1629,825,0.02222709998022765
200,9,1629,825,0.017804300063289702
200,10,1629,825,0.018554499954916537
300,1,2737,1489,0.016855900059454143
300,2,2737,1489,0.01832140004262328
300,3,2737,1489,0.01742069993633777
300,4,2737,1489,0.018884000019170344
300,5,2737,1489,0.01837499998509884
300,6,2737,1489,0.02153510006610304
300,7,2737,1489,0.02093370002694428
300,8,2737,1489,0.02287310000974685
300,9,2737,1489,0.019640799961052835
300,10,2737,1489,0.024832300026901066
400,1,3602,1928,0.0212772999657318
400,2,3602,1928,0.02095709997229278
400,3,3602,1928,0.020000900025479496
400,4,3602,1928,0.02054820000194013
400,5,3602,1928,0.02134710003156215
400,6,3602,1928,0.021736300084739923
400,7,3602,1928,0.018609900027513504
400,8,3602,1928,0.01965949998702854
400,9,3602,1928,0.01936010003555566
400,10,3602,1928,0.018589199986308813
500,1,4353,2454,0.018939799978397787
500,2,4353,2454,0.020627300022169948
500,3,4353,2454,0.0218610999872908
500,4,4353,2454,0.019730400061234832
500,5,4353,2454,0.023481400101445615
500,6,4353,2454,0.022073499974794686
500,7,4353,2454,0.02019409998320043
500,8,4353,2454,0.015477100037969649
500,9,4353,2454,0.014018399990163743
500,10,4353,2454,0.0149865000275895
600,1,6128,3469,0.015274900011718273
600,2,6128,3469,0.017255599959753454
600,3,6128,3469,0.018657000036910176
600,4,6128,3469,0.014866900048218668
