n,m,comparisons,swaps,execution_time
100,1,1941,805,0.018470900016836822
100,2,1941,805,0.02164920000359416
100,3,1941,805,0.020260200020857155
100,4,1941,805,0.02090679993852973
100,5,1941,805,0.01952620001975447
100,6,1941,805,0.01887000002898276
100,7,1941,805,0.01993499998934567
100,8,1941,805,0.0204092999920249
100,9,1941,805,0.018229200039058924
100,10,1941,805,0.01836009998805821
200,1,4777,1893,0.017733599990606308
200,2,4777,1893,0.020756300073117018
200,3,4777,1893,0.01970240008085966
200,4,4777,1893,0.023798599955625832
200,5,4777,1893,0.02367160003632307
200,6,4777,1893,0.020560899982228875
200,7,4777,1893,0.022530999965965748
200,8,4777,1893,0.019371200003661215
200,9,4777,1893,0.020375899970531464
200,10,4777,1893,0.017861700034700334
300,1,7774,3033,0.01867140003014356
300,2,7774,3033,0.019228699966333807
300,3,7774,3033,0.019612199976108968
300,4,7774,3033,0.019610699964687228
300,5,7774,3033,0.02258260000962764
300,6,7774,3033,0.020482800086028874
300,7,7774,3033,0.022579999989829957
300,8,7774,3033,0.022402599919587374
300,9,7774,3033,0.01717930007725954
300,10,7774,3033,0.017780199996195734
400,1,11411,4357,0.014870000071823597
400,2,11411,4357,0.018035099958069623
400,3,11411,4357,0.01719969999976456
400,4,11411,4357,0.015720400027930737
400,5,11411,4357,0.01645879994612187
400,6,11411,4357,0.014455600059591234
400,7,11411,4357,0.015583599917590618
400,8,11411,4357,0.014718800084665418
400,9,11411,4357,0.015681599965319037
400,10,11411,4357,0.017428999999538064
500,1,15087,5599,0.0171318999491632
500,2,15087,5599,0.01788910001050681
500,3,15087,5599,0.01603709999471903
500,4,15087,5599,0.015177899971604347
500,5,15087,5599,0.016200900077819824
500,6,15087,5599,0.017960499972105026
500,7,15087,5599,0.016157599980942905
500,8,15087,5599,0.018383000046014786
500,9,15087,5599,0.01678329997230321
500,10,15087,5599,0.018159200088120997
600,1,18382,6896,0.016221500001847744
600,2,18382,6896,0.0157731999643147
600,3,18382,6896,0.015714599983766675
600,4,18382,6896,0.016298100003041327
600,5,18382,6896,0.016026599914766848
600,6,18382,6896,0.015931000001728535
600,7,18382,6896,0.01655120006762445
600,8,18382,6896,0.015489200013689697
600,9,18382,6896,0.015587999951094389
600,10,18382,6896,0.01589769998099655
700,1,22254,8268,0.01647989999037236
700,2,22254,8268,0.016847899998538196
700,3,22254,8268,0.01651240000501275
700,4,22254,8268,0.016871899948455393
700,5,22254,8268,0.01510049996431917
700,6,22254,8268,0.016750700073316693
700,7,22254,8268,0.015180199989117682
700,8,22254,8268,0.017971500055864453
700,9,22254,8268,0.017823800095357
700,10,22254,8268,0.016033700085245073
800,1,26678,9912,0.01677899993956089
800,2,26678,9912,0.01729889994021505
800,3,26678,9912,0.017195300082676113
800,4,26678,9912,0.017060999991372228
800,5,26678,9912,0.017479399917647243
800,6,26678,9912,0.01614219998009503
800,7,26678,9912,0.016634600004181266
800,8,26678,9912,0.01859399990644306
800,9,26678,9912,0.018704700050875545
800,10,26678,9912,0.01566329994238913
900,1,30086,10727,0.017198899993672967
900,2,30086,10727,0.019113700021989644
900,3,30086,10727,0.01713060005567968
900,4,30086,10727,0.01804740005172789
900,5,30086,10727,0.019043999956920743
900,6,30086,10727,0.018674700055271387
900,7,30086,10727,0.019473699969239533
900,8,30086,10727,0.020772799965925515
900,9,30086,10727,0.01897500001359731
900,10,30086,10727,0.017184700001962483
1000,1,35089,12729,0.017331000068224967
1000,2,35089,12729,0.017384700011461973
1000,3,35089,12729,0.019021400017663836
1000,4,35089,12729,0.019489299971610308
1000,5,35089,12729,0.02070270001422614
1000,6,35089,12729,0.016827600076794624
1000,7,35089,12729,0.016515000024810433
1000,8,35089,12729,0.017702799988910556
1000,9,35089,12729,0.017756800050847232
1000,10,35089,12729,0.01662499993108213
1100,1,37630,13362,0.018186199944466352
1100,2,37630,13362,0.017235300038009882
1100,3,37630,13362,0.016504200058989227
1100,4,37630,13362,0.017618200043216348
1100,5,37630,13362,0.017573699937202036
1100,6,37630,13362,0.01816129998769611
1100,7,37630,13362,0.016684100031852722
1100,8,37630,13362,0.01748300006147474
1100,9,37630,13362,0.017996100010350347
1100,10,37630,13362,0.01657480001449585
1200,1,42700,15621,0.016738599981181324
1200,2,42700,15621,0.01645619992632419
1200,3,42700,15621,0.015617300057783723
1200,4,42700,15621,0.01601579994894564
1200,5,42700,15621,0.019235100015066564
1200,6,42700,15621,0.016417199978604913
1200,7,42700,15621,0.015688300016336143
1200,8,42700,15621,0.016308899968862534
1200,9,42700,15621,0.01678639999590814
1200,10,42700,15621,0.016112699988298118
1300,1,47413,17540,0.016762500046752393
1300,2,47413,17540,0.018052299972623587
1300,3,47413,17540,0.017423299956135452
1300,4,47413,17540,0.016608300036750734
1300,5,47413,17540,0.017581899999640882
1300,6,47413,17540,0.01765180006623268
1300,7,47413,17540,0.020339000038802624
1300,8,47413,17540,0.020798099925741553
1300,9,47413,17540,0.02064040000550449
1300,10,47413,17540,0.01610200002323836
1400,1,51317,18608,0.017295300029218197
1400,2,51317,18608,0.01714799995534122
1400,3,51317,18608,0.017276300000958145
1400,4,51317,18608,0.018406999995931983
1400,5,51317,18608,0.01818529993761331
1400,6,51317,18608,0.018427400034852326
1400,7,51317,18608,0.022427599993534386
1400,8,51317,18608,0.026946800062432885
1400,9,51317,18608,0.02357249998021871
1400,10,51317,18608,0.021144500002264977
1500,1,54873,19552,0.021789500024169683
1500,2,54873,19552,0.022901900112628937
1500,3,54873,19552,0.023337099933996797
1500,4,54873,19552,0.024334399960935116
1500,5,54873,19552,0.0245309000601992
1500,6,54873,19552,0.022673500003293157
1500,7,54873,19552,0.02334549999795854
1500,8,54873,19552,0.02226400002837181
1500,9,54873,19552,0.023458000039681792
1500,10,54873,19552,0.025832600076682866
