n,m,comparisons,swaps,execution_time
100,1,2720,1569,0.02096009999513626
100,2,2720,1569,0.01894949993584305
100,3,2720,1569,0.02070700004696846
100,4,2720,1569,0.019731000065803528
100,5,2720,1569,0.019462800002656877
100,6,2720,1569,0.01936889998614788
100,7,2720,1569,0.017938799923285842
100,8,2720,1569,0.017580999992787838
100,9,2720,1569,0.017886699992232025
100,10,2720,1569,0.017564099980518222
200,1,6640,3742,0.017995200003497303
200,2,6640,3742,0.018633599975146353
200,3,6640,3742,0.019378400058485568
200,4,6640,3742,0.018015699926763773
200,5,6640,3742,0.018466299981810153
200,6,6640,3742,0.018641999922692776
200,7,6640,3742,0.01772000000346452
200,8,6640,3742,0.018113299971446395
200,9,6640,3742,0.018157399957999587
200,10,6640,3742,0.01924769999459386
300,1,11129,6307,0.020152300014160573
300,2,11129,6307,0.01846080005634576
300,3,11129,6307,0.01800020004156977
300,4,11129,6307,0.020783200045116246
300,5,11129,6307,0.02011770009994507
300,6,11129,6307,0.023110899957828224
300,7,11129,6307,0.026324199978262186
300,8,11129,6307,0.026493699988350272
300,9,11129,6307,0.04113529995083809
300,10,11129,6307,0.03738390002399683
400,1,16095,9011,0.0266140999738127
400,2,16095,9011,0.024325700011104345
400,3,16095,9011,0.026350900065153837
400,4,16095,9011,0.03011250006966293
400,5,16095,9011,0.025583500042557716
400,6,16095,9011,0.021401200094260275
400,7,16095,9011,0.02014819998294115
400,8,16095,9011,0.02388800005428493
400,9,16095,9011,0.020293300040066242
400,10,16095,9011,0.021376000018790364
500,1,21157,11624,0.022088699974119663
500,2,21157,11624,0.026939000003039837
500,3,21157,11624,0.022292600013315678
500,4,21157,11624,0.019253699923865497
500,5,21157,11624,0.019452399923466146
500,6,21157,11624,0.022387800039723516
500,7,21157,11624,0.02266120002605021
500,8,21157,11624,0.02607619995251298
500,9,21157,11624,0.022236399934627116
500,10,21157,11624,0.020658799912780523
600,1,26207,14588,0.021684500039555132
600,2,26207,14588,0.02214590006042272
600,3,26207,14588,0.02063460007775575
600,4,26207,14588,0.021921399980783463
600,5,26207,14588,0.023783599957823753
600,6,26207,14588,0.0225308999652043
600,7,26207,14588,0.021779400063678622
600,8,26207,14588,0.021999199991114438
600,9,26207,14588,0.020859000040218234
600,10,26207,14588,0.020912499981932342
700,1,32156,17832,0.024113900028169155
700,2,32156,17832,0.025819299975410104
700,3,32156,17832,0.024470700067467988
700,4,32156,17832,0.019860899890773
700,5,32156,17832,0.01982960000168532
700,6,32156,17832,0.018867500009946525
700,7,32156,17832,0.019807899952866137
700,8,32156,17832,0.01841630006674677
700,9,32156,17832,0.017948699998669326
700,10,32156,17832,0.016923400107771158
800,1,37780,20885,0.018486900022253394
