n,m,comparisons,swaps,execution_time
100,1,2359,1322,0.016126699978485703
100,2,2359,1322,0.016021400108002126
100,3,2359,1322,0.01726969995070249
100,4,2359,1322,0.015803399961441755
100,5,2359,1322,0.015619599958881736
100,6,2359,1322,0.014534799964167178
100,7,2359,1322,0.015070700086653233
100,8,2359,1322,0.014386099996045232
100,9,2359,1322,0.01561780006159097
100,10,2359,1322,0.015262299915775657
200,1,6252,3468,0.016147200018167496
200,2,6252,3468,0.014591499930247664
200,3,6252,3468,0.013968100072816014
200,4,6252,3468,0.015048099914565682
200,5,6252,3468,0.014708100003190339
200,6,6252,3468,0.015958599979057908
200,7,6252,3468,0.015727699967101216
200,8,6252,3468,0.014095199992880225
200,9,6252,3468,0.014209699933417141
200,10,6252,3468,0.014667700044810772
300,1,10124,5533,0.014451200026087463
300,2,10124,5533,0.01556720002554357
300,3,10124,5533,0.015623299987055361
300,4,10124,5533,0.015152600011788309
300,5,10124,5533,0.014207600033842027
300,6,10124,5533,0.01431390002835542
300,7,10124,5533,0.01467410009354353
300,8,10124,5533,0.014856800087727606
300,9,10124,5533,0.018736699945293367
300,10,10124,5533,0.015856500016525388
400,1,14965,8076,0.015589499962516129
400,2,14965,8076,0.016134500037878752
400,3,14965,8076,0.01640259998384863
400,4,14965,8076,0.01792449993081391
400,5,14965,8076,0.01749210001435131
400,6,14965,8076,0.02188889996614307
400,7,14965,8076,0.020706300041638315
400,8,14965,8076,0.02031549997627735
400,9,14965,8076,0.017807799973525107
400,10,14965,8076,0.017600400024093688
500,1,19820,10496,0.016267400002107024
500,2,19820,10496,0.016022800002247095
500,3,19820,10496,0.017098900047130883
500,4,19820,10496,0.018821700010448694
500,5,19820,10496,0.01582919992506504
500,6,19820,10496,0.016326999990269542
500,7,19820,10496,0.015983000048436224
500,8,19820,10496,0.017919100006110966
500,9,19820,10496,0.016992099932394922
500,10,19820,10496,0.0161581999855116
600,1,24798,13269,0.018126399954780936
600,2,24798,13269,0.015818099956959486
600,3,24798,13269,0.015312699950300157
600,4,24798,13269,0.016850600019097328
600,5,24798,13269,0.018418899970129132
600,6,24798,13269,0.017738300026394427
600,7,24798,13269,0.01862829993478954
600,8,24798,13269,0.016227700049057603
600,9,24798,13269,0.015907600056380033
600,10,24798,13269,0.016886299941688776
700,1,29680,15591,0.016006299993023276
700,2,29680,15591,0.01755280001088977
700,3,29680,15591,0.016920199966989458
700,4,29680,15591,0.016915799933485687
700,5,29680,15591,0.017201800015754998
700,6,29680,15591,0.018836600007489324
700,7,29680,15591,0.021056799916550517
700,8,29680,15591,0.018197900033555925
700,9,29680,15591,0.016679499996826053
700,10,29680,15591,0.017440399969927967
800,1,34439,18254,0.01730369997676462
800,2,34439,18254,0.01689030008856207
800,3,34439,18254,0.017120699980296195
800,4,34439,18254,0.016529100015759468
800,5,34439,18254,0.017094200011342764
800,6,34439,18254,0.01595519995316863
800,7,34439,18254,0.01729330001398921
800,8,34439,18254,0.01845329999923706
800,9,34439,18254,0.01815849996637553
800,10,34439,18254,0.017141900025308132
900,1,40592,21571,0.01626660011243075
900,2,40592,21571,0.017224600072950125
900,3,40592,21571,0.017968700034543872
900,4,40592,21571,0.016529700020328164
900,5,40592,21571,0.016987499897368252
900,6,40592,21571,0.017698500072583556
900,7,40592,21571,0.017056999960914254
900,8,40592,21571,0.017526400042697787
900,9,40592,21571,0.017168399994261563
900,10,40592,21571,0.018136000027880073
1000,1,46778,24607,0.01984029996674508
1000,2,46778,24607,0.0201753000728786
1000,3,46778,24607,0.019701499957591295
1000,4,46778,24607,0.019194900058209896
1000,5,46778,24607,0.018481500097550452
1000,6,46778,24607,0.020782799925655127
1000,7,46778,24607,0.01845930004492402
1000,8,46778,24607,0.01942550006788224
1000,9,46778,24607,0.018895299988798797
1000,10,46778,24607,0.019402200006879866
1100,1,51766,27200,0.017917899996973574
1100,2,51766,27200,0.020671900012530386
1100,3,51766,27200,0.02268049994017929
1100,4,51766,27200,0.01875000004656613
1100,5,51766,27200,0.017557599931024015
1100,6,51766,27200,0.01866800000425428
1100,7,51766,27200,0.018740099971182644
1100,8,51766,27200,0.017181499977596104
1100,9,51766,27200,0.017210100078955293
1100,10,51766,27200,0.019655999960377812
1200,1,57336,30134,0.017309900023974478
1200,2,57336,30134,0.017430100007914007
1200,3,57336,30134,0.017704600002616644
1200,4,57336,30134,0.019851500052027404
1200,5,57336,30134,0.01662359992042184
1200,6,57336,30134,0.01733489998150617
1200,7,57336,30134,0.018429500050842762
1200,8,57336,30134,0.019067900022491813
1200,9,57336,30134,0.018670100020244718
1200,10,57336,30134,0.018745800014585257
1300,1,63697,33656,0.01728269993327558
1300,2,63697,33656,0.017456999979913235
1300,3,63697,33656,0.019081200007349253
1300,4,63697,33656,0.019053899915888906
1300,5,63697,33656,0.01803260005544871
1300,6,63697,33656,0.018151600030250847
1300,7,63697,33656,0.018546200008131564
1300,8,63697,33656,0.018847699975594878
1300,9,63697,33656,0.01779409998562187
1300,10,63697,33656,0.02036630001384765
1400,1,70038,36940,0.017875300021842122
1400,2,70038,36940,0.018809700035490096
1400,3,70038,36940,0.019205200020223856
1400,4,70038,36940,0.018027900019660592
1400,5,70038,36940,0.01902250002603978
1400,6,70038,36940,0.019533300073817372
1400,7,70038,36940,0.019108699983917177
1400,8,70038,36940,0.01844259991776198
1400,9,70038,36940,0.018595000030472875
1400,10,70038,36940,0.017888000002130866
1500,1,74078,38934,0.018633699975907803
1500,2,74078,38934,0.017917399993166327
1500,3,74078,38934,0.020648700068704784
1500,4,74078,38934,0.019082700018770993
1500,5,74078,38934,0.019152999971993268
1500,6,74078,38934,0.019544199923984706
1500,7,74078,38934,0.018860700074583292
1500,8,74078,38934,0.01839559990912676
1500,9,74078,38934,0.017796600004658103
1500,10,74078,38934,0.018137899925932288
1600,1,82736,43914,0.0182683999883011
1600,2,82736,43914,0.01865940005518496
1600,3,82736,43914,0.018028499907813966
1600,4,82736,43914,0.01851850003004074
1600,5,82736,43914,0.018513499991968274
1600,6,82736,43914,0.02024900005199015
1600,7,82736,43914,0.018460199935361743
1600,8,82736,43914,0.02052889997139573
1600,9,82736,43914,0.020478899939917028
1600,10,82736,43914,0.020617300062440336
1700,1,88019,46591,0.018052399973385036
1700,2,88019,46591,0.018558999989181757
1700,3,88019,46591,0.020235100062564015
1700,4,88019,46591,0.021233900100924075
1700,5,88019,46591,0.02408060000743717
1700,6,88019,46591,0.02756690001115203
1700,7,88019,46591,0.026471000048331916
1700,8,88019,46591,0.023825100040994585
1700,9,88019,46591,0.0230986000970006
1700,10,88019,46591,0.024272699956782162
1800,1,91841,47769,0.024376999936066568
1800,2,91841,47769,0.025479799951426685
1800,3,91841,47769,0.025598500040359795
1800,4,91841,47769,0.026799999992363155
1800,5,91841,47769,0.027180899982340634
1800,6,91841,47769,0.029367499984800816
1800,7,91841,47769,0.026032900088466704
1800,8,91841,47769,0.027062600012868643
1800,9,91841,47769,0.02505850000306964
1800,10,91841,47769,0.02524949994403869
1900,1,100816,53201,0.02739050006493926
1900,2,100816,53201,0.02429069997742772
1900,3,100816,53201,0.02576530002988875
1900,4,100816,53201,0.02643029997125268
1900,5,100816,53201,0.026662099990062416
1900,6,100816,53201,0.025675800046883523
1900,7,100816,53201,0.025088599999435246
1900,8,100816,53201,0.02654920006170869
1900,9,100816,53201,0.02633539994712919
1900,10,100816,53201,0.02792829996906221
2000,1,107680,56817,0.025600999942980707
2000,2,107680,56817,0.02651759993750602
2000,3,107680,56817,0.02556530002038926
2000,4,107680,56817,0.028225300018675625
2000,5,107680,56817,0.02730019995942712
2000,6,107680,56817,0.02823189995251596
2000,7,107680,56817,0.02622620004694909
2000,8,107680,56817,0.025185200036503375
2000,9,107680,56817,0.025334400008432567
2000,10,107680,56817,0.026419100002385676
2100,1,113726,59586,0.02594269998371601
2100,2,113726,59586,0.02839220000896603
2100,3,113726,59586,0.0260302999522537
2100,4,113726,59586,0.025467699975706637
2100,5,113726,59586,0.026742300018668175
2100,6,113726,59586,0.029702499974519014
2100,7,113726,59586,0.02776249998714775
2100,8,113726,59586,0.02878910000436008
2100,9,113726,59586,0.028077600058168173
2100,10,113726,59586,0.02944690000731498
2200,1,119916,63083,0.027794499997980893
2200,2,119916,63083,0.027106599998660386
2200,3,119916,63083,0.026063799974508584
2200,4,119916,63083,0.027631700038909912
2200,5,119916,63083,0.02735500002745539
2200,6,119916,63083,0.02899159991648048
2200,7,119916,63083,0.027586199925281107
2200,8,119916,63083,0.027057499974034727
2200,9,119916,63083,0.02604639995843172
2200,10,119916,63083,0.02691619994584471
2300,1,124324,64776,0.026642499957233667
2300,2,124324,64776,0.026506900088861585
2300,3,124324,64776,0.027686299988999963
2300,4,124324,64776,0.025943799992091954
2300,5,124324,64776,0.027419000049121678
2300,6,124324,64776,0.03127939999103546
2300,7,124324,64776,0.03359110001474619
2300,8,124324,64776,0.027736300020478666
2300,9,124324,64776,0.02755350002553314
2300,10,124324,64776,0.02774449996650219
2400,1,131842,69382,0.02779480000026524
2400,2,131842,69382,0.02764489990659058
2400,3,131842,69382,0.02873869996983558
2400,4,131842,69382,0.028146299999207258
2400,5,131842,69382,0.03518970008008182
2400,6,131842,69382,0.029004700016230345
2400,7,131842,69382,0.028457900043576956
2400,8,131842,69382,0.02753710001707077
2400,9,131842,69382,0.027733599999919534
2400,10,131842,69382,0.027019400033168495
2500,1,138519,73288,0.028913899906910956
2500,2,138519,73288,0.02885120001155883
2500,3,138519,73288,0.02804560004733503
2500,4,138519,73288,0.028689299942925572
2500,5,138519,73288,0.028648799983784556
2500,6,138519,73288,0.027851000078953803
2500,7,138519,73288,0.02878779999446124
2500,8,138519,73288,0.027824199991300702
2500,9,138519,73288,0.029289099969901145
2500,10,138519,73288,0.02722439996432513
2600,1,141304,73562,0.028186700074002147
2600,2,141304,73562,0.03018650005105883
2600,3,141304,73562,0.02862470003310591
2600,4,141304,73562,0.029164099949412048
2600,5,141304,73562,0.03307039989158511
2600,6,141304,73562,0.02962759998627007
2600,7,141304,73562,0.030835599987767637
2600,8,141304,73562,0.03214160003699362
2600,9,141304,73562,0.030211800010874867
2600,10,141304,73562,0.028665699996054173
2700,1,152738,80709,0.031966199981980026
2700,2,152738,80709,0.032120499992743134
2700,3,152738,80709,0.033622800023294985
2700,4,152738,80709,0.03153460007160902
2700,5,152738,80709,0.028779600048437715
2700,6,152738,80709,0.0287785999244079
2700,7,152738,80709,0.03352600010111928
2700,8,152738,80709,0.030166700016707182
2700,9,152738,80709,0.028408000012859702
2700,10,152738,80709,0.02980270003899932
2800,1,158747,83590,0.030197500018402934
2800,2,158747,83590,0.029174800030887127
2800,3,158747,83590,0.029515299946069717
2800,4,158747,83590,0.028866999899037182
2800,5,158747,83590,0.02897300000768155
2800,6,158747,83590,0.03186170000117272
2800,7,158747,83590,0.02956280007492751
2800,8,158747,83590,0.029257499962113798
2800,9,158747,83590,0.029716000077314675
2800,10,158747,83590,0.02966040000319481
2900,1,165032,86240,0.030967599945142865
2900,2,165032,86240,0.03067840007133782
2900,3,165032,86240,0.03171430004294962
2900,4,165032,86240,0.030717700021341443
2900,5,165032,86240,0.03034630010370165
2900,6,165032,86240,0.03027240000665188
2900,7,165032,86240,0.030431599938310683
2900,8,165032,86240,0.029089199961163104
2900,9,165032,86240,0.02932079997844994
2900,10,165032,86240,0.030165100004523993
3000,1,171809,90234,0.03295660007279366
3000,2,171809,90234,0.030412400024943054
3000,3,171809,90234,0.03090200002770871
3000,4,171809,90234,0.03407789999619126
3000,5,171809,90234,0.0352596000302583
3000,6,171809,90234,0.030461300048045814
3000,7,171809,90234,0.03017879999242723
3000,8,171809,90234,0.03160959994420409
3000,9,171809,90234,0.03036389988847077
3000,10,171809,90234,0.03296099998988211
3100,1,177292,92739,0.050567900063470006
3100,2,177292,92739,0.030351800029166043
3100,3,177292,92739,0.029802200035192072
3100,4,177292,92739,0.030853500007651746
3100,5,177292,92739,0.03261780005414039
3100,6,177292,92739,0.03003510006237775
3100,7,177292,92739,0.030901000020094216
3100,8,177292,92739,0.030324199935421348
3100,9,177292,92739,0.031867200043052435
3100,10,177292,92739,0.03082019998691976
3200,1,187229,98421,0.030259500024840236
3200,2,187229,98421,0.03182540007401258
3200,3,187229,98421,0.0329624000005424
3200,4,187229,98421,0.030642900033853948
3200,5,187229,98421,0.03246659995056689
3200,6,187229,98421,0.03000989998690784
3200,7,187229,98421,0.031041500042192638
3200,8,187229,98421,0.030335400020703673
3200,9,187229,98421,0.03031489998102188
3200,10,187229,98421,0.029653699952177703
3300,1,193822,101496,0.030575399985536933
3300,2,193822,101496,0.03151089989114553
3300,3,193822,101496,0.03231839998625219
3300,4,193822,101496,0.03176359995268285
