n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,5000,5002,5000,10000,10002,10000
10000,2,5000,5002,5000,10000,10002,10000
10000,3,5000,5002,5000,10000,10002,10000
10000,4,5000,5002,5000,10000,10002,10000
10000,5,5000,5002,5000,10000,10002,10000
10000,6,5000,5002,5000,10000,10002,10000
10000,7,5000,5002,5000,10000,10002,10000
10000,8,5000,5002,5000,10000,10002,10000
10000,9,5000,5002,5000,10000,10002,10000
10000,10,5000,5002,5000,10000,10002,10000
10000,11,5000,5002,5000,10000,10002,10000
10000,12,5000,5002,5000,10000,10002,10000
10000,13,5000,5002,5000,10000,10002,10000
10000,14,5000,5002,5000,10000,10002,10000
10000,15,5000,5002,5000,10000,10002,10000
10000,16,5000,5002,5000,10000,10002,10000
10000,17,5000,5002,5000,10000,10002,10000
10000,18,5000,5002,5000,10000,10002,10000
10000,19,5000,5002,5000,10000,10002,10000
10000,20,5000,5002,5000,10000,10002,10000
20000,1,10000,10002,10000,20000,20002,20000
20000,2,10000,10002,10000,20000,20002,20000
20000,3,10000,10002,10000,20000,20002,20000
20000,4,10000,10002,10000,20000,20002,20000
20000,5,10000,10002,10000,20000,20002,20000
20000,6,10000,10002,10000,20000,20002,20000
20000,7,10000,10002,10000,20000,20002,20000
20000,8,10000,10002,10000,20000,20002,20000
20000,9,10000,10002,10000,20000,20002,20000
20000,10,10000,10002,10000,20000,20002,20000
20000,11,10000,10002,10000,20000,20002,20000
20000,12,10000,10002,10000,20000,20002,20000
20000,13,10000,10002,10000,20000,20002,20000
20000,14,10000,10002,10000,20000,20002,20000
20000,15,10000,10002,10000,20000,20002,20000
20000,16,10000,10002,10000,20000,20002,20000
20000,17,10000,10002,10000,20000,20002,20000
20000,18,10000,10002,10000,20000,20002,20000
20000,19,10000,10002,10000,20000,20002,20000
20000,20,10000,10002,10000,20000,20002,20000
30000,1,15000,15002,15000,30000,30002,30000
30000,2,15000,15002,15000,30000,30002,30000
30000,3,15000,15002,15000,30000,30002,30000
30000,4,15000,15002,15000,30000,30002,30000
30000,5,15000,15002,15000,30000,30002,30000
30000,6,15000,15002,15000,30000,30002,30000
30000,7,15000,15002,15000,30000,30002,30000
30000,8,15000,15002,15000,30000,30002,30000
30000,9,15000,15002,15000,30000,30002,30000
30000,10,15000,15002,15000,30000,30002,30000
30000,11,15000,15002,15000,30000,30002,30000
30000,12,15000,15002,15000,30000,30002,30000
30000,13,15000,15002,15000,30000,30002,30000
30000,14,15000,15002,15000,30000,30002,30000
30000,15,15000,15002,15000,30000,30002,30000
30000,16,15000,15002,15000,30000,30002,30000
30000,17,15000,15002,15000,30000,30002,30000
30000,18,15000,15002,15000,30000,30002,30000
30000,19,15000,15002,15000,30000,30002,30000
30000,20,15000,15002,15000,30000,30002,30000
40000,1,20000,20002,20000,40000,40002,40000
40000,2,20000,20002,20000,40000,40002,40000
40000,3,20000,20002,20000,40000,40002,40000
40000,4,20000,20002,20000,40000,40002,40000
40000,5,20000,20002,20000,40000,40002,40000
40000,6,20000,20002,20000,40000,40002,40000
40000,7,20000,20002,20000,40000,40002,40000
40000,8,20000,20002,20000,40000,40002,40000
40000,9,20000,20002,20000,40000,40002,40000
40000,10,20000,20002,20000,40000,40002,40000
40000,11,20000,20002,20000,40000,40002,40000
40000,12,20000,20002,20000,40000,40002,40000
40000,13,20000,20002,20000,40000,40002,40000
40000,14,20000,20002,20000,40000,40002,40000
40000,15,20000,20002,20000,40000,40002,40000
40000,16,20000,20002,20000,40000,40002,40000
40000,17,20000,20002,20000,40000,40002,40000
40000,18,20000,20002,20000,40000,40002,40000
40000,19,20000,20002,20000,40000,40002,40000
40000,20,20000,20002,20000,40000,40002,40000
50000,1,25000,25002,25000,50000,50002,50000
50000,2,25000,25002,25000,50000,50002,50000
50000,3,25000,25002,25000,50000,50002,50000
50000,4,25000,25002,25000,50000,50002,50000
50000,5,25000,25002,25000,50000,50002,50000
50000,6,25000,25002,25000,50000,50002,50000
50000,7,25000,25002,25000,50000,50002,50000
50000,8,25000,25002,25000,50000,50002,50000
50000,9,25000,25002,25000,50000,50002,50000
50000,10,25000,25002,25000,50000,50002,50000
50000,11,25000,25002,25000,50000,50002,50000
50000,12,25000,25002,25000,50000,50002,50000
50000,13,25000,25002,25000,50000,50002,50000
50000,14,25000,25002,25000,50000,50002,50000
50000,15,25000,25002,25000,50000,50002,50000
50000,16,25000,25002,25000,50000,50002,50000
50000,17,25000,25002,25000,50000,50002,50000
50000,18,25000,25002,25000,50000,50002,50000
50000,19,25000,25002,25000,50000,50002,50000
50000,20,25000,25002,25000,50000,50002,50000
60000,1,30000,30002,30000,60000,60002,60000
60000,2,30000,30002,30000,60000,60002,60000
60000,3,30000,30002,30000,60000,60002,60000
60000,4,30000,30002,30000,60000,60002,60000
60000,5,30000,30002,30000,60000,60002,60000
60000,6,30000,30002,30000,60000,60002,60000
60000,7,30000,30002,30000,60000,60002,60000
60000,8,30000,30002,30000,60000,60002,60000
60000,9,30000,30002,30000,60000,60002,60000
60000,10,30000,30002,30000,60000,60002,60000
60000,11,30000,30002,30000,60000,60002,60000
60000,12,30000,30002,30000,60000,60002,60000
60000,13,30000,30002,30000,60000,60002,60000
60000,14,30000,30002,30000,60000,60002,60000
60000,15,30000,30002,30000,60000,60002,60000
60000,16,30000,30002,30000,60000,60002,60000
60000,17,30000,30002,30000,60000,60002,60000
60000,18,30000,30002,30000,60000,60002,60000
60000,19,30000,30002,30000,60000,60002,60000
60000,20,30000,30002,30000,60000,60002,60000
70000,1,35000,35002,35000,70000,70002,70000
70000,2,35000,35002,35000,70000,70002,70000
70000,3,35000,35002,35000,70000,70002,70000
70000,4,35000,35002,35000,70000,70002,70000
70000,5,35000,35002,35000,70000,70002,70000
70000,6,35000,35002,35000,70000,70002,70000
70000,7,35000,35002,35000,70000,70002,70000
70000,8,35000,35002,35000,70000,70002,70000
70000,9,35000,35002,35000,70000,70002,70000
70000,10,35000,35002,35000,70000,70002,70000
70000,11,35000,35002,35000,70000,70002,70000
70000,12,35000,35002,35000,70000,70002,70000
70000,13,35000,35002,35000,70000,70002,70000
70000,14,35000,35002,35000,70000,70002,70000
70000,15,35000,35002,35000,70000,70002,70000
70000,16,35000,35002,35000,70000,70002,70000
70000,17,35000,35002,35000,70000,70002,70000
70000,18,35000,35002,35000,70000,70002,70000
70000,19,35000,35002,35000,70000,70002,70000
70000,20,35000,35002,35000,70000,70002,70000
80000,1,40000,40002,40000,80000,80002,80000
80000,2,40000,40002,40000,80000,80002,80000
80000,3,40000,40002,40000,80000,80002,80000
80000,4,40000,40002,40000,80000,80002,80000
80000,5,40000,40002,40000,80000,80002,80000
80000,6,40000,40002,40000,80000,80002,80000
80000,7,40000,40002,40000,80000,80002,80000
80000,8,40000,40002,40000,80000,80002,80000
80000,9,40000,40002,40000,80000,80002,80000
80000,10,40000,40002,40000,80000,80002,80000
80000,11,40000,40002,40000,80000,80002,80000
80000,12,40000,40002,40000,80000,80002,80000
80000,13,40000,40002,40000,80000,80002,80000
80000,14,40000,40002,40000,80000,80002,80000
80000,15,40000,40002,40000,80000,80002,80000
80000,16,40000,40002,40000,80000,80002,80000
80000,17,40000,40002,40000,80000,80002,80000
80000,18,40000,40002,40000,80000,80002,80000
80000,19,40000,40002,40000,80000,80002,80000
80000,20,40000,40002,40000,80000,80002,80000
90000,1,45000,45002,45000,90000,90002,90000
90000,2,45000,45002,45000,90000,90002,90000
90000,3,45000,45002,45000,90000,90002,90000
90000,4,45000,45002,45000,90000,90002,90000
90000,5,45000,45002,45000,90000,90002,90000
90000,6,45000,45002,45000,90000,90002,90000
90000,7,45000,45002,45000,90000,90002,90000
90000,8,45000,45002,45000,90000,90002,90000
90000,9,45000,45002,45000,90000,90002,90000
90000,10,45000,45002,45000,90000,90002,90000
90000,11,45000,45002,45000,90000,90002,90000
90000,12,45000,45002,45000,90000,90002,90000
90000,13,45000,45002,45000,90000,90002,90000
90000,14,45000,45002,45000,90000,90002,90000
90000,15,45000,45002,45000,90000,90002,90000
90000,16,45000,45002,45000,90000,90002,90000
90000,17,45000,45002,45000,90000,90002,90000
90000,18,45000,45002,45000,90000,90002,90000
90000,19,45000,45002,45000,90000,90002,90000
90000,20,45000,45002,45000,90000,90002,90000
100000,1,7050,7052,7050,100000,100002,100000
100000,2,7050,7052,7050,100000,100002,100000
100000,3,7050,7052,7050,100000,100002,100000
100000,4,7050,7052,7050,100000,100002,100000
100000,5,7050,7052,7050,100000,100002,100000
100000,6,7050,7052,7050,100000,100002,100000
100000,7,7050,7052,7050,100000,100002,100000
100000,8,7050,7052,7050,100000,100002,100000
100000,9,7050,7052,7050,100000,100002,100000
100000,10,7050,7052,7050,100000,100002,100000
100000,11,7050,7052,7050,100000,100002,100000
100000,12,7050,7052,7050,100000,100002,100000
100000,13,7050,7052,7050,100000,100002,100000
100000,14,7050,7052,7050,100000,100002,100000
100000,15,7050,7052,7050,100000,100002,100000
100000,16,7050,7052,7050,100000,100002,100000
100000,17,7050,7052,7050,100000,100002,100000
100000,18,7050,7052,7050,100000,100002,100000
100000,19,7050,7052,7050,100000,100002,100000
100000,20,7050,7052,7050,100000,100002,100000
