n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,21,40,14,33,159,23
10000,2,21,41,14,33,148,24
10000,3,21,41,14,29,158,23
10000,4,21,40,14,29,145,24
10000,5,21,41,14,33,141,24
10000,6,21,40,14,29,134,24
10000,7,21,41,13,29,151,23
10000,8,21,40,14,29,133,23
10000,9,21,41,14,33,148,23
10000,10,21,41,14,33,133,23
10000,11,21,41,14,29,133,24
10000,12,21,41,14,31,144,24
10000,13,21,41,14,29,165,23
10000,14,21,40,14,29,164,23
10000,15,21,40,14,33,152,24
10000,16,21,40,14,29,144,23
10000,17,21,40,14,33,133,23
10000,18,21,41,14,31,163,23
10000,19,21,40,14,33,143,24
10000,20,21,40,14,31,151,23
20000,1,23,41,15,35,151,26
20000,2,23,42,15,31,174,26
20000,3,23,41,15,31,148,26
20000,4,23,41,15,33,159,25
20000,5,23,41,15,33,137,25
20000,6,23,41,15,33,166,25
20000,7,23,41,15,33,148,25
20000,8,23,41,15,33,150,26
20000,9,23,41,15,31,149,26
20000,10,23,41,15,33,172,26
20000,11,23,42,15,37,148,25
20000,12,23,41,15,33,150,25
20000,13,23,42,15,33,159,26
20000,14,23,41,15,33,167,25
20000,15,23,42,15,39,136,26
20000,16,23,42,15,31,151,26
20000,17,23,42,15,33,159,26
20000,18,23,41,15,37,149,26
20000,19,23,41,15,35,154,25
20000,20,23,41,15,31,160,25
30000,1,24,42,16,39,148,26
30000,2,24,42,16,35,149,27
30000,3,24,42,15,39,162,26
30000,4,24,42,15,37,162,27
30000,5,24,42,16,35,153,26
30000,6,24,42,16,37,141,26
30000,7,24,42,16,37,162,27
30000,8,24,42,15,35,160,27
30000,9,24,42,15,37,144,27
30000,10,24,42,15,33,146,26
30000,11,24,42,16,35,157,26
30000,12,24,42,15,37,145,26
30000,13,24,42,16,33,164,26
30000,14,24,42,16,35,157,26
30000,15,24,42,16,33,156,27
30000,16,24,42,16,37,161,27
30000,17,24,42,15,37,168,26
30000,18,24,42,16,43,145,27
30000,19,24,42,15,35,158,26
30000,20,24,42,16,35,164,26
40000,1,25,42,16,35,149,27
40000,2,25,43,16,33,162,28
40000,3,25,42,17,39,180,27
40000,4,25,43,16,37,150,28
40000,5,25,43,16,37,180,27
40000,6,25,42,16,35,168,27
40000,7,25,42,16,39,175,27
40000,8,25,42,16,37,145,27
40000,9,25,42,16,35,163,27
40000,10,25,42,16,33,166,27
40000,11,25,43,16,35,168,27
40000,12,25,43,16,33,169,27
40000,13,25,42,16,35,163,28
40000,14,25,42,16,33,181,27
40000,15,25,42,16,37,175,27
40000,16,25,42,16,35,175,28
40000,17,25,43,16,39,178,27
40000,18,25,42,16,33,176,27
40000,19,25,43,16,37,163,27
40000,20,25,42,16,39,162,27
50000,1,25,43,16,37,166,29
50000,2,25,43,16,39,175,28
50000,3,25,43,17,35,158,28
50000,4,25,43,16,35,175,28
50000,5,25,43,16,37,168,28
50000,6,25,43,17,35,174,28
50000,7,25,43,16,35,166,28
50000,8,25,43,16,37,162,28
50000,9,25,43,17,39,163,28
50000,10,25,43,17,35,171,28
50000,11,25,43,17,41,154,28
50000,12,25,43,16,35,172,28
50000,13,25,43,17,37,171,28
50000,14,25,43,16,37,166,29
50000,15,25,43,16,37,171,28
50000,16,25,43,17,35,171,28
50000,17,25,43,17,37,172,28
50000,18,25,43,16,37,171,28
50000,19,25,43,17,39,167,28
50000,20,25,43,17,37,154,28
60000,1,26,43,17,39,153,28
60000,2,26,43,17,39,167,29
60000,3,26,43,16,33,173,28
60000,4,26,43,16,35,155,28
