n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,20,42,15,31,115,16
10000,2,20,42,14,31,113,16
10000,3,20,42,14,29,120,16
10000,4,20,42,14,29,119,16
10000,5,20,42,14,31,120,16
10000,6,20,42,15,31,122,16
10000,7,20,42,14,31,119,16
10000,8,20,42,14,31,123,16
10000,9,20,42,14,31,121,16
10000,10,20,42,15,31,116,16
10000,11,20,42,15,29,127,16
10000,12,20,42,14,31,120,16
10000,13,20,42,14,29,113,16
10000,14,20,42,14,31,126,16
10000,15,20,43,15,31,130,17
10000,16,20,42,15,31,121,16
10000,17,20,42,15,31,114,16
10000,18,20,42,15,31,118,17
10000,19,20,42,15,31,115,16
10000,20,20,42,15,31,122,16
20000,1,22,44,16,33,120,18
20000,2,22,43,16,33,127,18
20000,3,22,43,16,33,122,18
20000,4,22,43,16,33,131,18
20000,5,22,43,16,33,124,17
20000,6,22,43,16,33,124,18
20000,7,22,43,15,33,122,17
20000,8,22,43,16,35,123,18
20000,9,22,43,16,33,122,18
20000,10,22,43,16,33,123,18
20000,11,22,43,16,33,121,18
20000,12,22,43,16,31,123,17
20000,13,22,43,16,35,120,18
20000,14,22,43,16,33,129,17
20000,15,22,43,16,33,123,17
20000,16,22,43,16,33,117,17
20000,17,22,43,16,33,128,18
20000,18,22,43,16,33,120,17
20000,19,22,43,16,33,120,18
20000,20,22,43,16,33,117,17
30000,1,23,44,17,35,123,18
30000,2,23,44,17,35,124,18
30000,3,23,44,16,35,123,18
30000,4,23,44,17,35,125,19
30000,5,23,44,17,35,126,19
30000,6,23,44,17,35,134,18
30000,7,23,44,17,35,129,18
30000,8,23,44,16,33,124,18
30000,9,23,44,17,35,126,18
30000,10,23,44,17,35,123,19
30000,11,23,44,16,33,120,18
30000,12,23,44,16,35,122,18
30000,13,23,44,16,35,129,18
30000,14,23,44,16,33,125,18
30000,15,23,44,17,33,132,18
30000,16,23,44,17,35,127,18
30000,17,23,44,17,33,120,18
30000,18,23,44,16,33,127,18
30000,19,23,44,16,33,122,18
30000,20,23,44,16,33,124,18
40000,1,24,44,17,35,130,19
40000,2,24,44,17,35,136,19
40000,3,24,44,17,35,128,19
40000,4,24,44,17,35,126,19
40000,5,24,44,17,35,128,18
40000,6,24,44,17,35,123,19
40000,7,24,44,17,35,122,19
40000,8,24,44,17,35,124,19
40000,9,24,44,17,35,127,19
40000,10,24,44,17,35,126,19
40000,11,24,44,17,35,122,19
40000,12,24,44,17,35,125,19
40000,13,24,44,17,35,139,19
40000,14,24,44,17,35,124,18
40000,15,24,44,17,35,121,19
40000,16,24,44,17,35,120,19
40000,17,24,44,18,37,137,19
40000,18,24,44,17,35,122,18
40000,19,24,44,17,35,129,19
40000,20,24,44,17,35,125,19
50000,1,24,45,17,35,125,19
50000,2,24,45,17,35,134,19
50000,3,25,45,17,35,133,19
50000,4,24,45,17,37,127,19
50000,5,25,45,18,35,133,19
50000,6,25,45,18,37,127,19
50000,7,25,45,18,37,144,19
50000,8,24,45,17,37,122,19
50000,9,25,45,17,37,124,19
50000,10,24,45,18,35,128,19
50000,11,24,45,17,35,127,19
50000,12,24,44,17,35,135,19
50000,13,24,45,17,35,130,19
50000,14,24,45,17,35,126,19
50000,15,24,45,17,35,126,19
50000,16,25,45,18,35,140,19
50000,17,25,45,17,35,127,19
50000,18,25,45,17,37,136,19
50000,19,24,45,17,35,134,19
50000,20,24,44,17,35,122,19
60000,1,25,45,18,37,124,19
60000,2,25,45,18,37,129,20
60000,3,25,45,18,37,133,19
60000,4,25,45,18,37,126,20
60000,5,25,45,18,37,126,20
60000,6,25,45,18,37,132,20
60000,7,25,45,18,37,129,19
60000,8,25,45,18,37,125,20
60000,9,25,45,18,37,133,19
60000,10,25,45,18,37,127,20
60000,11,25,45,18,37,133,20
60000,12,25,45,18,37,145,19
60000,13,25,45,18,37,127,19
60000,14,25,45,18,37,126,19
60000,15,25,45,18,37,136,20
60000,16,25,45,18,37,126,20
60000,17,25,45,18,37,134,19
60000,18,25,45,18,35,128,19
60000,19,25,45,18,37,135,19
60000,20,25,45,18,37,123,20
70000,1,26,45,18,37,130,20
70000,2,26,45,18,37,128,20
70000,3,25,45,18,37,124,20
70000,4,25,45,18,37,124,20
70000,5,26,45,18,37,126,20
70000,6,25,45,18,37,137,20
70000,7,25,45,18,37,135,20
70000,8,26,45,18,39,140,20
70000,9,25,45,18,37,130,20
70000,10,26,45,18,37,127,20
70000,11,25,45,18,37,139,20
70000,12,26,45,18,37,134,20
70000,13,26,45,18,39,130,20
70000,14,25,45,18,37,130,20
70000,15,25,45,18,37,130,19
70000,16,25,45,18,37,129,20
70000,17,25,45,18,37,133,19
70000,18,25,45,18,37,129,20
70000,19,25,45,18,37,126,20
70000,20,25,45,18,37,124,20
80000,1,26,45,18,39,145,20
80000,2,26,45,18,37,130,20
80000,3,26,45,19,37,141,20
80000,4,26,45,19,39,128,20
80000,5,26,45,18,37,127,20
80000,6,26,45,19,39,130,20
80000,7,26,45,18,39,130,20
80000,8,26,45,19,39,141,20
80000,9,26,45,19,39,132,20
80000,10,26,45,18,39,132,20
80000,11,26,45,19,39,137,20
80000,12,26,45,19,39,133,20
80000,13,26,45,18,37,131,20
80000,14,26,45,18,39,126,20
80000,15,26,45,18,37,133,20
80000,16,26,45,18,39,134,20
80000,17,26,45,19,39,142,20
80000,18,26,45,18,37,136,20
80000,19,26,45,19,39,135,20
80000,20,26,45,18,39,133,20
90000,1,26,46,19,39,148,20
90000,2,26,45,19,39,137,21
90000,3,26,45,19,39,141,20
90000,4,26,46,18,39,129,20
90000,5,26,46,18,39,131,20
90000,6,26,45,18,39,141,20
90000,7,26,45,19,39,130,20
90000,8,26,46,19,39,143,20
90000,9,26,46,19,39,134,20
90000,10,26,45,19,39,128,20
90000,11,26,45,19,39,132,20
90000,12,26,46,19,39,135,20
90000,13,26,45,19,37,141,20
90000,14,26,46,19,39,130,20
90000,15,26,45,18,39,134,20
90000,16,26,46,19,39,131,20
90000,17,26,46,19,39,126,20
90000,18,26,45,18,39,139,20
90000,19,26,45,18,37,130,20
90000,20,26,46,19,39,133,20
100000,1,27,46,19,39,134,20
100000,2,26,46,19,39,131,20
100000,3,27,46,19,39,129,21
100000,4,26,46,19,39,129,20
100000,5,27,46,19,39,144,21
100000,6,27,46,19,39,152,20
100000,7,27,46,19,39,135,20
100000,8,27,46,19,39,141,20
100000,9,27,46,19,39,137,21
100000,10,27,46,19,39,136,20
100000,11,27,46,19,37,134,20
100000,12,27,46,19,39,142,20
100000,13,27,46,19,39,145,20
100000,14,27,46,19,39,133,20
100000,15,27,46,19,39,127,21
100000,16,27,46,19,39,133,20
100000,17,26,46,19,39,127,20
100000,18,27,46,19,39,130,20
100000,19,27,46,19,39,127,20
100000,20,27,46,19,37,135,20
