n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,36,180,37,80,397,59
10000,2,36,180,38,83,409,55
10000,3,36,180,38,83,412,68
10000,4,36,180,37,86,427,57
10000,5,36,179,38,81,404,56
10000,6,36,179,37,88,434,59
10000,7,36,180,38,84,414,58
10000,8,36,180,38,86,427,59
10000,9,36,179,38,82,407,58
10000,10,36,180,37,82,404,57
10000,11,36,179,38,86,424,59
10000,12,36,180,38,80,394,58
10000,13,36,180,38,84,414,60
10000,14,36,180,37,81,404,59
10000,15,36,180,38,89,444,57
10000,16,36,180,37,92,457,58
10000,17,36,180,37,83,414,58
10000,18,36,179,38,83,412,59
10000,19,36,180,38,86,427,57
10000,20,36,180,38,78,389,60
20000,1,40,197,42,92,459,64
20000,2,40,197,42,87,432,68
20000,3,40,197,42,95,469,62
20000,4,40,197,42,92,454,64
20000,5,40,197,42,99,489,63
20000,6,40,197,42,85,424,65
20000,7,40,197,42,86,424,69
20000,8,40,197,42,89,439,66
20000,9,40,197,42,93,459,63
20000,10,40,197,42,101,499,66
20000,11,40,197,42,96,474,63
20000,12,40,197,42,92,459,65
20000,13,40,197,42,90,444,63
20000,14,40,197,42,96,474,69
20000,15,40,197,42,85,422,65
20000,16,40,197,42,100,497,66
20000,17,40,197,42,99,489,63
20000,18,40,197,41,90,447,63
20000,19,40,197,42,93,459,64
20000,20,40,197,42,96,474,68
30000,1,42,207,44,99,492,68
30000,2,42,207,44,94,464,65
30000,3,42,207,44,91,452,66
30000,4,42,207,44,95,469,67
30000,5,42,207,44,97,484,69
30000,6,42,207,44,97,479,65
30000,7,42,207,44,95,472,68
30000,8,42,207,44,93,459,67
30000,9,42,207,44,97,479,68
30000,10,42,207,44,99,489,66
30000,11,42,207,44,96,479,69
30000,12,42,207,44,98,484,66
30000,13,42,207,45,106,524,65
30000,14,42,207,44,95,474,69
30000,15,42,207,44,97,482,67
30000,16,42,207,44,93,464,66
30000,17,42,207,44,94,467,65
