n,k,comparisons,swaps
1000,1,265366,259336
1000,2,565141,561125
1000,3,481118,475081
1000,4,343182,337148
1000,5,442326,436295
1000,6,402221,395182
1000,7,594165,590145
1000,8,215995,208950
1000,9,333355,327316
1000,10,332836,324716
2000,1,1286699,1274672
2000,2,2042781,2030744
2000,3,1803371,1793342
2000,4,1481597,1469534
2000,5,1666295,1656268
2000,6,1927547,1913508
2000,7,1455521,1447501
2000,8,2946005,2937990
2000,9,2191810,2183789
2000,10,2351237,2339201
3000,1,2916393,2895346
3000,2,3633557,3615520
3000,3,4148713,4127671
3000,4,2883869,2856787
3000,5,5724105,5706069
3000,6,5174819,5153773
3000,7,2915476,2894430
3000,8,4995933,4980911
3000,9,4916575,4892533
3000,10,3175948,3160919
4000,1,8147571,8115521
4000,2,3441128,3401059
4000,3,5493729,5461679
4000,4,4905860,4869791
4000,5,3735337,3707291
4000,6,6491837,6459782
4000,7,6669388,6633340
4000,8,6054548,6022494
4000,9,6187755,6171734
4000,10,2856812,2820749
5000,1,9445750,9400703
5000,2,4084219,4029149
5000,3,6609459,6554383
5000,4,9789697,9749652
5000,5,10067092,10042014
5000,6,13983113,13943059
5000,7,6453031,6417984
5000,8,7438369,7383282
5000,9,6586981,6531929
5000,10,5003998,4953928
6000,1,6107057,6059011
6000,2,16847872,16793813
6000,3,7742075,7694029
6000,4,15152133,15104082
6000,5,23081636,23039599
6000,6,6480078,6426016
6000,7,12899372,12863337
6000,8,9905475,9875446
6000,9,7941944,7881873
6000,10,20024132,20000112
7000,1,11604515,11548460
7000,2,12808727,12738664
7000,3,17287555,17238514
7000,4,28695396,28646350
7000,5,20464529,20436514
7000,6,17718989,17641916
7000,7,8483202,8413113
7000,8,8569693,8471613
7000,9,22347159,22291110
7000,10,18599265,18550218
8000,1,16398834,16350795
8000,2,30937930,30857849
8000,3,39716036,39643981
8000,4,32369351,32329320
8000,5,12264068,12192007
8000,6,29046801,28926708
8000,7,36339115,36275061
8000,8,41883551,41827519
8000,9,46460234,46412195
8000,10,26522310,26450247
9000,1,14624268,14552216
9000,2,52916070,52862039
9000,3,52192615,52138584
9000,4,31928401,31856352
9000,5,33618113,33555068
9000,6,25541814,25442649
9000,7,26512093,26440046
9000,8,22336286,22273239
9000,9,48635531,48590500
9000,10,20486460,20396394
10000,1,56374561,56264486
10000,2,32168554,32068508
10000,3,29764705,29674644
10000,4,28070099,27980045
10000,5,61010696,60970674
10000,6,43450867,43320773
10000,7,63412304,63342258
10000,8,19372600,19292550
10000,9,29323993,29283970
10000,10,40283248,40193067
11000,1,15670756,15494650
11000,2,43664625,43576546
11000,3,66485023,66385970
11000,4,69830635,69764577
11000,5,35271240,35183190
11000,6,31443523,31311374
11000,7,52848638,52782599
11000,8,35880429,35814390
11000,9,39602449,39514408
11000,10,47767131,47657062
12000,1,57861599,57765545
12000,2,66035427,65939373
12000,3,34638837,34554790
12000,4,69405256,69297185
12000,5,67170259,67062200
12000,6,78457284,78361112
12000,7,33779783,33659720
12000,8,89645641,89501558
12000,9,45768018,45683872
12000,10,52836406,52716358
13000,1,71610361,71480299
13000,2,46318819,46175762
13000,3,79640502,79497431
13000,4,37432911,37276832
13000,5,62472058,62394020
13000,6,70245416,70141368
13000,7,101900416,101796351
13000,8,61844704,61753659
