n,k,comparisons,swaps
10,1,24,16
10,2,28,20
10,3,35,29
10,4,30,23
10,5,34,26
10,6,30,24
10,7,31,22
10,8,28,21
10,9,20,11
10,10,21,14
10,11,27,19
10,12,23,15
10,13,29,24
10,14,30,23
10,15,35,26
10,16,28,22
10,17,30,22
10,18,25,17
10,19,40,35
10,20,32,24
10,21,33,26
10,22,29,23
10,23,38,35
10,24,29,23
10,25,40,32
10,26,18,11
10,27,27,18
10,28,28,22
10,29,17,12
10,30,27,19
10,31,19,10
10,32,28,21
10,33,28,19
10,34,36,30
10,35,31,24
10,36,34,25
10,37,30,22
10,38,25,17
10,39,29,22
10,40,27,20
10,41,23,17
10,42,20,12
10,43,32,23
10,44,25,17
10,45,31,22
10,46,33,29
10,47,21,13
10,48,23,14
10,49,36,31
10,50,22,13
10,51,26,19
10,52,32,23
10,53,33,25
10,54,35,27
10,55,14,6
10,56,34,25
10,57,39,34
10,58,33,25
10,59,27,20
10,60,30,23
10,61,32,25
10,62,21,13
10,63,28,20
10,64,34,27
10,65,32,24
10,66,42,38
10,67,27,18
10,68,29,21
10,69,38,32
10,70,35,26
10,71,32,25
10,72,28,22
10,73,35,27
10,74,30,22
10,75,23,16
10,76,23,15
10,77,27,19
10,78,24,15
10,79,34,25
10,80,29,21
10,81,27,20
10,82,35,28
10,83,29,21
10,84,29,22
10,85,25,17
10,86,35,27
10,87,23,15
10,88,33,27
10,89,27,21
10,90,25,17
10,91,27,20
10,92,28,19
10,93,22,15
10,94,26,17
10,95,25,18
10,96,37,30
10,97,31,24
10,98,21,13
10,99,28,20
10,100,20,11
20,1,118,72
20,2,190,145
20,3,89,42
20,4,113,68
20,5,194,148
20,6,150,104
20,7,110,44
20,8,121,74
20,9,84,39
20,10,130,65
20,11,186,139
20,12,135,91
20,13,117,49
20,14,126,51
20,15,201,154
20,16,106,60
20,17,108,38
20,18,107,40
20,19,188,142
20,20,109,40
20,21,113,49
20,22,113,69
20,23,183,137
20,24,97,54
20,25,110,33
20,26,235,188
20,27,115,32
20,28,128,82
20,29,87,41
20,30,101,40
20,31,105,41
20,32,122,76
20,33,124,77
20,34,106,38
20,35,103,58
20,36,111,47
20,37,109,38
20,38,118,72
20,39,121,54
20,40,118,71
20,41,142,95
20,42,180,135
20,43,97,53
20,44,119,72
20,45,99,34
20,46,158,113
20,47,202,156
20,48,133,87
20,49,204,158
20,50,157,113
20,51,148,68
20,52,138,67
20,53,133,88
20,54,150,105
20,55,110,47
20,56,118,58
20,57,153,84
20,58,117,39
20,59,155,80
20,60,105,59
20,61,112,45
20,62,164,117
20,63,136,91
20,64,107,44
20,65,158,95
20,66,84,38
20,67,120,56
20,68,145,78
20,69,106,39
20,70,124,78
20,71,122,76
20,72,100,54
20,73,132,85
20,74,119,56
20,75,115,69
20,76,120,53
20,77,133,89
20,78,163,117
20,79,140,78
20,80,115,52
20,81,137,90
20,82,116,53
20,83,109,47
20,84,122,77
20,85,84,37
20,86,124,80
20,87,107,39
20,88,157,111
20,89,83,39
20,90,106,36
20,91,88,41
20,92,93,48
20,93,174,127
20,94,196,149
20,95,118,48
20,96,135,64
20,97,134,76
20,98,108,43
20,99,133,51
20,100,91,47
30,1,217,87
30,2,307,203
30,3,274,170
30,4,387,292
30,5,228,95
30,6,282,178
30,7,397,330
30,8,315,218
30,9,558,491
30,10,187,85
30,11,207,62
30,12,201,81
30,13,299,233
30,14,287,154
30,15,258,161
30,16,388,322
30,17,222,120
30,18,285,122
30,19,463,398
30,20,218,114
30,21,422,328
30,22,321,258
30,23,324,211
30,24,263,161
30,25,217,109
30,26,283,162
30,27,237,89
30,28,289,188
30,29,365,300
30,30,326,230
30,31,224,120
30,32,376,277
30,33,298,201
30,34,242,145
30,35,230,110
30,36,349,284
30,37,242,109
30,38,286,174
30,39,214,85
30,40,246,105
30,41,301,200
30,42,230,104
30,43,263,160
30,44,205,97
30,45,201,71
30,46,511,414
30,47,234,106
30,48,260,158
30,49,249,89
30,50,242,110
30,51,249,146
30,52,220,118
30,53,243,138
30,54,245,142
30,55,567,500
30,56,200,66
30,57,297,190
30,58,430,364
30,59,228,98
30,60,537,470
30,61,553,486
30,62,241,87
30,63,556,489
30,64,224,109
30,65,302,199
30,66,184,83
30,67,277,163
30,68,350,286
30,69,292,188
30,70,341,275
30,71,529,462
30,72,213,85
30,73,265,134
30,74,505,439
30,75,351,253
30,76,272,168
30,77,227,98
30,78,480,413
30,79,584,517
30,80,218,87
30,81,334,270
30,82,288,186
30,83,268,163
30,84,249,119
30,85,318,222
30,86,230,130
30,87,231,132
30,88,278,175
30,89,365,299
30,90,265,104
30,91,305,241
30,92,234,131
30,93,327,198
30,94,280,124
30,95,216,89
30,96,276,181
30,97,254,149
30,98,345,278
30,99,361,296
30,100,330,229
40,1,816,731
40,2,432,253
40,3,433,260
40,4,516,383
40,5,914,787
40,6,664,539
40,7,901,775
40,8,571,399
40,9,504,296
40,10,550,410
40,11,390,211
40,12,633,506
40,13,637,503
40,14,505,337
40,15,451,317
40,16,939,852
40,17,451,193
40,18,533,405
40,19,923,836
40,20,1008,921
40,21,825,699
40,22,347,164
