n,k,comparisons,swaps
10,1,31,23
10,2,27,18
10,3,19,11
10,4,22,15
10,5,28,19
10,6,22,16
10,7,39,33
10,8,24,16
10,9,36,29
10,10,32,27
20,1,129,115
20,2,107,89
20,3,114,98
20,4,111,96
20,5,96,80
20,6,106,89
20,7,96,81
20,8,87,70
20,9,97,82
20,10,115,98
30,1,219,190
30,2,206,180
30,3,255,230
30,4,251,225
30,5,246,222
30,6,266,241
30,7,207,181
30,8,266,240
30,9,282,255
30,10,267,239
40,1,391,356
40,2,423,386
40,3,467,430
40,4,477,442
40,5,501,465
40,6,374,338
40,7,439,404
40,8,396,360
40,9,337,302
40,10,334,296
50,1,692,651
50,2,661,615
50,3,558,511
50,4,603,558
50,5,592,545
50,6,777,732
50,7,659,613
50,8,725,678
50,9,619,574
50,10,577,532
