n,k,comparisons,swaps
10,1,21,17
10,2,20,15
10,3,20,15
10,4,27,16
10,5,26,23
10,6,23,24
10,7,23,15
10,8,21,20
10,9,26,23
10,10,27,21
20,1,67,52
20,2,118,87
20,3,82,63
20,4,60,53
20,5,65,43
20,6,61,32
20,7,68,41
20,8,65,60
20,9,94,75
20,10,102,69
30,1,121,85
30,2,142,72
30,3,125,88
30,4,124,64
30,5,120,64
30,6,124,97
30,7,112,76
30,8,146,86
30,9,144,92
30,10,136,73
40,1,211,151
40,2,220,117
40,3,190,148
40,4,194,136
40,5,187,113
40,6,167,105
40,7,160,104
40,8,185,138
40,9,164,127
40,10,202,149
50,1,246,186
50,2,240,195
50,3,250,159
50,4,270,143
50,5,286,158
50,6,295,240
50,7,269,157
50,8,269,168
50,9,280,217
50,10,337,156
